source_index,ticker,date,month,time,ts,action,delta_target,strike,entry,actual_delta_abs,expected_realized_return,source_stream,monthly_backfill_role
0,SPXW,20260102,202601,10:00,2026-01-02 10:00:00,PUT,0.25,6870.0,3.75,0.26339998841285706,0.5,win_valthr_wr45_d25,primary
1,SPXW,20260102,202601,10:30,2026-01-02 10:30:00,PUT,0.5,6850.0,12.800000190734863,0.4934999942779541,-0.3,forcedmax3_d50,fallback
2,SPXW,20260105,202601,10:00,2026-01-05 10:00:00,PUT,0.5,6895.0,10.300000190734863,0.46639999747276306,-0.3,forcedmax3_d50,fallback
3,SPXW,20260105,202601,14:15,2026-01-05 14:15:00,PUT,0.25,6900.0,1.399999976158142,0.20499999821186066,-0.3,win_valthr_wr45_d25,primary
4,SPXW,20260106,202601,11:30,2026-01-06 11:30:00,PUT,0.25,6905.0,2.9000000953674316,0.28130000829696655,0.5,win_valthr_wr45_d25,primary
5,SPXW,20260107,202601,13:45,2026-01-07 13:45:00,PUT,0.25,6945.0,2.0999999046325684,0.2540999948978424,-0.3,win_valthr_wr45_d25,primary
6,SPXW,20260108,202601,10:15,2026-01-08 10:15:00,PUT,0.25,6900.0,3.700000047683716,0.22750000655651093,0.5,win_valthr_wr45_d25,primary
7,SPXW,20260109,202601,10:00,2026-01-09 10:00:00,CALL,0.25,6970.0,4.800000190734863,0.2370000034570694,-0.3,win_valthr_wr45_d25,primary
8,SPXW,20260112,202601,10:00,2026-01-12 10:00:00,PUT,0.25,6945.0,5.0,0.2718000113964081,-0.3,win_valthr_wr45_d25,primary
9,SPXW,20260113,202601,10:00,2026-01-13 10:00:00,PUT,0.25,6945.0,3.9000000953674316,0.2409999966621399,0.5,win_valthr_wr45_d25,primary
10,SPXW,20260114,202601,10:00,2026-01-14 10:00:00,CALL,0.25,6945.0,5.199999809265137,0.23399999737739563,0.5,win_valthr_wr45_d25,primary
11,SPXW,20260116,202601,10:00,2026-01-16 10:00:00,CALL,0.25,6965.0,4.199999809265137,0.23770000040531158,-0.3,win_valthr_wr45_d25,primary
12,SPXW,20260120,202601,10:00,2026-01-20 10:00:00,CALL,0.25,6880.0,6.699999809265137,0.25119999051094055,-0.3,win_valthr_wr45_d25,primary
13,SPXW,20260121,202601,10:00,2026-01-21 10:00:00,PUT,0.25,6820.0,6.599999904632568,0.26260000467300415,-0.3,win_valthr_wr45_d25,primary
14,SPXW,20260122,202601,10:00,2026-01-22 10:00:00,CALL,0.25,6930.0,4.010000228881836,0.2280000001192093,0.5,win_valthr_wr45_d25,primary
15,SPXW,20260123,202601,10:30,2026-01-23 10:30:00,PUT,0.25,6895.0,4.0,0.23659999668598175,-0.3,win_valthr_wr45_d25,primary
16,SPXW,20260126,202601,10:45,2026-01-26 10:45:00,PUT,0.25,6930.0,3.5,0.2660999894142151,-0.3,win_valthr_wr45_d25,primary
17,SPXW,20260127,202601,10:00,2026-01-27 10:00:00,PUT,0.25,6955.0,3.5999999046325684,0.2264000028371811,-0.3,win_valthr_wr45_d25,primary
18,SPXW,20260128,202601,10:00,2026-01-28 10:00:00,PUT,0.25,6965.0,6.099999904632568,0.23849999904632568,0.5,win_valthr_wr45_d25,primary
19,SPXW,20260129,202601,10:45,2026-01-29 10:45:00,PUT,0.25,6850.0,6.639999866485596,0.24040000140666962,0.5,win_valthr_wr45_d25,primary
20,SPXW,20260130,202601,10:15,2026-01-30 10:15:00,PUT,0.25,6925.0,7.070000171661377,0.24549999833106995,0.5,win_valthr_wr45_d25,primary
21,SPXW,20260202,202602,10:00,2026-02-02 10:00:00,PUT,0.25,6920.0,6.5,0.24899999797344208,-0.3,win_valthr_wr45_d25,primary
22,SPXW,20260203,202602,10:00,2026-02-03 10:00:00,PUT,0.25,6930.0,7.5,0.25049999356269836,0.5,win_valthr_wr45_d25,primary
23,SPXW,20260204,202602,10:00,2026-02-04 10:00:00,CALL,0.25,6935.0,5.800000190734863,0.2621000111103058,0.5,win_valthr_wr45_d25,primary
24,SPXW,20260205,202602,10:00,2026-02-05 10:00:00,PUT,0.25,6775.0,13.199999809265137,0.23999999463558197,0.5,win_valthr_wr45_d25,primary
25,SPXW,20260206,202602,10:00,2026-02-06 10:00:00,PUT,0.25,6830.0,9.100000381469727,0.2590000033378601,0.5,win_valthr_wr45_d25,primary
26,SPXW,20260209,202602,10:00,2026-02-09 10:00:00,PUT,0.25,6895.0,6.269999980926514,0.24799999594688416,-0.3,win_valthr_wr45_d25,primary
