fold,ticker,horizon,month,resolved_episodes,classes,both_classes
2024,SPXW,30,202401,61,2,True
2024,SPXW,30,202402,61,2,True
2024,SPXW,30,202403,46,2,True
2024,SPXW,30,202404,87,2,True
2024,SPXW,30,202405,49,2,True
2024,SPXW,30,202406,51,2,True
2024,SPXW,30,202407,79,2,True
2024,SPXW,30,202408,94,2,True
2024,SPXW,30,202409,63,2,True
2024,SPXW,30,202410,56,2,True
2024,SPXW,30,202411,53,2,True
2024,SPXW,30,202412,62,2,True
2024,SPXW,60,202401,78,2,True
2024,SPXW,60,202402,77,2,True
2024,SPXW,60,202403,53,2,True
2024,SPXW,60,202404,102,2,True
2024,SPXW,60,202405,77,2,True
2024,SPXW,60,202406,69,2,True
2024,SPXW,60,202407,94,2,True
2024,SPXW,60,202408,117,2,True
2024,SPXW,60,202409,84,2,True
2024,SPXW,60,202410,73,2,True
2024,SPXW,60,202411,75,2,True
2024,SPXW,60,202412,80,2,True
2024,SPXW,120,202401,95,2,True
2024,SPXW,120,202402,93,2,True
2024,SPXW,120,202403,78,2,True
2024,SPXW,120,202404,103,2,True
2024,SPXW,120,202405,95,2,True
2024,SPXW,120,202406,80,2,True
2024,SPXW,120,202407,104,2,True
2024,SPXW,120,202408,118,2,True
2024,SPXW,120,202409,95,2,True
2024,SPXW,120,202410,88,2,True
2024,SPXW,120,202411,84,2,True
2024,SPXW,120,202412,86,2,True
2024,SPXW,180,202401,83,2,True
2024,SPXW,180,202402,65,2,True
2024,SPXW,180,202403,61,2,True
2024,SPXW,180,202404,77,2,True
2024,SPXW,180,202405,70,2,True
2024,SPXW,180,202406,62,2,True
2024,SPXW,180,202407,71,2,True
2024,SPXW,180,202408,84,2,True
2024,SPXW,180,202409,77,2,True
2024,SPXW,180,202410,66,2,True
2024,SPXW,180,202411,57,2,True
2024,SPXW,180,202412,65,2,True
2024,QQQ,30,202401,52,2,True
2024,QQQ,30,202402,59,2,True
2024,QQQ,30,202403,55,2,True
2024,QQQ,30,202404,89,2,True
2024,QQQ,30,202405,64,2,True
2024,QQQ,30,202406,58,2,True
