cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,0,0.0,0.1,1,0.0913867721231147,1.0
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,1,0.1,0.2,20,0.16068602714195726,0.25
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,2,0.2,0.30000000000000004,24,0.2542558519946723,0.2916666666666667
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,3,0.30000000000000004,0.4,36,0.3666210779553984,0.3333333333333333
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,4,0.4,0.5,310,0.4574861548870434,0.36774193548387096
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,5,0.5,0.6000000000000001,304,0.5409566009524767,0.40789473684210525
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,6,0.6000000000000001,0.7000000000000001,57,0.6366401539721971,0.3684210526315789
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,7,0.7000000000000001,0.8,8,0.7340428186945174,0.5
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,8,0.8,0.9,2,0.8111019671800102,0.5
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,9,0.9,1.0,0,,
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,0,0.0,0.1,7,0.08477244923135482,0.14285714285714285
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,1,0.1,0.2,23,0.15134523660911675,0.34782608695652173
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,2,0.2,0.30000000000000004,29,0.25881630671031425,0.5172413793103449
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,3,0.30000000000000004,0.4,134,0.3631600164883058,0.34328358208955223
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,4,0.4,0.5,264,0.45178622448164363,0.38636363636363635
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,5,0.5,0.6000000000000001,219,0.5438211731028452,0.3926940639269406
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,6,0.6000000000000001,0.7000000000000001,69,0.6391017223840965,0.36231884057971014
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,7,0.7000000000000001,0.8,14,0.7241353582452793,0.2857142857142857
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,8,0.8,0.9,3,0.8175023283100501,0.6666666666666666
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,9,0.9,1.0,0,,
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,0,0.0,0.1,1,0.08249080169185088,1.0
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,1,0.1,0.2,0,,
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,2,0.2,0.30000000000000004,14,0.26555123602473707,0.2857142857142857
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,3,0.30000000000000004,0.4,65,0.36892130933692224,0.3076923076923077
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,4,0.4,0.5,406,0.4586195809220718,0.42610837438423643
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,5,0.5,0.6000000000000001,411,0.5422757261918034,0.44038929440389296
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,6,0.6000000000000001,0.7000000000000001,77,0.6288785589508966,0.38961038961038963
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,7,0.7000000000000001,0.8,5,0.723988173289019,0.2
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,8,0.8,0.9,0,,
