ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result
SPXW,20240102,202401,10:30,630,zero_dte,CALL,0.2611612001246298,0.2611612001246298,0.136507276253047,0.5,-0.3,0.5,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,11:00,660,zero_dte,PUT,0.14741861125836,0.0659268276370252,0.14741861125836,0.5,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,11:30,690,zero_dte,PUT,0.43571752806838,-0.2333926947001438,0.43571752806838,0.5,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,12:00,720,zero_dte,PUT,0.4598587281711767,-0.299978463343065,0.4598587281711767,-0.3,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,12:30,750,zero_dte,PUT,0.4634477798259974,-0.299978463343065,0.4634477798259974,0.5,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,13:00,780,zero_dte,PUT,0.136507276253047,-0.2202623160569094,0.136507276253047,-0.3,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240102,202401,13:30,810,zero_dte,PUT,0.1400963279078678,-0.2202623160569094,0.1400963279078678,-0.3,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240103,202401,10:30,630,front_weekly,PUT,0.0357645361956168,-0.1844815927305233,0.0357645361956168,0.1658536399283059,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240103,202401,11:00,660,zero_dte,PUT,0.4672930234211737,-0.0900249317303747,0.4672930234211737,-0.3,0.5,0.5,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240103,202401,11:30,690,zero_dte,PUT,0.4580565398211436,-0.0656841423646321,0.4580565398211436,-0.3,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPXW,20240103,202401,12:00,720,front_weekly,PUT,0.0219698178633894,-0.1833407160002018,0.0219698178633894,0.3887598079398322,-0.3,-0.3,thr-0.028_maxdayall,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
