date,pnl,cum_pnl
20260601,9727.624425156639,9727.624425156639
20260602,-1232.4844230547203,8495.140002101918
20260603,13500.0,21995.140002101918
20260604,-19255.663569629934,2739.4764324719836
20260605,13500.0,16239.476432471984
20260608,-17348.02072347729,-1108.5442910053061
20260609,-2058.0760235604307,-3166.620314565737
20260611,-14500.0,-17666.62031456574
20260612,-6500.0,-24166.62031456574
20260615,-12530.215809376552,-36696.83612394229
20260616,16589.830283798812,-20107.005840143476
20260617,6931.818181818182,-13175.187658325294
20260618,11000.0,-2175.1876583252943
20260622,-12228.806630372965,-14403.994288698259
