ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
QQQ,20260102,202601,10:00,600,zero_dte,PUT,-0.1205806851882862,-0.2939365508988318,-0.1205806851882862,-0.3,0.5,0.5,thr-999.000_maxday1,202601,600,QQQ_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,209,1,2,0,18,False,fallback_volume_pace,0
SPXW,20260102,202601,10:00,600,zero_dte,CALL,0.3594162945253042,0.3594162945253042,0.1141409874247051,-0.3,0.5,-0.3,thr0.300_maxday1,202601,600,SPXW_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,0,0,2,0,18,False,primary,0
SPY,20260102,202601,10:25,625,zero_dte,CALL,0.5305609746646551,0.5305609746646551,0.1047937213041819,0.5,-0.3,0.5,thr0.400_maxday1,202601,625,SPY_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spy_backfill18_v1\monthly_volume_backfill_trades.csv,333,1,2,0,18,False,fallback_volume_pace,0
SPY,20260102,202601,11:05,665,zero_dte,CALL,0.0733376608817877,0.0733376608817877,-0.2316510965965638,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,665,SPY_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spy_backfill18_v1\monthly_volume_backfill_trades.csv,186,0,2,1,18,False,primary,1
QQQ,20260105,202601,10:05,605,zero_dte,PUT,0.2898293406668704,-0.2382756148990333,0.2898293406668704,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601,605,QQQ_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,210,1,3,1,18,False,fallback_volume_pace,1
SPY,20260105,202601,10:10,610,zero_dte,PUT,0.4263308646870397,0.3730240437856992,0.4263308646870397,0.5,-0.3,-0.3,thr0.400_maxday1,202601,610,SPY_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spy_backfill18_v1\monthly_volume_backfill_trades.csv,334,1,3,2,18,False,fallback_volume_pace,2
SPXW,20260105,202601,10:25,625,zero_dte,CALL,0.4061567024441171,0.4061567024441171,0.1690837904665411,0.5,-0.3,0.5,thr0.300_maxday1,202601,625,SPXW_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,1,0,3,1,18,False,primary,1
QQQ,20260105,202601,10:50,650,zero_dte,CALL,0.4335853392739505,0.4335853392739505,0.2612662002488183,0.5,-0.3,0.5,thr0.398_maxday1,202601,650,QQQ_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,139,0,3,2,18,False,primary,2
SPXW,20260105,202601,11:10,670,zero_dte,PUT,0.4016034321933459,0.1773961689875444,0.4016034321933459,0.5,-0.3,-0.3,thr0.395_maxday1,202601,670,SPXW_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,1,1,3,2,18,False,fallback_volume_pace,2
QQQ,20260106,202601,10:00,600,zero_dte,PUT,-0.1632803355622232,-0.2893652640158221,-0.1632803355622232,-0.3,0.5,0.5,thr-999.000_maxday1,202601,600,QQQ_BEST,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_bestmix_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,211,1,4,3,18,False,fallback_volume_pace,3
