ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,_16,call_d35_opt_exit_minutes,put_d35_opt_exit_minutes,exit_minutes,known_minute,circuit_config,circuit_side_specific,circuit_mode,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,source_stream,source_file,_32,_33,_34,backfill_required_count,backfill_count_before,backfill_mode,static_source,static_source_file,static_source_priority,static_union_max_day,static_union_cooldown_minutes,static_union_count_before,_source_order,_orig_order,_priority
SPXW,20260106,202601,10:30,630,front_weekly,PUT,0.0203534228957197,0.0002662002236221,0.0203534228957197,-0.3,0.5,0.5,thr-0.050_maxday4,202601,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,0.0,,0.0,4,0,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,0,,0
SPXW,20260106,202601,11:00,660,front_weekly,CALL,0.0753253944008697,0.0753253944008697,-0.1059031134998185,0.5,-0.3,0.5,thr-0.050_maxday4,202601,660,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,1.0,,0.0,4,1,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,1,,0
SPXW,20260106,202601,11:30,690,front_weekly,CALL,-0.0033763236199665,-0.0033763236199665,-0.1322262714465423,0.5,-0.3,0.5,thr-0.050_maxday4,202601,690,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,2.0,,0.0,4,2,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,2,,0
SPXW,20260106,202601,12:00,720,front_weekly,CALL,0.1237877140056777,0.1237877140056777,-0.1221803456791824,0.5,-0.3,0.5,thr-0.050_maxday4,202601,720,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,3.0,,0.0,4,3,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,3,,0
SPXW,20260107,202601,10:30,630,front_weekly,CALL,0.2361947459224384,0.2361947459224384,-0.0678899302395627,0.5,-0.3,0.5,thr-0.050_maxday4,202601,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,4.0,,0.0,5,4,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,4,,0
SPXW,20260107,202601,11:00,660,front_weekly,CALL,0.2551180963885223,0.2551180963885223,-0.1476974347646535,-0.0571428707667759,-0.143236064876668,-0.0571428707667759,thr-0.050_maxday4,202601,660,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,5.0,,0.0,5,5,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,5,,0
SPXW,20260107,202601,11:30,690,front_weekly,CALL,0.2264382991367161,0.2264382991367161,-0.1072797742465115,0.5,-0.3,0.5,thr-0.050_maxday4,202601,690,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,6.0,,0.0,5,6,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,6,,0
SPXW,20260107,202601,12:00,720,front_weekly,CALL,0.0942915416864132,0.0942915416864132,-0.1231213075224887,-0.3,0.5,-0.3,thr-0.050_maxday4,202601,720,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,7.0,,0.0,5,7,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,7,,0
SPXW,20260113,202601,10:30,630,front_weekly,CALL,0.0436752393794764,0.0436752393794764,-0.0316339196052523,-0.0536081973519905,-0.3,-0.0536081973519905,thr-0.050_maxday4,202601,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,8.0,,0.0,8,8,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,8,,0
SPXW,20260113,202601,11:00,660,front_weekly,CALL,0.10334207705412,0.10334207705412,-0.1793431866247334,-0.1860465477323954,0.1321950772913491,-0.1860465477323954,thr-0.050_maxday4,202601,660,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,9.0,,0.0,8,9,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,9,,0
