month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D1_INVERTED,S40_H90,59,0.3898305084745763,1.0423086613054382,0.7331596355234796,30.0,90.0,3.47496480023675,0.7796610169491526,0.22033898305084745,True,False
202301,QQQ,D1_INVERTED,S40_H90,36,0.2777777777777778,0.49081612618836723,-6.109944399401172,30.0,90.0,6.109944399401172,0.7222222222222222,0.2777777777777778,False,False
202301,SPY,D1_INVERTED,S40_H90,19,0.3684210526315789,0.790161305802926,-0.9662053596566923,30.0,90.0,1.79685585282403,0.6842105263157895,0.3157894736842105,False,False
202302,SPXW,D1_INVERTED,S40_H90,48,0.4375,1.3459750010355638,4.123185539652058,30.0,90.0,3.609230705263344,0.8125,0.1875,True,False
202302,QQQ,D1_INVERTED,S40_H90,32,0.3125,0.7028012387529362,-2.540068460643362,30.0,90.0,3.4486721789516026,0.75,0.25,False,False
202302,SPY,D1_INVERTED,S40_H90,19,0.3684210526315789,0.6360271753630674,-2.102254953574051,30.0,90.0,3.1773506940710794,0.7368421052631579,0.2631578947368421,False,False
202303,SPXW,D1_INVERTED,S40_H90,68,0.35294117647058826,0.7393777160261685,-5.534357816038708,30.0,90.0,10.544964896875818,0.7352941176470589,0.2647058823529412,False,False
202303,QQQ,D1_INVERTED,S40_H90,45,0.37777777777777777,0.9317231858385912,-0.9389548090601338,30.0,90.0,6.941284573452927,0.7333333333333333,0.26666666666666666,False,False
202303,SPY,D1_INVERTED,S40_H90,23,0.43478260869565216,1.142887313685916,0.703025394838367,30.0,90.0,2.217922428105307,0.6956521739130435,0.30434782608695654,True,False
202304,SPXW,D1_INVERTED,S40_H90,60,0.4166666666666667,0.7978192550531176,-3.262868216690996,30.0,90.0,6.133799074110774,0.7333333333333333,0.26666666666666666,False,False
202304,QQQ,D1_INVERTED,S40_H90,36,0.3333333333333333,0.5936962736328482,-4.330966910257276,30.0,90.0,6.866302248342924,0.8611111111111112,0.1388888888888889,False,False
202304,SPY,D1_INVERTED,S40_H90,19,0.5263157894736842,1.3732462904009408,1.2135042562145906,30.0,90.0,1.8186395516833354,0.8947368421052632,0.10526315789473684,True,True
202305,SPXW,D1_INVERTED,S40_H90,64,0.328125,0.7800622992066438,-4.430555880908523,30.0,90.0,7.583649066811562,0.671875,0.328125,False,False
202305,QQQ,D1_INVERTED,S40_H90,44,0.4090909090909091,0.813424210460542,-2.1468345031960006,30.0,90.0,4.4095812706346,0.6363636363636364,0.36363636363636365,False,False
202305,SPY,D1_INVERTED,S40_H90,22,0.2727272727272727,0.7820920759291814,-1.2554308089217996,30.0,90.0,3.3635107395724355,0.6818181818181818,0.3181818181818182,False,False
202306,SPXW,D1_INVERTED,S40_H90,68,0.36764705882352944,0.6104622995733375,-8.229707314687156,30.0,90.0,12.295700959949603,0.75,0.25,False,False
202306,QQQ,D1_INVERTED,S40_H90,37,0.35135135135135137,0.6880217570374004,-3.7135436809519597,30.0,90.0,5.0735435760477845,0.7027027027027027,0.2972972972972973,False,False
202306,SPY,D1_INVERTED,S40_H90,20,0.6,1.992574717747584,3.378106973098121,30.0,90.0,1.3215364539694365,0.9,0.1,True,True
202307,SPXW,D1_INVERTED,S40_H90,56,0.32142857142857145,0.7739379706690934,-4.007690729195127,30.0,90.0,8.83134600501067,0.6964285714285714,0.30357142857142855,False,False
202307,QQQ,D1_INVERTED,S40_H90,32,0.53125,1.6150617781722738,4.01374848939931,30.0,90.0,2.3680573386548076,0.53125,0.46875,True,True
202307,SPY,D1_INVERTED,S40_H90,19,0.21052631578947367,0.2680924673850882,-4.002209656457505,30.0,90.0,4.119998759941612,0.7368421052631579,0.2631578947368421,False,False
202308,SPXW,D1_INVERTED,S40_H90,75,0.44,1.251315807565173,4.96330471251839,30.0,90.0,3.6158515912337146,0.7866666666666666,0.21333333333333335,True,False
202308,QQQ,D1_INVERTED,S40_H90,45,0.3333333333333333,0.761469909183421,-3.04346919568887,30.0,90.0,4.41365710470447,0.7777777777777778,0.2222222222222222,False,False
202308,SPY,D1_INVERTED,S40_H90,22,0.36363636363636365,0.5746687757714991,-2.983899721376269,30.0,90.0,4.378702429077825,0.7272727272727273,0.2727272727272727,False,False
202309,SPXW,D1_INVERTED,S40_H90,66,0.36363636363636365,0.7309295161466531,-5.337807121692835,30.0,90.0,6.706598065415786,0.7272727272727273,0.2727272727272727,False,False
202309,QQQ,D1_INVERTED,S40_H90,40,0.45,1.475140114293827,4.362766117159357,30.0,90.0,2.5065916348826187,0.8,0.2,True,False
202309,SPY,D1_INVERTED,S40_H90,20,0.4,0.7778781202202534,-0.9584718992137171,30.0,90.0,2.031199101006538,0.7,0.3,False,False
202310,SPXW,D1_INVERTED,S40_H90,73,0.4383561643835616,1.2047628418091052,4.147422431319615,30.0,90.0,4.322491673354406,0.7123287671232876,0.2876712328767123,True,False
202310,QQQ,D1_INVERTED,S40_H90,43,0.4883720930232558,1.256670280004027,2.8442867530441336,30.0,90.0,2.3143824679542027,0.6511627906976745,0.3488372093023256,True,False
202310,SPY,D1_INVERTED,S40_H90,22,0.36363636363636365,1.1512966341183941,0.8487447318629551,30.0,90.0,2.7100082259454457,0.6818181818181818,0.3181818181818182,True,False
202311,SPXW,D1_INVERTED,S40_H90,63,0.36507936507936506,0.6604611789109435,-6.5707228980986265,30.0,86.0,8.187657546038693,0.746031746031746,0.25396825396825395,False,False
202311,QQQ,D1_INVERTED,S40_H90,37,0.43243243243243246,0.9507527445660766,-0.46759880485132377,30.0,90.0,1.666350746178446,0.7027027027027027,0.2972972972972973,False,False
202311,SPY,D1_INVERTED,S40_H90,19,0.42105263157894735,1.385030683947582,1.739788474623575,30.0,90.0,1.215302939383701,0.8421052631578947,0.15789473684210525,True,False
