ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,action,score,realized_return,exit_minutes,date,deploy_config,arm,policy
QQQ,20230201,695,17.017221003887695,executable_quote,-0.6265060137138082,177,-0.604166687362723,178,-0.6494845427340712,154,-0.18518515520571144,180,17.32790760146806,650.0,16.45431613851296,33528539.907597844,13996474.956673924,6510688.31697464,202302,PUT,1.0,-0.18518515520571144,180.0,20230201,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230202,680,-19.637671790329048,executable_quote,0.36363627332629944,83,1.642857003837566,165,-0.6075949443492572,141,-0.6018518610500991,151,18.630433398591123,635.0,18.337677511301486,123337294.31462787,92034816.2050988,10434159.369843027,202302,CALL,1.0,1.642857003837566,165.0,20230202,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230202,855,-60.90767194153024,executable_quote,-0.6493506267312441,30,-0.6000000108372079,30,0.66233766635889,35,0.4225352408275376,36,18.53449093952231,810.0,18.233496386099834,112053941.13525313,82929082.6013993,9708286.177951276,202302,CALL,1.0,-0.6000000108372079,30.0,20230202,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230203,680,-1.928437886840051,executable_quote,-0.409836055962702,30,-0.3505154879899717,30,1.3880596775922571,115,1.2959183226620747,115,20.264651380009617,635.0,20.17415351286814,632158921.4097695,577462181.2116326,18232246.73271231,202302,CALL,1.0,-0.3505154879899717,30.0,20230203,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230203,715,-27.28138407209091,executable_quote,-0.7045454637817115,63,-0.6216216248870331,63,1.0,71,1.46153858850694,80,20.229873249968772,670.0,20.18807246282991,610551526.4303948,585556046.8126718,8331826.539240996,202302,CALL,1.0,-0.6216216248870331,63.0,20230203,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230207,680,19.077877492019724,executable_quote,-0.13888891648363078,83,-0.10891090628096045,83,-0.666666681718344,86,-0.6183205940153658,86,16.13970452707083,635.0,-17.172846696345538,10218439.38687652,-28712601.514318123,12977013.63373155,202302,PUT,1.0,-0.6183205940153658,86.0,20230207,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230207,795,-81.41603460578351,executable_quote,-0.9384615375798129,30,-0.9387755127641519,30,2.2499999534338704,30,1.9587626813486625,30,18.656357375344363,750.0,14.45809484254502,126576492.53357652,1901387.2639070225,41558368.42322317,202302,CALL,1.0,-0.9387755127641519,30.0,20230207,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230208,680,-15.034379898652972,executable_quote,-0.6153845859937639,81,-0.6,131,0.7352940222590036,30,0.5999999006589294,30,-19.82614951078502,635.0,-19.656555687679027,-407743765.0882299,-344138821.4890602,-21201647.86638989,202302,PUT,1.0,0.5999999006589294,30.0,20230208,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230208,710,-0.656647726139381,executable_quote,0.4444443340654771,36,0.4444443340654771,36,-0.6285714358699566,41,-0.6000000248352677,43,-20.124222589350893,665.0,-19.715806628431253,-549336963.2108638,-365145559.6796597,-61397134.51040137,202302,PUT,1.0,-0.6000000248352677,43.0,20230208,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230209,685,-31.352773820503277,executable_quote,-0.6399999856948853,72,-0.6235294307391943,73,-0.6190476156686708,55,0.42857145289985543,88,-16.978443296404045,640.0,17.85354040600162,-23639822.785777044,56714495.48795899,-26784772.75791201,202302,PUT,1.0,0.42857145289985543,88.0,20230209,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230209,775,2.6311372455789517,executable_quote,-0.6206896463132214,62,-0.6000000108372079,63,0.37037033357738114,96,0.26923086622057935,86,-18.463015487345903,730.0,16.577482382997406,-104324362.92240019,15831027.209940886,-40051796.71078036,202302,CALL,1.0,-0.6000000108372079,63.0,20230209,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230210,710,-11.364273889099552,executable_quote,-0.7297297291854945,30,-0.6769230751596258,30,0.5319149583753497,31,0.5384616560249447,31,-20.01675281514665,665.0,-19.765589218655638,-493361541.49202585,-383783525.5513444,-36526005.313560486,202302,PUT,1.0,0.5384616560249447,31.0,20230210,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230210,745,-0.3359883584130863,executable_quote,2.1785713639490463,57,1.6909090672642737,57,-0.7222222291209077,51,-0.666666674550879,51,-20.0086860812395,700.0,-19.96371750457868,-489397734.192541,-467877703.50769943,-7173343.561613858,202302,PUT,1.0,-0.666666674550879,51.0,20230210,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230213,680,16.467410728824294,executable_quote,-0.521739141702201,180,-0.33333333333333337,180,-0.6129032374358697,126,-0.618181838378433,128,19.043337020850696,635.0,18.43469293462643,186387242.3388851,101411081.15576285,28325387.061040748,202302,PUT,1.0,-0.618181838378433,128.0,20230213,thr-inf_maxday2,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
