ticker,expiry_mode,time,minute,month,date,call_return,put_return,pred_call_return,pred_put_return,action,score,realized_return,source_variant,source_component,source_priority,component_threshold,component_max_day,component_cooldown,event_delta_bucket,event_delta_target,test_month,selected_variants,selected_max_day,selected_cooldown,selected_order,selected_threshold_override,policy_profile,policy_ticker,entry_minute,source_stream,source_file,_source_order,deploy_config,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPY,zero_dte,10:00,600,202601,20260102,-0.6,5.0,-0.1586269458519603,0.2334764032395259,PUT,0.2334764032395259,5.0,,,,,,,,,202601,,,,,,,,600,clean_d35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_val2_gpu_v1_SPY\event_option_gate_trades.csv,240,thr0.086_maxday3,1,2,0,18,False,fallback_volume_pace
SPY,zero_dte,10:30,630,202601,20260102,0.9833333002196428,0.5064103269483002,-0.2514725051429932,0.1792288645697918,PUT,0.1792288645697918,0.5064103269483002,,,,,,,,,202601,,,,,,,,630,clean_d35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_val2_gpu_v1_SPY\event_option_gate_trades.csv,241,thr0.086_maxday3,1,2,1,18,False,fallback_volume_pace
SPY,zero_dte,10:05,605,202601,20260105,0.4642858359278503,-0.6,0.0860142641941115,0.0553327514097515,CALL,0.0860142641941115,0.4642858359278503,,,,,,,,,202601,,,,,,,,605,clean_d35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_val2_gpu_v1_SPY\event_option_gate_trades.csv,243,thr0.086_maxday3,1,3,2,18,False,fallback_volume_pace
SPY,zero_dte,10:50,650,202601,20260105,0.8475610287965307,-0.6,-0.4125284293813901,0.4718478587351695,PUT,0.4718478587351695,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_SPY_v1,0.0,0.3,3.0,30.0,35.0,0.35,202601,d35,1.0,0.0,score_desc,,balanced_cap4,SPY,650,prod_static_union,research_papers\JEPA\results\event_option_mh30trail_frozen2025_static_union_deploy202607_production_v1\combined_trades.csv,592,,0,3,3,18,False,primary
SPY,zero_dte,10:00,600,202601,20260107,0.3970588029049668,0.2983871463930441,-0.0321833476850795,0.2123624512307351,PUT,0.2123624512307351,0.2983871463930441,,,,,,,,,202601,,,,,,,,600,clean_d35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_val2_gpu_v1_SPY\event_option_gate_trades.csv,249,thr0.086_maxday3,1,5,4,18,False,fallback_volume_pace
SPY,zero_dte,13:05,785,202601,20260107,-0.6,1.0192307515962584,-0.1110070141019314,0.3128927956289681,PUT,0.3128927956289681,1.0192307515962584,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_SPY_v1,0.0,0.3,3.0,30.0,35.0,0.35,202601,d35,1.0,0.0,score_desc,,balanced_cap4,SPY,785,prod_static_union,research_papers\JEPA\results\event_option_mh30trail_frozen2025_static_union_deploy202607_production_v1\combined_trades.csv,593,,0,5,5,18,False,primary
SPY,zero_dte,10:35,635,202601,20260108,0.3676470768699182,-0.6,0.0606996254926662,0.3514637288459702,PUT,0.3514637288459702,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_SPY_v1,0.0,0.3,3.0,30.0,35.0,0.35,202601,d35,1.0,0.0,score_desc,,balanced_cap4,SPY,635,prod_static_union,research_papers\JEPA\results\event_option_mh30trail_frozen2025_static_union_deploy202607_production_v1\combined_trades.csv,594,,0,5,6,18,False,primary
SPY,zero_dte,11:50,710,202601,20260112,1.022727285042282,-0.6,0.3663334284499026,-0.3167732392383654,CALL,0.3663334284499026,1.022727285042282,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_SPY_v1,0.0,0.3,3.0,30.0,35.0,0.35,202601,d35,1.0,0.0,score_desc,,balanced_cap4,SPY,710,prod_static_union,research_papers\JEPA\results\event_option_mh30trail_frozen2025_static_union_deploy202607_production_v1\combined_trades.csv,595,,0,7,7,18,False,primary
SPY,zero_dte,10:00,600,202601,20260114,0.4807693248199558,-0.6,-0.3990512105731126,0.2472885786885739,PUT,0.2472885786885739,-0.6,,,,,,,,,202601,,,,,,,,600,clean_d35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_val2_gpu_v1_SPY\event_option_gate_trades.csv,264,thr0.086_maxday3,1,9,8,18,False,fallback_volume_pace
SPY,zero_dte,10:15,615,202601,20260115,0.3726416240174792,0.256849308357518,-0.6735515611996089,0.5713645048805749,PUT,0.5713645048805749,0.256849308357518,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_SPY_v1,0.0,0.3,3.0,30.0,35.0,0.35,202601,d35,1.0,0.0,score_desc,,balanced_cap4,SPY,615,prod_static_union,research_papers\JEPA\results\event_option_mh30trail_frozen2025_static_union_deploy202607_production_v1\combined_trades.csv,597,,0,9,9,18,False,primary
