ticker,test_month,training_months,selection_months,profile,delta,train_rows,selection_rows,test_rows,winner_name,grid_index,policy_sha256,selection_prediction_sha256,test_prediction_sha256,selection_trades,selection_pf,selection_pnl,selection_positive_months,selection_min_month_trades,test_trades,test_win_rate,test_pf,test_pnl
QQQ,202601,"202501,202502,202503,202504,202505,202506","202507,202508,202509,202510,202511,202512",target_zero_dte_d35_return,35,4232,5090,750,thr0.05_edge0.15_PUT_t630-840_near15_SPX_SAME_5M_cap2_cd45,285447,3f47a176237424b0628a9226b66c588daa121a241c12e8f2557ff933d55335ac,78e3370bd6d372b6de3d7e541ad5a4ff0aca2924f750dfbb49ad2ee3b1c79820,6c2d9ba91956cf5539832e730a41322bb7c2839150f3c7e3f6369a3a3dde739b,136,1.0924376112014944,4.539122978458338,5,18,24,0.375,0.9622433914590655,-0.2761445809624561
SPXW,202601,"202501,202502,202503,202504,202505,202506","202507,202508,202509,202510,202511,202512",target_zero_dte_d25_return,25,4762,5565,899,thr0_edge0.3_PUT_t630-810_near15_QQQ_SAME_5M_cap1_cd0,205168,689db14d928573318cbe33a7454842eb5347bb47d1520d1cdf420f763407ae75,dce26fca81c316309dfe7ff4d64eae000c65ebb6ce134f40cbb7c7fa1b199b31,1dbd69b1754ad970e8c01cee30d025589756076b55d6ca2cf36b0ddbba6aed95,110,1.3607015173254022,12.589782442749158,6,16,20,0.25,0.5347694235685727,-3.591270291470517
SPY,202601,"202501,202502,202503,202504,202505,202506","202507,202508,202509,202510,202511,202512",target_zero_dte_d35_return,35,4741,5586,895,thr0.25_edge0.3_BOTH_t630-810_near20_NONE_cap2_cd0,758916,fb056ab072b34ecf12ef6ce1df6b530c0ff422fa98a5b644f167529f853119d4,d652775a008db03ad1b1d14fd75556fb8d969f5279a0e0b027bf7c5f45d57290,36e86b27195e0815d3e21a049293a5eca2c064fb08cb68b74ee78cca3e7c7e81,156,1.2823223926900762,15.41202616339099,5,17,25,0.48,0.9910090770304905,-0.060081681312680435
QQQ,202602,"202501,202502,202503,202504,202505,202506,202507","202508,202509,202510,202511,202512,202601",target_zero_dte_d35_return,35,5146,4926,562,thr-0.1_edge0.3_BOTH_t630-840_near15_SPX_SAME_5M_cap1_cd0,81152,897b5441a371c993cf718591ff4e15f377d0ce5f651b0635fc2883a3b21a0c54,fb1414569fb709e2ff273c996ab22231fef97332abd559ff894d8bc2951ceae2,fedcbbef113f6fa3cdb1befc3e02c44715608bafe25eaf5e08db2e3ceab88d05,119,1.2610686802479198,10.063205998934599,4,18,18,0.3888888888888889,1.0547581888640907,0.3491953065742496
SPXW,202602,"202501,202502,202503,202504,202505,202506,202507","202508,202509,202510,202511,202512,202601",target_zero_dte_d25_return,25,5794,5432,668,thr-0.1_edge0_BOTH_t630-810_near20_SELF_SAME_5M_cap1_cd0,928,873ebbbf8629f5017a098161a40d77b32d9441fab00c705b92006b02db9c380a,d9221123036217bd94f35d1e16adb2e43a36130ffc92fcc3e414f51b60a64c0c,909c3d4ebd62a80ef0d239ef19044b050a1ea6d052ebf87a91ed01d824f77f1d,125,1.413056040380074,17.203037241411995,5,19,19,0.3157894736842105,0.974828502246983,-0.20946495959164857
SPY,202602,"202501,202502,202503,202504,202505,202506,202507","202508,202509,202510,202511,202512,202601",target_zero_dte_d35_return,35,5779,5443,663,thr0.25_edge0.4_PUT_t630-870_near20_QQQ_SAME_5M_cap1_cd0,785216,b0b79d441d308fc8dd026b4012a7116a7c83c49f88b4c69899921d3cdf903b7c,c368fab5783a4ca4fba0466cc244dd2a3caac84d317e6ca46df848d2678b043d,3c5d2b46f92fc11bdb5f8c261bcb9d078ac2ec684dea5bba5cfd09554a813bb2,116,1.1811230607527474,6.768561763910767,5,14,18,0.3333333333333333,1.2344243454933552,1.642636186973056
QQQ,202603,"202501,202502,202503,202504,202505,202506,202507,202508","202509,202510,202511,202512,202601,202602",target_zero_dte_d35_return,35,5991,4643,785,thr-0.1_edge0.15_BOTH_t690-840_near15_SPX_SAME_5M_cap2_cd0,50916,ce5aac3d5e8375557692a50ac740a2019e13d2a5f9a3d0e191c1f7a5c206c03e,0eceb8349466532fe920b64a24873534a536fa8147e6197b43123911a4e8ff72,d9683ea7c1543a9186a4922267e6d7e3d91844738d398d4e30aaa6d71546f109,143,0.955817922701162,-2.2945276627760505,5,18,33,0.24242424242424243,0.24025442376880932,-11.34876952055556
SPXW,202603,"202501,202502,202503,202504,202505,202506,202507,202508","202509,202510,202511,202512,202601,202602",target_zero_dte_d25_return,25,6719,5175,832,thr0_edge0.4_BOTH_t630-870_near10_SELF_SAME_5M_cap3_cd45,209707,7e2085a55ea15da9c310368c6c8774bfb9ee5309b121d865256a37f0bceb6ee2,24a1b35574e96aa925abdb843d801c9b802c2350a847a2d3c527a1486703e8e7,5b7e74821a55ffc9aae7a0e3869eed3d9ab94d2d57a2b646da1f9492753ca5dd,138,1.2395049916216245,10.775977145613954,6,17,19,0.3684210526315789,0.3315993518754359,-4.575995223703597
SPY,202603,"202501,202502,202503,202504,202505,202506,202507,202508","202509,202510,202511,202512,202601,202602",target_zero_dte_d35_return,35,6706,5179,847,thr0_edge0.4_BOTH_t630-870_near15_QQQ_COUNTER_5M_cap1_cd0,209856,2dfb5a9727522155766f7cb2c367d0d69fa4ed805549a66e494a78f064ed0eff,b76d285ff3a7fa33041a6dcebdd9c88ac4577e0acd047ffa66fe32f16dd67cb8,a8268905f8ca761ca28568c5903ab1e5b4fd1e58b5e7a029f94696350b008f95,102,1.2978162350815179,8.014630125607496,6,15,12,0.5,0.7621749232134923,-0.8502084547818556
QQQ,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512,202601,202602,202603",target_zero_dte_d35_return,35,6930,4489,693,thr-0.1_edge0.05_PUT_t630-810_near15_NONE_cap2_cd45,27671,8090f938722d7cc63459e124d7315c2c8f64b1baa6a6db07b85539df9dca108a,23f2d74612b00c34d97d6f6bc023debd0b47485206b56ba7b8a7480d6648bf41,2f935e5333fcbdc94dab96189ed5f2482af902330fa713fb0a5c98c4424ccd98,183,1.1098665674656556,6.6520401939893,5,25,33,0.30303030303030304,0.528282786594736,-6.445185260597507
SPXW,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512,202601,202602,202603",target_zero_dte_d25_return,25,7662,5064,925,thr0_edge0.4_BOTH_t690-810_near10_QQQ_COUNTER_5M_cap2_cd0,212436,72d77f4a01a6de222178217d72dfbd0aa7d2d47d58dfa7d9c4200f1f8ac003db,9154eb710dc67df0db9a6d5accd8f1430417ca851b11d5d3d5ee83e2ed10818c,2cbbb10a1c51f772292c307c6eb162cb8c23e2d2a3f8524659a3062207fc0093,113,1.0520138672591375,2.1110798956727748,5,15,17,0.4117647058823529,1.1151393797611555,0.6663239020701515
SPY,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512,202601,202602,202603",target_zero_dte_d35_return,35,7651,5081,808,thr0.1_edge0.4_PUT_t630-840_near15_QQQ_SAME_5M_cap1_cd0,446752,2122980dc156e1d22fd5a8dced39e7ee38f1d94863016787befb3d182789f834,0122ee6d6e1d4baeddae9fd8bb70cb5e7e9698a989ac7295d6286c9d2ec1bc64,b693759f456ccf7c7a75f0d183ca49657d1c2e647a5f0f68fc577a14b46ea737,99,1.5526026512431914,16.929230452472037,6,14,15,0.4,0.7399764007430631,-1.2741183083303302
