ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
QQQ,20260102,202601,10:00,600,zero_dte,PUT,-0.2244437260077439,-0.2275047928641964,-0.2244437260077439,-0.3,0.5,0.5,thr-999.000_maxday3,202601,600,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,719,1,2,0,18,False,fallback_volume_pace,0
SPXW,20260102,202601,10:00,600,zero_dte,CALL,-0.2265036303064051,-0.2265036303064051,-0.2458681498676628,-0.3,0.5,-0.3,thr-999.000_maxday3,202601,600,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,0,1,2,0,18,False,fallback_volume_pace,0
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.2175488863609092,0.1715043580014124,0.2175488863609092,-0.3,0.5,0.5,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,0,0,2,0,18,False,primary,0
QQQ,20260102,202601,10:30,630,zero_dte,CALL,-0.1903533351921932,-0.1903533351921932,-0.2483598914868058,0.5,-0.3,0.5,thr-999.000_maxday3,202601,630,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,720,1,2,1,18,False,fallback_volume_pace,1
SPXW,20260102,202601,10:30,630,zero_dte,CALL,-0.0937001528288664,-0.0937001528288664,-0.3267875450856601,0.5,-0.3,0.5,thr-999.000_maxday3,202601,630,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,1,1,2,1,18,False,fallback_volume_pace,1
SPY,20260102,202601,10:30,630,zero_dte,CALL,-0.0935932206616988,-0.0935932206616988,-0.2765504951365329,0.5,-0.3,0.5,thr-999.000_maxday3,202601,630,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,365,1,2,1,18,False,fallback_volume_pace,1
SPXW,20260105,202601,10:00,600,zero_dte,CALL,-0.2195024458007091,-0.2195024458007091,-0.2665320882947385,0.5,-0.3,0.5,thr-999.000_maxday3,202601,600,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,3,1,3,2,18,False,fallback_volume_pace,2
SPY,20260105,202601,10:00,600,zero_dte,PUT,0.1932095783008594,0.1842002006720502,0.1932095783008594,0.5,-0.3,-0.3,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,1,0,3,2,18,False,primary,2
QQQ,20260105,202601,10:05,605,zero_dte,PUT,0.3407644085303138,0.1039882649153141,0.3407644085303138,0.5,-0.3,-0.3,thr0.321_maxday1,202601,605,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,1,0,3,2,18,False,primary,2
QQQ,20260106,202601,10:00,600,zero_dte,CALL,-0.1705290195750752,-0.1705290195750752,-0.2573430902016573,-0.3,0.5,-0.3,thr-999.000_maxday3,202601,600,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,725,1,4,3,18,False,fallback_volume_pace,3
SPXW,20260106,202601,10:00,600,zero_dte,CALL,-0.1870500163022008,-0.1870500163022008,-0.2941879697844153,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,600,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,6,1,4,3,18,False,fallback_volume_pace,3
SPY,20260106,202601,10:00,600,zero_dte,CALL,0.2309292016059957,0.2309292016059957,0.1546312418191132,0.5,-0.3,0.5,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,2,0,4,3,18,False,primary,3
QQQ,20260106,202601,12:20,740,zero_dte,PUT,0.3800371017725487,0.2655585731330063,0.3800371017725487,0.5,-0.3,-0.3,thr0.321_maxday1,202601,740,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,2,0,4,4,18,False,primary,4
SPXW,20260107,202601,10:00,600,zero_dte,CALL,-0.2496636593202877,-0.2496636593202877,-0.2815921822333276,-0.3,0.5,-0.3,thr-999.000_maxday3,202601,600,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,9,1,5,4,18,False,fallback_volume_pace,4
SPY,20260107,202601,10:00,600,zero_dte,CALL,0.3295006413482695,0.3295006413482695,0.150771697467192,-0.3,0.5,-0.3,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,3,0,5,4,18,False,primary,4
QQQ,20260107,202601,10:05,605,zero_dte,CALL,0.4009055060596668,0.4009055060596668,0.1021483380196221,0.5,-0.3,0.5,thr0.321_maxday1,202601,605,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,3,0,5,5,18,False,primary,5
QQQ,20260108,202601,10:00,600,zero_dte,CALL,0.510705283963873,0.510705283963873,0.0823450828922088,0.5,-0.3,0.5,thr0.321_maxday1,202601,600,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,4,0,5,6,18,False,primary,6
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.6864832332782146,0.6864832332782146,0.0653156379215054,0.5,-0.3,0.5,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,4,0,5,5,18,False,primary,5
SPXW,20260109,202601,10:05,605,zero_dte,CALL,-0.1449039917993063,-0.1449039917993063,-0.3264707425897741,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,605,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,15,1,6,5,18,False,fallback_volume_pace,5
SPY,20260109,202601,10:05,605,zero_dte,CALL,0.4609023358923141,0.4609023358923141,0.1008579736625215,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601,605,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,5,0,6,6,18,False,primary,6
QQQ,20260109,202601,10:10,610,zero_dte,CALL,0.3530178226745588,0.3530178226745588,0.1033103877075687,0.5,-0.3,0.5,thr0.321_maxday1,202601,610,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,5,0,6,7,18,False,primary,7
SPXW,20260112,202601,10:00,600,zero_dte,CALL,-0.204802921353493,-0.204802921353493,-0.2977242368321466,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,600,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_backfill18_v1\monthly_volume_backfill_trades.csv,18,1,7,6,18,False,fallback_volume_pace,6
SPY,20260112,202601,10:00,600,zero_dte,CALL,0.332253388153853,0.332253388153853,0.218108848658789,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601,600,SPY,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spy_backfill18_v1\monthly_volume_backfill_trades.csv,6,0,7,7,18,False,primary,7
QQQ,20260112,202601,10:15,615,zero_dte,CALL,0.3598527540703932,0.3598527540703932,0.1653907957735477,-0.3,-0.3,-0.3,thr0.321_maxday1,202601,615,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_backfill18_v1\monthly_volume_backfill_trades.csv,6,0,7,8,18,False,primary,8
