ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_stream,source_file
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,ABSTAIN_INVALID_VAL,12667,4797,779,-9.999999999999996e+17,True,381,0.34120734908136485,0.8570628911438272,-10.738608434131029,-0.02818532397409719,-14.138608434131017,0.6272965879265092,128,0.2734375,-0.09999999999999998,-14.138608434131019,7.5,-0.6984145148790781,55,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,ABSTAIN_INVALID_VAL,15197,4713,616,-9.999999999999996e+17,True,375,0.35733333333333334,0.9182516831388532,-5.910403309060921,-0.015761075490829123,-9.31040330906089,0.042666666666666665,126,0.30952380952380953,-0.09999999999999998,-9.110403309060915,7.5,-1.2689489376303904,55,0.5,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.620_maxday1,17516,4551,793,6.053018983663051,False,98,0.45918367346938777,1.4150943396226412,6.600000000000001,0.06734693877551022,-1.6,0.8367346938775511,98,0.45918367346938777,-0.3,-1.6,2.5,0.37878787878787873,14,1.0,20,0.5,1.666666666666667,2.0,0.1,-1.3000000000000003,0.8,20,0.5,0.1,-1.3000000000000003,2.5,1.25,20,1.0,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.429_maxday1,19947,4530,793,6.693128679676231,False,123,0.4878048780487805,1.5996278311130316,11.245637631144621,0.09142794822068798,-1.5000000000000018,0.3170731707317073,123,0.4878048780487805,-0.3,-1.5000000000000018,2.5,0.2223084258980823,18,0.8333333333333334,21,0.47619047619047616,1.5151515151515154,1.7,0.08095238095238096,-1.8000000000000003,0.23809523809523808,21,0.47619047619047616,-0.3,-1.8000000000000003,2.5,1.4705882352941178,21,1.0,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.500_maxday2,22454,4471,783,7.380690307474455,False,197,0.48223350253807107,1.5522875816993464,16.900000000000002,0.08578680203045687,-2.500000000000007,0.29441624365482233,107,0.6635514018691588,0.2,-2.2000000000000064,5.0,0.29585798816568043,24,1.0,31,0.3870967741935484,1.0526315789473686,0.3000000000000001,0.009677419354838714,-2.5000000000000004,0.0967741935483871,17,0.5882352941176471,0.2,-2.2,3.2,10.666666666666664,31,1.0,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr0.500_maxday1,24374,4606,736,7.213786067451277,False,102,0.5294117647058824,1.875,12.599999999999998,0.12352941176470586,-1.5000000000000036,0.17647058823529413,102,0.5294117647058824,0.5,-1.5000000000000036,2.5,0.19841269841269846,15,1.0,19,0.2631578947368421,0.5952380952380953,-1.7,-0.08947368421052632,-2.1,0.0,19,0.2631578947368421,-0.3,-2.1,2.5,-1.4705882352941178,19,0.0,SPXW,research_papers\JEPA\results\_diagnostics\event_option_clean_live_spxw_d25_wf2026_v1\fold_configs.csv
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.321_maxday1,12667,4521,692,6.263716370312772,False,127,0.48031496062992124,1.5404040404040404,10.699999999999996,0.08425196850393697,-3.0999999999999996,0.6850393700787402,127,0.48031496062992124,-0.3,-3.0999999999999996,2.5,0.2336448598130842,19,0.8333333333333334,20,0.6,2.5,3.6000000000000005,0.18000000000000002,-0.6000000000000001,0.7,20,0.6,0.5,-0.6000000000000001,2.5,0.6944444444444443,20,1.0,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\fold_configs.csv
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,ABSTAIN_INVALID_VAL,15197,4416,550,-9.999999999999996e+17,True,374,0.34759358288770054,0.887978142076503,-8.2,-0.02192513368983957,-12.799999999999981,0.045454545454545456,126,0.3333333333333333,-0.09999999999999998,-12.500000000000002,7.5,-0.9146341463414634,57,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\fold_configs.csv
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.501_maxday1,17516,4211,765,6.866868810479464,False,122,0.4918032786885246,1.6129032258064513,11.399999999999999,0.09344262295081966,-1.6,0.6065573770491803,122,0.4918032786885246,-0.3,-1.6,2.5,0.2192982456140351,19,1.0,22,0.5,1.666666666666667,2.2,0.1,-1.5999999999999999,0.5,22,0.5,0.1,-1.5999999999999999,2.5,1.1363636363636362,22,1.0,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\fold_configs.csv
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,ABSTAIN_INVALID_VAL,19947,4179,637,-9.999999999999996e+17,True,370,0.3945945945945946,1.0745093274148565,5.007026802278357,0.013532504871022586,-6.70000000000002,0.34324324324324323,125,0.4,-0.09999999999999998,-6.400000000000004,7.5,1.497894917715891,54,0.6666666666666666,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,QQQ,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\fold_configs.csv
