month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D0_K1,S40_H90,64,0.3125,0.43713983676645224,-12.270233613118094,30.0,90.0,14.791984893517004,0.15625,0.84375,False,False
202301,QQQ,D0_K1,S40_H90,36,0.4444444444444444,0.8235274271797929,-1.650766620051248,30.0,90.0,3.797137832858672,0.2777777777777778,0.7222222222222222,False,False
202301,SPY,D0_K1,S40_H90,19,0.3684210526315789,0.41784956899205994,-3.3542737920933208,30.0,90.0,3.7130320894037157,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,D0_K1,S40_H90,52,0.3269230769230769,0.578720070892777,-7.014275291544934,30.0,90.0,9.613309266336884,0.19230769230769232,0.8076923076923077,False,False
202302,QQQ,D0_K1,S40_H90,32,0.28125,0.5451009135102264,-4.10078234930468,30.0,90.0,5.166367940654804,0.21875,0.78125,False,False
202302,SPY,D0_K1,S40_H90,19,0.3684210526315789,1.1318841107975355,0.5906219266202469,30.0,90.0,1.4567082422092226,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,D0_K1,S40_H90,67,0.34328358208955223,0.5226469769259767,-9.958767781884125,30.0,90.0,10.44967683811415,0.29850746268656714,0.7014925373134329,False,False
202303,QQQ,D0_K1,S40_H90,45,0.35555555555555557,0.8778446534212345,-1.7556481909024635,30.0,90.0,5.431999997269737,0.2222222222222222,0.7777777777777778,False,False
202303,SPY,D0_K1,S40_H90,23,0.391304347826087,0.6802363033783967,-1.7279835003276758,30.0,90.0,2.928369430067918,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,D0_K1,S40_H90,68,0.3088235294117647,0.5038112388929303,-11.513648848255885,30.0,90.0,11.51364884825589,0.29411764705882354,0.7058823529411765,False,False
202304,QQQ,D0_K1,S40_H90,37,0.3783783783783784,1.1193941023968443,1.1606956669526074,30.0,90.0,2.8540848838480453,0.1891891891891892,0.8108108108108109,True,False
202304,SPY,D0_K1,S40_H90,19,0.3684210526315789,0.4491612007564842,-3.0421895229552756,30.0,90.0,3.0421895229552747,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,D0_K1,S40_H90,64,0.34375,0.9063931191420951,-1.8137115722959476,30.0,90.0,7.4051408745597165,0.3125,0.6875,False,False
202305,QQQ,D0_K1,S40_H90,44,0.4772727272727273,1.0145295353485,0.14729360363097344,30.0,90.0,2.61761841937957,0.4090909090909091,0.5909090909090909,True,False
202305,SPY,D0_K1,S40_H90,22,0.18181818181818182,0.058252688794178026,-6.454387194122141,30.0,90.0,6.454387194122143,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,D0_K1,S40_H90,70,0.34285714285714286,0.9609822030279414,-0.8518230398086446,30.0,90.0,6.061056221021009,0.2857142857142857,0.7142857142857143,False,False
