ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPY,20260102,202601,10:25,625,zero_dte,CALL,0.5305609746646551,0.5305609746646551,0.1047937213041819,0.5,-0.3,0.5,thr0.400_maxday1,202601,625,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,333,1,2,0,18,False,fallback_volume_pace
SPY,20260102,202601,11:05,665,zero_dte,CALL,0.0733376608817877,0.0733376608817877,-0.2316510965965638,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,665,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,186,0,2,1,18,False,primary
SPY,20260105,202601,10:10,610,zero_dte,PUT,0.4263308646870397,0.3730240437856992,0.4263308646870397,0.5,-0.3,-0.3,thr0.400_maxday1,202601,610,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,334,1,3,2,18,False,fallback_volume_pace
SPY,20260106,202601,10:25,625,zero_dte,PUT,0.5038109145545144,0.2114311535896477,0.5038109145545144,-0.3,0.5,0.5,thr0.400_maxday1,202601,625,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,335,1,4,3,18,False,fallback_volume_pace
SPY,20260107,202601,10:05,605,zero_dte,CALL,0.0268299507466147,0.0268299507466147,-0.2897859203899782,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,605,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,188,0,5,4,18,False,primary
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.1730761380842066,0.1730761380842066,-0.2825167987704813,0.5,-0.3,0.5,thr0.014_maxday1,202601,600,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,189,0,5,5,18,False,primary
SPY,20260112,202601,10:00,600,zero_dte,CALL,0.466498661063056,0.466498661063056,0.1951554496998496,-0.3,-0.3,-0.3,thr0.400_maxday1,202601,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,339,1,7,6,18,False,fallback_volume_pace
SPY,20260112,202601,10:35,635,zero_dte,CALL,0.0737904966622679,0.0737904966622679,-0.2287093856606961,0.5,-0.3,0.5,thr0.014_maxday1,202601,635,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,190,0,7,7,18,False,primary
SPY,20260113,202601,10:10,610,zero_dte,CALL,0.0206722563031964,0.0206722563031964,-0.2930188936199399,-0.3,0.5,-0.3,thr0.014_maxday1,202601,610,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,191,0,8,8,18,False,primary
SPY,20260114,202601,10:50,650,zero_dte,CALL,0.041747349258289,0.041747349258289,-0.2889822261801056,0.5,-0.3,0.5,thr0.014_maxday1,202601,650,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,192,0,9,9,18,False,primary
SPY,20260116,202601,13:15,795,zero_dte,PUT,0.0190179662338281,-0.1931728347786267,0.0190179662338281,0.5,-0.3,-0.3,thr0.014_maxday1,202601,795,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,193,0,10,10,18,False,primary
SPY,20260120,202601,10:00,600,zero_dte,CALL,0.1431197479160574,0.1431197479160574,-0.296819109006996,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,600,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,194,0,12,11,18,False,primary
SPY,20260121,202601,10:25,625,zero_dte,PUT,0.4275086850436189,0.1605301343043045,0.4275086850436189,0.5,-0.3,-0.3,thr0.400_maxday1,202601,625,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,345,1,13,12,18,False,fallback_volume_pace
SPY,20260122,202601,11:20,680,zero_dte,PUT,0.4491188040424191,0.1996599165415267,0.4491188040424191,0.5,-0.3,-0.3,thr0.400_maxday1,202601,680,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,346,1,14,13,18,False,fallback_volume_pace
SPY,20260122,202601,13:10,790,zero_dte,PUT,0.0290941517045011,-0.2074514937249086,0.0290941517045011,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,790,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,195,0,14,14,18,False,primary
