epoch,score,train_ce,train_pred,train_sig,train_straight,train_total,train_vic,train_vis,val_acc,val_ce,val_pred,val_sig,val_straight,val_total,val_trade_precision,val_trade_rate,val_vic,val_vis,val_z_effective_rank,val_z_effective_rank_ratio,val_z_max_pc_var_ratio,val_z_mean_abs,val_z_median_dim_std,val_z_min_dim_std,val_z_n,val_z_near_zero_std_dims,val_z_z_dim
1,0.4763226732611656,1.0924220446207957,0.1143501496505141,0.41787658076832257,2.7376588181588972,0.45537066626674727,0.4777408540069495,0.6120201301504551,0.3999137282371521,1.079799771308899,0.15297256410121918,0.311816930770874,2.0385546684265137,0.45888030529022217,0.3760162591934204,0.6367558240890503,0.37175723910331726,0.5158334374427795,6.883688449859619,0.4302305281162262,0.3289104104042053,0.12197841703891754,0.37348106503486633,0.18458692729473114,2318,0,16
2,0.6212856024503708,1.0640611073280875,0.2507459290556339,0.20907801606938456,2.6618479416855583,0.5390913225548455,0.2641019504090053,0.37749629233789583,0.4335634112358093,1.0642650127410889,0.33610469102859497,0.12586282193660736,2.0125982761383057,0.5972469449043274,0.40723684430122375,0.6557376980781555,0.17141073942184448,0.3062525689601898,6.461525917053223,0.4038453698158264,0.35897448658943176,0.10169121623039246,0.5986886024475098,0.3156696856021881,2318,0,16
3,0.7955243140459061,1.04758100938392,0.4367241439337492,0.0824382081705077,2.629171499925051,0.6900631638583488,0.10158224968493905,0.2180922142705383,0.4417601525783539,1.0589035749435425,0.5225583910942078,0.0699976310133934,2.0083324909210205,0.7750364542007446,0.41318124532699585,0.6807592511177063,0.07275581359863281,0.26737916469573975,6.688776969909668,0.41804856061935425,0.29609474539756775,0.1403854340314865,0.765070915222168,0.46695178747177124,2318,0,16
