ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.21754888636090924,0.1715043580014124,0.21754888636090924,-0.3,0.5,0.5,thr-999.000_maxday1,202601
SPY,20260105,202601,10:00,600,zero_dte,PUT,0.19320957830085947,0.1842002006720502,0.19320957830085947,0.5,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260106,202601,10:00,600,zero_dte,CALL,0.23092920160599573,0.23092920160599573,0.15463124181911328,0.5,-0.3,0.5,thr-999.000_maxday1,202601
SPY,20260107,202601,10:00,600,zero_dte,CALL,0.3295006413482695,0.3295006413482695,0.15077169746719205,-0.3,0.5,-0.3,thr-999.000_maxday1,202601
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.6864832332782146,0.6864832332782146,0.0653156379215054,0.5,-0.3,0.5,thr-999.000_maxday1,202601
SPY,20260109,202601,10:05,605,zero_dte,CALL,0.4609023358923141,0.4609023358923141,0.10085797366252157,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260112,202601,10:00,600,zero_dte,CALL,0.332253388153853,0.332253388153853,0.21810884865878902,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260113,202601,10:10,610,zero_dte,CALL,0.42106265910732166,0.42106265910732166,0.10221908688717643,-0.3,0.5,-0.3,thr-999.000_maxday1,202601
SPY,20260114,202601,10:00,600,zero_dte,CALL,0.5747936445382326,0.5747936445382326,0.08196051331710325,0.5,-0.3,0.5,thr-999.000_maxday1,202601
SPY,20260115,202601,10:00,600,zero_dte,CALL,0.28689451409471006,0.28689451409471006,0.12125331567761942,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260116,202601,10:00,600,zero_dte,CALL,0.3358248288034836,0.3358248288034836,0.17323720777368368,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260120,202601,10:00,600,zero_dte,CALL,0.26855123879963616,0.26855123879963616,0.16487441703403521,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260121,202601,10:00,600,zero_dte,CALL,0.18812954602785933,0.18812954602785933,0.1663803173708554,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260122,202601,10:00,600,zero_dte,CALL,0.35767013324655744,0.35767013324655744,0.12232544722091639,0.5,-0.3,0.5,thr-999.000_maxday1,202601
SPY,20260123,202601,10:00,600,zero_dte,CALL,0.20622686060921486,0.20622686060921486,0.14082033419328122,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260126,202601,10:00,600,zero_dte,PUT,0.2178426367381188,0.2080741096212633,0.2178426367381188,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260127,202601,10:00,600,zero_dte,CALL,0.3802152041937039,0.3802152041937039,0.19650814877456013,-0.3,-0.3,-0.3,thr-999.000_maxday1,202601
SPY,20260128,202601,10:00,600,zero_dte,CALL,0.19382732827430052,0.19382732827430052,0.1315990460999655,-0.3,0.5,-0.3,thr-999.000_maxday1,202601
SPY,20260129,202601,10:10,610,zero_dte,CALL,0.2599540971028096,0.2599540971028096,0.25920761060702086,-0.3,0.5,-0.3,thr-999.000_maxday1,202601
SPY,20260130,202601,10:00,600,zero_dte,CALL,0.3372771599950257,0.3372771599950257,0.11491614923844519,0.5,-0.3,0.5,thr-999.000_maxday1,202601
SPY,20260202,202602,10:10,610,zero_dte,PUT,0.6772104464824781,0.13501257008388795,0.6772104464824781,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260203,202602,10:15,615,zero_dte,PUT,0.6897316328110693,0.14076848209574144,0.6897316328110693,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260204,202602,10:00,600,zero_dte,PUT,0.7689595831197985,0.22691625505508936,0.7689595831197985,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260205,202602,10:15,615,zero_dte,PUT,0.7870608858400774,0.15745475884143012,0.7870608858400774,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260206,202602,10:25,625,zero_dte,PUT,0.7361857828349722,0.09659668127367857,0.7361857828349722,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260209,202602,10:10,610,zero_dte,PUT,0.863280370398979,0.10603272249114716,0.863280370398979,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260210,202602,10:00,600,zero_dte,PUT,0.7660696637549584,0.09256220856247331,0.7660696637549584,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260211,202602,10:20,620,zero_dte,PUT,0.7796799474700679,0.21048779994447758,0.7796799474700679,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260212,202602,10:00,600,zero_dte,PUT,0.8275554570021568,0.21988334200974033,0.8275554570021568,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260213,202602,10:10,610,zero_dte,PUT,0.707881982944571,0.08073746805836532,0.707881982944571,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260217,202602,10:00,600,zero_dte,PUT,0.7588314009520389,0.18416810909690545,0.7588314009520389,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260218,202602,10:05,605,zero_dte,PUT,0.853928525200549,0.0891916769271841,0.853928525200549,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260219,202602,10:05,605,zero_dte,PUT,0.8337630704893778,0.08678054217276757,0.8337630704893778,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260220,202602,10:55,655,zero_dte,PUT,0.8613176692890778,0.11525064695864029,0.8613176692890778,-0.3,0.5,0.5,thr-999.000_maxday1,202602
SPY,20260223,202602,10:05,605,zero_dte,PUT,0.8040781617472,0.19912207814809932,0.8040781617472,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260224,202602,10:25,625,zero_dte,PUT,0.6724603482731188,0.11784886196955593,0.6724603482731188,0.5,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260225,202602,10:00,600,zero_dte,PUT,0.8513377001445148,0.0686275844759407,0.8513377001445148,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260226,202602,10:20,620,zero_dte,PUT,0.7859720485834003,0.20234960545250286,0.7859720485834003,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260227,202602,10:05,605,zero_dte,PUT,0.7498318680859081,0.08336773766176639,0.7498318680859081,-0.3,-0.3,-0.3,thr-999.000_maxday1,202602
SPY,20260302,202603,10:05,605,zero_dte,CALL,0.3661136003433978,0.3661136003433978,0.24574766040285673,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260303,202603,10:20,620,zero_dte,CALL,0.711004666351009,0.711004666351009,0.2776100920301394,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260304,202603,10:25,625,zero_dte,CALL,0.4362890053933093,0.4362890053933093,0.2225588566731361,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260305,202603,10:00,600,zero_dte,PUT,0.5654297838246126,0.30483687107690655,0.5654297838246126,-0.3,0.5,0.5,thr-999.000_maxday1,202603
SPY,20260306,202603,10:10,610,zero_dte,CALL,0.5663609722799998,0.5663609722799998,0.25774149388517464,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260309,202603,10:10,610,zero_dte,CALL,0.5892229427209309,0.5892229427209309,0.22022794911928967,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260310,202603,10:00,600,zero_dte,CALL,0.7432595373189982,0.7432595373189982,0.29814016139690214,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260311,202603,10:00,600,zero_dte,PUT,0.5637601009206464,0.24220867462085,0.5637601009206464,-0.3,0.5,0.5,thr-999.000_maxday1,202603
SPY,20260312,202603,10:15,615,zero_dte,CALL,0.5032324800498433,0.5032324800498433,0.22717495165405988,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260313,202603,10:00,600,zero_dte,CALL,0.37016990953010165,0.37016990953010165,0.20249443067323178,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260316,202603,10:00,600,zero_dte,CALL,0.27341550469785814,0.27341550469785814,0.1620255754791841,-0.3,-0.3,-0.3,thr-999.000_maxday1,202603
SPY,20260317,202603,10:00,600,zero_dte,CALL,0.444102602880783,0.444102602880783,0.4177951529320179,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260318,202603,10:00,600,zero_dte,CALL,0.5643004016520988,0.5643004016520988,0.1988165822954314,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260319,202603,10:00,600,zero_dte,CALL,0.36764307080889824,0.36764307080889824,0.36033149805418474,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260320,202603,10:15,615,zero_dte,CALL,0.4582605590637511,0.4582605590637511,0.3585091108376653,-0.3,-0.3,-0.3,thr-999.000_maxday1,202603
SPY,20260323,202603,10:20,620,zero_dte,PUT,0.3961000586737038,0.3366746631463974,0.3961000586737038,-0.3,-0.3,-0.3,thr-999.000_maxday1,202603
SPY,20260324,202603,10:10,610,zero_dte,CALL,0.494689077913217,0.494689077913217,0.2736055908949089,-0.3,0.5,-0.3,thr-999.000_maxday1,202603
SPY,20260325,202603,10:00,600,zero_dte,CALL,0.40492431861534817,0.40492431861534817,0.3041828548396148,0.5,-0.3,0.5,thr-999.000_maxday1,202603
SPY,20260326,202603,10:00,600,zero_dte,CALL,0.4573627091722623,0.4573627091722623,0.1946870202214164,-0.3,-0.3,-0.3,thr-999.000_maxday1,202603
SPY,20260327,202603,10:00,600,zero_dte,CALL,0.378724085811238,0.378724085811238,0.261499235668578,-0.3,-0.3,-0.3,thr-999.000_maxday1,202603
