ticker,month,deploy_config,val_months,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
QQQ,202601,thr0.406_maxday1,"202507,202508,202509,202510,202511,202512",46091,2412,380,9.271907867245664,False,118,0.6186440677966102,2.7603987669604044,23.277272748823993,0.19726502329511858,-0.9000000000000004,0.3220338983050847,118,0.6186440677966102,0.5,-0.9000000000000004,2.5,0.10740089816262106,18,1.0,19,0.47368421052631576,1.5000000000000002,1.5,0.07894736842105263,-1.0,0.21052631578947367,19,0.47368421052631576,-0.3,-1.0,2.5,1.6666666666666667,19,1.0
QQQ,202602,thr-999.000_maxday1,"202508,202509,202510,202511,202512,202601",47326,2380,361,6.44903861460821,False,126,0.5,1.666666666666666,12.599999999999996,0.09999999999999996,-2.9999999999999973,0.19047619047619047,126,0.5,0.1,-2.9999999999999973,2.5,0.19841269841269848,19,0.6666666666666666,19,0.5263157894736842,1.851851851851852,2.3000000000000003,0.12105263157894738,-0.6999999999999993,0.21052631578947367,19,0.5263157894736842,0.5,-0.6999999999999993,2.5,1.0869565217391304,19,1.0
QQQ,202603,thr0.480_maxday3,"202509,202510,202511,202512,202601,202602",48523,2342,418,8.291683827334447,False,167,0.5329341317365269,1.9017094017094016,21.099999999999994,0.1263473053892215,-1.6000000000000085,0.7365269461077845,95,0.6,0.2,-1.3999999999999995,6.0,0.28436018957345977,18,1.0,36,0.4444444444444444,1.3333333333333335,2.0,0.05555555555555555,-1.2,0.6944444444444444,18,0.5,0.05000000000000002,-0.7000000000000001,3.5999999999999996,1.7999999999999998,36,1.0
QQQ,202604,thr0.423_maxday1,"202510,202511,202512,202601,202602,202603",49720,2361,323,9.436110041245419,False,123,0.6260162601626016,2.789855072463767,24.700000000000003,0.20081300813008132,-1.0000000000000036,0.21951219512195122,123,0.6260162601626016,0.5,-1.0000000000000036,2.5,0.10121457489878541,19,1.0,17,0.5882352941176471,2.380952380952381,2.9000000000000004,0.17058823529411768,-0.7,0.29411764705882354,17,0.5882352941176471,0.5,-0.7,2.5,0.8620689655172413,17,1.0
QQQ,202605,thr0.406_maxday2,"202511,202512,202601,202602,202603,202604",51029,2248,342,8.297223862518507,False,230,0.508695652173913,1.7256637168141598,24.6,0.10695652173913044,-3.1000000000000085,0.22608695652173913,116,0.75,0.2,-3.0999999999999996,5.0,0.2032520325203252,32,1.0,36,0.4722222222222222,1.4912280701754388,2.8000000000000007,0.07777777777777779,-1.299999999999999,0.25,18,0.7222222222222222,0.2,-1.2000000000000002,4.2,1.4999999999999998,36,1.0
QQQ,202606,thr0.431_maxday3,"202512,202601,202602,202603,202604,202605",52091,2236,342,7.717378407659405,False,229,0.4759825327510917,1.5236672156738449,18.731034546544805,0.08179491068360177,-1.9000000000000092,0.1091703056768559,103,0.5145631067961165,0.2,-1.5,7.5,0.4004050060002413,25,1.0,45,0.37777777777777777,1.0119047619047619,0.09999999999999998,0.002222222222222222,-1.9000000000000004,0.044444444444444446,17,0.4117647058823529,-0.09999999999999998,-1.9000000000000004,3.0,30.000000000000007,45,1.0
