cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,0,0.0,0.1,0,,
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,1,0.1,0.2,0,,
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,2,0.2,0.30000000000000004,36,0.25763367495122436,0.19444444444444445
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,3,0.30000000000000004,0.4,111,0.35126783219137253,0.15315315315315314
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,4,0.4,0.5,130,0.4515099548503795,0.27692307692307694
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,5,0.5,0.6000000000000001,120,0.5479544581022239,0.375
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,6,0.6000000000000001,0.7000000000000001,65,0.6401915284693721,0.47692307692307695
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,7,0.7000000000000001,0.8,13,0.7458829210404905,0.46153846153846156
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,8,0.8,0.9,2,0.8742179976821872,0.5
lr_2024_SPXW_30m,lr,F0,2024,SPXW,30,9,0.9,1.0,0,,
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,0,0.0,0.1,0,,
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,1,0.1,0.2,18,0.16100116333648518,0.1111111111111111
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,2,0.2,0.30000000000000004,73,0.2571396179047526,0.2328767123287671
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,3,0.30000000000000004,0.4,89,0.3460497593790335,0.2247191011235955
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,4,0.4,0.5,125,0.45006594430975805,0.304
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,5,0.5,0.6000000000000001,86,0.5471823666926667,0.29069767441860467
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,6,0.6000000000000001,0.7000000000000001,53,0.6455957508021155,0.49056603773584906
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,7,0.7000000000000001,0.8,27,0.7273851092739868,0.48148148148148145
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,8,0.8,0.9,5,0.8212644686015989,0.4
lr_2024_SPXW_30m,lr,F1,2024,SPXW,30,9,0.9,1.0,1,0.9377953597435175,0.0
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,0,0.0,0.1,0,,
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,1,0.1,0.2,0,,
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,2,0.2,0.30000000000000004,6,0.26793507183402143,0.16666666666666666
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,3,0.30000000000000004,0.4,123,0.3596649398080342,0.23577235772357724
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,4,0.4,0.5,182,0.4515117861496225,0.3516483516483517
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,5,0.5,0.6000000000000001,182,0.5472378110630296,0.4340659340659341
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,6,0.6000000000000001,0.7000000000000001,71,0.6316026390089142,0.4225352112676056
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,7,0.7000000000000001,0.8,3,0.7363251900981438,0.6666666666666666
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,8,0.8,0.9,1,0.8899331103406417,0.0
lr_2024_SPXW_60m,lr,F0,2024,SPXW,60,9,0.9,1.0,0,,
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,0,0.0,0.1,0,,
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,1,0.1,0.2,11,0.1823259136426618,0.18181818181818182
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,2,0.2,0.30000000000000004,52,0.257710694900212,0.38461538461538464
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,3,0.30000000000000004,0.4,129,0.3517824577059421,0.2868217054263566
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,4,0.4,0.5,143,0.45547408239047377,0.38461538461538464
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,5,0.5,0.6000000000000001,125,0.5442420329575557,0.344
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,6,0.6000000000000001,0.7000000000000001,84,0.6457188538287738,0.42857142857142855
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,7,0.7000000000000001,0.8,19,0.7472101573812002,0.47368421052631576
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,8,0.8,0.9,4,0.8408232179282941,0.75
lr_2024_SPXW_60m,lr,F1,2024,SPXW,60,9,0.9,1.0,1,0.9325871123425076,0.0
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,0,0.0,0.1,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,1,0.1,0.2,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,2,0.2,0.30000000000000004,8,0.2715809715779953,0.125
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,3,0.30000000000000004,0.4,51,0.35684227058946133,0.3333333333333333
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,4,0.4,0.5,231,0.46624422413457484,0.42857142857142855
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,5,0.5,0.6000000000000001,320,0.5428460405586147,0.415625
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,6,0.6000000000000001,0.7000000000000001,52,0.6300095210823617,0.36538461538461536
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,7,0.7000000000000001,0.8,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,8,0.8,0.9,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,9,0.9,1.0,0,,
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,0,0.0,0.1,2,0.09659402788196432,0.0
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,1,0.1,0.2,26,0.15744352992763372,0.19230769230769232
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,2,0.2,0.30000000000000004,94,0.25666328083374895,0.4148936170212766
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,3,0.30000000000000004,0.4,157,0.3547375812573252,0.39490445859872614
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,4,0.4,0.5,167,0.45087910613338505,0.4311377245508982
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,5,0.5,0.6000000000000001,132,0.5446725453464695,0.45454545454545453
