cell_id,family,fold,ticker,horizon,valid_pair,auc_delta,average_precision_delta,log_loss_delta,brier_delta,balanced_accuracy_delta,spearman_delta,ece_delta,bootstrap_requested,bootstrap_valid,bootstrap_auc_delta_p025,bootstrap_auc_delta_median,bootstrap_auc_delta_p975,bootstrap_favorable_share
lr_2024_SPXW_30m,lr,2024,SPXW,30,True,-0.03770780118085493,-0.032017673336864894,0.00364401038022355,0.0016198693010088805,-0.04297349357229596,-0.05984745116656709,-0.02324963405013525,1000,1000,-0.07327952080775138,-0.035671015191831745,0.0001112211870646604,0.028
lr_2024_SPXW_60m,lr,2024,SPXW,60,True,-0.03773432775650076,-0.005788119184666596,0.015305777548227484,0.006862576775105378,-0.04327084593159991,-0.06277833898743788,0.007604489060580102,1000,1000,-0.08256974832186556,-0.036915810622149325,0.007143332473975395,0.051
lr_2024_SPXW_120m,lr,2024,SPXW,120,True,0.009828126034601814,0.020426690063386155,0.005813451330623498,0.001836492227466957,0.007482240320856537,0.016721539591037216,-0.002641133392476458,1000,1000,-0.03806194338706487,0.008668543903983084,0.06050960240442188,0.659
lr_2024_SPXW_180m,lr,2024,SPXW,180,True,0.02008487958941968,0.02016302326561864,0.06400061891940068,0.005546270942253073,0.04446308724832215,0.034172772532756426,0.004591917524718991,1000,1000,-0.046900207008955835,0.019596706766467076,0.0837647674601438,0.719
lr_2024_QQQ_30m,lr,2024,QQQ,30,True,0.010383310003643342,0.006989604990234599,-0.001152869217287411,-0.001990439321311044,0.02033997430538248,0.017260690955343383,-0.016326634723607486,1000,1000,-0.02376041305261031,0.010670247999411242,0.047757535910325305,0.715
lr_2024_QQQ_60m,lr,2024,QQQ,60,True,-0.013366329405924748,-0.007767493890205923,0.022274620836686077,0.006426971072760801,-0.0031280568817251275,-0.02246035985498166,-0.008866602815001401,1000,1000,-0.04673633108199678,-0.011616099327912688,0.020790880084942797,0.258
lr_2024_QQQ_120m,lr,2024,QQQ,120,True,0.011702375407545373,0.001778325576796136,-0.006049348084339545,-0.0061223877601256915,0.015821495109455075,0.019876926996765514,-0.039135255348818176,1000,1000,-0.019774307061156654,0.012150327845712822,0.043163826511526865,0.776
lr_2024_QQQ_180m,lr,2024,QQQ,180,True,0.00639127940332751,0.0025957556907469925,0.03239677303634525,0.0032690208610811067,0.0072289156626504925,0.010911536387829414,-0.043159002199892674,1000,1000,-0.05900862722217341,0.004684458052820473,0.06304648124040599,0.553
lr_2024_SPY_30m,lr,2024,SPY,30,True,0.0035790598290598163,0.005597083506587053,0.07050744597474123,0.030696071606578612,-0.0010016025641024218,0.005829350322623522,0.07883990728276125,1000,1000,-0.028695179900023276,0.003304531510138209,0.03369532727391279,0.573
lr_2024_SPY_60m,lr,2024,SPY,60,True,-0.03314272377173533,-0.04090423491584466,0.03377811964263289,0.014894897274630614,-0.022029318563336564,-0.054898514229612644,0.019091750327961177,1000,1000,-0.06546168001882659,-0.03344215992014768,0.0007086422579671109,0.029
