cell_id,fold,ticker,horizon,target,arm,family,train_rows,test_rows,valid,roc_auc,average_precision,balanced_accuracy_05,brier,log_loss,spearman,ece_10,model_path,model_sha256,model_feature_hash
lr_2024_SPXW_30m,2024,SPXW,30,resolved_rejection_30m,F0,lr,719,477,True,0.6471253297600602,0.42048772197305734,0.6150600896109878,0.2298675910086723,0.6527301845444919,0.23350807293029804,0.17352984086730094,models/lr_2024_SPXW_30m_F0.joblib,2566b5802a3c8cfb56d23ee291b4b5b9649107f72a0d24e3a28262a7b3688f1c,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d
lr_2024_SPXW_30m,2024,SPXW,30,resolved_rejection_30m,F1,lr,719,477,True,0.6094175285792053,0.38847004863619244,0.5720865960386918,0.23148746030968118,0.6563741949247155,0.17366062176373095,0.1502802068171657,models/lr_2024_SPXW_30m_F1.joblib,7d7149c9208c774559a241a82ddaf66b6914ce3e711ba174e00f958738d4e12a,c1d211a3d1c18398a807209db085b19d7f2cd413a6d76996cc8f2f512105814b
lr_2024_SPXW_60m,2024,SPXW,60,resolved_rejection_60m,F0,lr,851,568,True,0.5931599811865887,0.4260193520279245,0.5696297789424176,0.2414100875190514,0.6762913933641274,0.15498961361481953,0.12422802952528696,models/lr_2024_SPXW_60m_F0.joblib,7a10fee2f6a767ded31cd40ab5b728d3056e04c32bbd583d1cc23635b15a6987,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d
lr_2024_SPXW_60m,2024,SPXW,60,resolved_rejection_60m,F1,lr,851,568,True,0.555425653430088,0.4202312328432579,0.5263589330108177,0.2482726642941568,0.6915971709123548,0.09221127462738164,0.13183251858586706,models/lr_2024_SPXW_60m_F1.joblib,898c288029d9759be302f7d7068c39b866f04f6fc138aaa0d7f16d2d587c185c,c1d211a3d1c18398a807209db085b19d7f2cd413a6d76996cc8f2f512105814b
lr_2024_SPXW_120m,2024,SPXW,120,resolved_rejection_120m,F0,lr,922,662,True,0.5170786155490603,0.41203019170341476,0.5026296622113757,0.25292965333673234,0.6989293260884758,0.029057497335531954,0.09901094776859941,models/lr_2024_SPXW_120m_F0.joblib,4b07e83810c583721563ae96fc0ac534b234efdacf6fa44538429ea86f8bb3de,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d
lr_2024_SPXW_120m,2024,SPXW,120,resolved_rejection_120m,F1,lr,922,662,True,0.5269067415836621,0.4324568817668009,0.5101119025322323,0.2547661455641993,0.7047427774190993,0.04577903692656917,0.09636981437612295,models/lr_2024_SPXW_120m_F1.joblib,028659dd115c83dec308df88f40221c2042692e6aba6dd50245e3490c2c369bd,c1d211a3d1c18398a807209db085b19d7f2cd413a6d76996cc8f2f512105814b
lr_2024_SPXW_180m,2024,SPXW,180,resolved_rejection_180m,F0,lr,698,502,True,0.48710356625871826,0.40421887684084895,0.47664166337676006,0.25953926927725113,0.7127445527840206,-0.021942222494415266,0.12080257794666505,models/lr_2024_SPXW_180m_F0.joblib,8a18dbd6e31c994dc317ca08f576663bd459512b7ab9ef668c8040b63220e5ab,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d
lr_2024_SPXW_180m,2024,SPXW,180,resolved_rejection_180m,F1,lr,698,502,True,0.5071884458481379,0.4243819001064676,0.5211047506250822,0.2650855402195042,0.7767451717034213,0.012230550038341163,0.12539449547138404,models/lr_2024_SPXW_180m_F1.joblib,ca1a2575ec202d626f1845389aa554f9e51e7ddf6257411c861293ac2c28bace,c1d211a3d1c18398a807209db085b19d7f2cd413a6d76996cc8f2f512105814b
lr_2024_QQQ_30m,2024,QQQ,30,resolved_rejection_30m,F0,lr,700,673,True,0.5818105117830914,0.43921420020357715,0.5503873367720657,0.24933285160168425,0.6929475937304543,0.13599766936467686,0.150871538654629,models/lr_2024_QQQ_30m_F0.joblib,6e968f46341c2238309ba8dd0dd8c41991e402ab53622295c63cdd0a432ac7e9,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d
lr_2024_QQQ_30m,2024,QQQ,30,resolved_rejection_30m,F1,lr,700,673,True,0.5921938217867347,0.44620380519381175,0.5707273110774482,0.2473424122803732,0.6917947245131669,0.15325836032002024,0.1345449039310215,models/lr_2024_QQQ_30m_F1.joblib,4cc8ba5c6c27e76e4845ed16dbfee82dd3481f7baa0686fc1a66a8001f96c097,c1d211a3d1c18398a807209db085b19d7f2cd413a6d76996cc8f2f512105814b
