ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_stream,source_file,candidate_id
SPXW,20260501,202605,10:30,630,zero_dte,CALL,0.4211608409816566,0.4211608409816566,0.1749423512035307,-0.3,0.5,-0.3,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,0
SPY,20260501,202605,12:30,750,zero_dte,PUT,0.4344974139178778,0.3403211574396409,0.4344974139178778,-0.3,-0.3,-0.3,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,0
QQQ,20260504,202605,10:30,630,zero_dte,PUT,0.4566806339609685,0.2073833761127115,0.4566806339609685,0.5,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,0
SPXW,20260504,202605,10:30,630,zero_dte,PUT,0.5524918119086042,0.2258746258253371,0.5524918119086042,-0.3,-0.3,-0.3,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,1
SPY,20260504,202605,10:30,630,zero_dte,PUT,0.4619738831219493,0.2147424715613493,0.4619738831219493,-0.3,0.5,0.5,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,1
QQQ,20260505,202605,10:30,630,zero_dte,PUT,0.4649862307241719,0.2333043522436518,0.4649862307241719,-0.3,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,1
SPXW,20260505,202605,10:30,630,zero_dte,PUT,0.4048211843355415,0.3810443573932802,0.4048211843355415,-0.3,-0.3,-0.3,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,2
SPY,20260505,202605,10:30,630,zero_dte,PUT,0.5162648876742827,0.3385646091732328,0.5162648876742827,-0.3,-0.3,-0.3,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,2
SPXW,20260506,202605,10:30,630,zero_dte,CALL,0.4259917256498131,0.4259917256498131,0.1439474301235527,0.5,-0.3,0.5,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,3
QQQ,20260506,202605,13:20,800,zero_dte,PUT,0.4345880539615831,0.2430425164347516,0.4345880539615831,0.5,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,2
SPY,20260507,202605,10:45,645,zero_dte,PUT,0.4005140732460295,0.1759761076236161,0.4005140732460295,0.5,0.5,0.5,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,3
SPXW,20260507,202605,11:05,665,zero_dte,PUT,0.3980626712255898,0.1378123956529748,0.3980626712255898,-0.3,0.5,0.5,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,4
QQQ,20260507,202605,12:50,770,zero_dte,PUT,0.4557054849879892,0.1483349266061742,0.4557054849879892,-0.3,0.5,0.5,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,3
SPXW,20260508,202605,10:30,630,zero_dte,CALL,0.3940276020637367,0.3940276020637367,0.3425734093103793,0.5,-0.3,0.5,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,5
SPY,20260508,202605,10:35,635,zero_dte,CALL,0.4031089155413862,0.4031089155413862,0.3097812839227352,0.5,-0.3,0.5,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,4
QQQ,20260508,202605,11:00,660,zero_dte,PUT,0.4640098367330339,0.1750231998150396,0.4640098367330339,-0.3,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,4
SPXW,20260511,202605,10:30,630,zero_dte,PUT,0.3957141552247468,0.2740545601930099,0.3957141552247468,-0.3,0.5,0.5,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,6
SPY,20260511,202605,10:30,630,zero_dte,PUT,0.4044817277454086,0.2550033047826144,0.4044817277454086,-0.3,0.5,0.5,thr0.390_maxday1,202605,SPY_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spy_d25_wf2026_v1\event_option_gate_trades.csv,5
QQQ,20260511,202605,10:35,635,zero_dte,PUT,0.4390562192295628,0.1844989898310941,0.4390562192295628,0.5,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,5
QQQ,20260512,202605,10:30,630,zero_dte,PUT,0.428887023507159,0.3225071368753399,0.428887023507159,-0.3,-0.3,-0.3,thr0.428_maxday1,202605,QQQ_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_qqq_d25_wf2026_v1\event_option_gate_trades.csv,6
SPXW,20260512,202605,10:30,630,zero_dte,PUT,0.4336814858034479,0.3272235001042828,0.4336814858034479,-0.3,-0.3,-0.3,thr0.392_maxday1,202605,SPXW_D25,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_spxw_d25_wf2026_v1\event_option_gate_trades.csv,7
