direction,config_id,scope,trades,top5_trade_gross_profit_share,top5_day_gross_profit_share,concentration_pass
D0_K1,B00,POOLED,1324,0.0513429482263217,0.0864623100604736,True
D0_K1,B00,SPXW,644,0.1007137284711952,0.1074978537303834,True
D0_K1,B00,QQQ,436,0.1156188550321692,0.1244930668076437,True
D0_K1,B00,SPY,244,0.1615288720006253,0.1615288720006253,True
D0_K1,S30,POOLED,1524,0.0592170791324951,0.0613194138697304,True
D0_K1,S30,SPXW,818,0.1041941459977483,0.095284102783685,True
D0_K1,S30,QQQ,462,0.1231014319190108,0.1324628460388159,True
D0_K1,S30,SPY,244,0.1939217287856023,0.1939217287856023,True
D0_K1,S40,POOLED,1476,0.0602819327528876,0.0743027174408338,True
D0_K1,S40,SPXW,775,0.1101944961382122,0.1194700765345887,True
D0_K1,S40,QQQ,457,0.1150035072717097,0.1223223544859463,True
D0_K1,S40,SPY,244,0.1705301084385238,0.1705301084385238,True
D0_K1,S50,POOLED,1406,0.0590073169442611,0.0843691238320309,True
D0_K1,S50,SPXW,715,0.1142490584274974,0.1245100280340127,True
D0_K1,S50,QQQ,447,0.1099538071344895,0.1235981238850217,True
D0_K1,S50,SPY,244,0.1521325456228244,0.1521325456228244,True
D0_K1,S80,POOLED,1139,0.0468385749030579,0.1045948978347589,True
D0_K1,S80,SPXW,503,0.0975065070644622,0.1295515146845458,True
D0_K1,S80,QQQ,392,0.1179646404807859,0.1337414230814338,True
D0_K1,S80,SPY,244,0.15296121348745,0.15296121348745,True
D0_K1,S100,POOLED,1001,0.0495485209548139,0.1197241507160634,True
D0_K1,S100,SPXW,393,0.1200883369198145,0.1752702362942702,True
D0_K1,S100,QQQ,364,0.1184172633914286,0.1452104269558697,True
D0_K1,S100,SPY,244,0.1522798619824807,0.1522798619824807,True
D0_K1,H60,POOLED,1450,0.0609587463889468,0.0743157616399541,True
D0_K1,H60,SPXW,742,0.103736794614074,0.1034009914359437,True
D0_K1,H60,QQQ,464,0.1400787414148656,0.1452771720631274,True
D0_K1,H60,SPY,244,0.1785410322768212,0.1785410322768212,True
D0_K1,H90,POOLED,1388,0.0550625182375085,0.0836247562764143,True
D0_K1,H90,SPXW,683,0.1016688731746891,0.104703611484983,True
D0_K1,H90,QQQ,461,0.1246844631727291,0.1307702889931803,True
D0_K1,H90,SPY,244,0.1809916218382629,0.1809916218382629,True
D0_K1,H120,POOLED,1358,0.0533040371971567,0.089220656429457,True
D0_K1,H120,SPXW,661,0.100342840202736,0.1071019822495202,True
D0_K1,H120,QQQ,453,0.1204394508503772,0.1252245636380074,True
D0_K1,H120,SPY,244,0.1675868500005659,0.1675868500005659,True
D0_K1,T30D15,POOLED,1392,0.0578048655040977,0.0883764216986612,True
D0_K1,T30D15,SPXW,704,0.1063607647945246,0.1041708179917619,True
D0_K1,T30D15,QQQ,444,0.1256936062454181,0.1323163391438599,True
D0_K1,T30D15,SPY,244,0.1536759084668356,0.1536759084668356,True
D0_K1,T50D15,POOLED,1328,0.051511269206317,0.0845979995852474,True
D0_K1,T50D15,SPXW,647,0.0981768728192701,0.1027999222446018,True
D0_K1,T50D15,QQQ,437,0.1139898885661011,0.119995958466128,True
D0_K1,T50D15,SPY,244,0.1200339031037266,0.1200339031037266,True
D0_K1,T50D40,POOLED,1305,0.0590247101946163,0.1043991752154319,True
D0_K1,T50D40,SPXW,625,0.1194963821024013,0.1167032186876099,True
D0_K1,T50D40,QQQ,436,0.1233066619145194,0.1401302954153195,True
D0_K1,T50D40,SPY,244,0.1869013995212216,0.1869013995212216,True
D0_K1,T75D25,POOLED,1249,0.0433917618598016,0.0883672758696446,True
D0_K1,T75D25,SPXW,582,0.0869377717318336,0.0997351078263834,True
D0_K1,T75D25,QQQ,423,0.1064017512087195,0.1363791433767228,True
D0_K1,T75D25,SPY,244,0.149549657608368,0.149549657608368,True
D0_K1,S40_T30D15,POOLED,1515,0.0566517210264253,0.0709854701078633,True
D0_K1,S40_T30D15,SPXW,809,0.0999231262977845,0.1084170224271836,True
D0_K1,S40_T30D15,QQQ,462,0.1178379437778274,0.1251539782134721,True
D0_K1,S40_T30D15,SPY,244,0.1715936817430379,0.1715936817430379,True
D0_K1,S40_T50D40,POOLED,1457,0.0658114815058774,0.0936795610691971,True
D0_K1,S40_T50D40,SPXW,756,0.1246592802250988,0.1384709104135742,True
D0_K1,S40_T50D40,QQQ,457,0.1287968118333384,0.1527708462088454,True
D0_K1,S40_T50D40,SPY,244,0.1939706199657746,0.1939706199657746,True
D0_K1,S40_H90,POOLED,1501,0.0634714665672047,0.0777461976097822,True
D0_K1,S40_H90,SPXW,792,0.11626704971689,0.1184387015310592,True
D0_K1,S40_H90,QQQ,465,0.1172906642380672,0.1247550665991759,True
D0_K1,S40_H90,SPY,244,0.1946824775365001,0.1946824775365001,True
D1_INVERTED,B00,POOLED,1304,0.0542501123185082,0.0911001443186484,True
D1_INVERTED,B00,SPXW,636,0.1077376436677154,0.1197121354893459,True
D1_INVERTED,B00,QQQ,424,0.10210275699047,0.1081372205951089,True
D1_INVERTED,B00,SPY,244,0.152703327700534,0.152703327700534,True
D1_INVERTED,S30,POOLED,1496,0.0531757239714523,0.0914244124854232,True
D1_INVERTED,S30,SPXW,797,0.09478044605045,0.11990784621374,True
D1_INVERTED,S30,QQQ,455,0.1093432046072803,0.1146865079096565,True
D1_INVERTED,S30,SPY,244,0.191543675901754,0.191543675901754,True
D1_INVERTED,S40,POOLED,1431,0.0493174547402465,0.0899579050373296,True
D1_INVERTED,S40,SPXW,737,0.0916351455719908,0.1197175821003758,True
D1_INVERTED,S40,QQQ,450,0.1047282005148964,0.1098459811915558,True
D1_INVERTED,S40,SPY,244,0.1708600019595932,0.1708600019595932,True
D1_INVERTED,S50,POOLED,1364,0.0570852345602245,0.0897467012926487,True
D1_INVERTED,S50,SPXW,688,0.1121665419432713,0.1221359149747376,True
D1_INVERTED,S50,QQQ,432,0.1188450636185068,0.1163841556181892,True
D1_INVERTED,S50,SPY,244,0.1596889673584248,0.1596889673584248,True
D1_INVERTED,S80,POOLED,1158,0.0550021819668374,0.0911697230178974,True
D1_INVERTED,S80,SPXW,526,0.1118187760976691,0.1350092307232821,True
D1_INVERTED,S80,QQQ,388,0.1056250091952768,0.110661300414844,True
D1_INVERTED,S80,SPY,244,0.1449174766623491,0.1449174766623491,True
D1_INVERTED,S100,POOLED,1003,0.0583879360319675,0.1123598404925154,True
D1_INVERTED,S100,SPXW,410,0.1241271601607667,0.1546625850652743,True
D1_INVERTED,S100,QQQ,349,0.1118778859901209,0.1246487465279362,True
D1_INVERTED,S100,SPY,244,0.1470104688335809,0.1470104688335809,True
D1_INVERTED,H60,POOLED,1450,0.0657592270363897,0.0848061247662623,True
D1_INVERTED,H60,SPXW,742,0.1101217340808497,0.108927336326066,True
D1_INVERTED,H60,QQQ,464,0.1338004351624775,0.1421283372330684,True
D1_INVERTED,H60,SPY,244,0.1960984170097421,0.1960984170097421,True
D1_INVERTED,H90,POOLED,1379,0.0567987552961341,0.0904050891539323,True
D1_INVERTED,H90,SPXW,677,0.1051856868671307,0.1137478431793243,True
D1_INVERTED,H90,QQQ,458,0.1165304289945061,0.1186389000868117,True
D1_INVERTED,H90,SPY,244,0.1851116815791413,0.1851116815791413,True
D1_INVERTED,H120,POOLED,1341,0.05669190441991153,0.08843171031544651,True
D1_INVERTED,H120,SPXW,650,0.1073793832703326,0.11672379866002848,True
D1_INVERTED,H120,QQQ,447,0.11328701435428988,0.11424351512200627,True
D1_INVERTED,H120,SPY,244,0.16560817657189372,0.16560817657189372,True
D1_INVERTED,T30D15,POOLED,1392,0.05932384595377547,0.09128606002978738,True
D1_INVERTED,T30D15,SPXW,700,0.11265599072103397,0.1325235657095046,True
D1_INVERTED,T30D15,QQQ,448,0.10427686944156149,0.11618642815878236,True
D1_INVERTED,T30D15,SPY,244,0.17292430666147376,0.17292430666147376,True
D1_INVERTED,T50D15,POOLED,1308,0.05825326130419544,0.0871230947177674,True
D1_INVERTED,T50D15,SPXW,637,0.10797321364723317,0.12323518775238843,True
D1_INVERTED,T50D15,QQQ,427,0.11495519366737625,0.12263122263269753,True
D1_INVERTED,T50D15,SPY,244,0.14066894037938538,0.14066894037938538,True
D1_INVERTED,T50D40,POOLED,1295,0.057885680964844456,0.09591823767237338,True
D1_INVERTED,T50D40,SPXW,630,0.11498512029462378,0.1292372308357249,True
D1_INVERTED,T50D40,QQQ,421,0.11720222538596699,0.12837625303707606,True
D1_INVERTED,T50D40,SPY,244,0.1788573445849827,0.1788573445849827,True
D1_INVERTED,T75D25,POOLED,1237,0.05108418811417804,0.10081781648371771,True
D1_INVERTED,T75D25,SPXW,580,0.10685935910147586,0.1275924693125578,True
D1_INVERTED,T75D25,QQQ,413,0.08223917902541673,0.10706990075852162,True
D1_INVERTED,T75D25,SPY,244,0.13590813571323912,0.13590813571323912,True
D1_INVERTED,S40_T30D15,POOLED,1498,0.06004306326543852,0.08383887974848216,True
D1_INVERTED,S40_T30D15,SPXW,794,0.10786485757518363,0.12642450251650228,True
D1_INVERTED,S40_T30D15,QQQ,460,0.10663997122066511,0.11881942200065812,True
D1_INVERTED,S40_T30D15,SPY,244,0.18522941966554943,0.18522941966554943,True
D1_INVERTED,S40_T50D40,POOLED,1421,0.05143762308583448,0.09086492036291662,True
D1_INVERTED,S40_T50D40,SPXW,729,0.1009595095696704,0.13068556088105404,True
D1_INVERTED,S40_T50D40,QQQ,448,0.11930423484243842,0.13067866749193513,True
D1_INVERTED,S40_T50D40,SPY,244,0.20049765916740517,0.20049765916740517,False
D1_INVERTED,S40_H90,POOLED,1462,0.0528257672387898,0.0936386881132946,True
D1_INVERTED,S40_H90,SPXW,756,0.09614544365015885,0.12196543740354208,True
D1_INVERTED,S40_H90,QQQ,462,0.10982068642386958,0.11518732295647773,True
D1_INVERTED,S40_H90,SPY,244,0.18874550217873354,0.18874550217873354,True
