ticker,month,candidate_events,active_days,max_trades_30m_cap
QQQ,202208,92,14,28
QQQ,202209,79,12,24
QQQ,202210,77,13,25
QQQ,202211,110,17,34
QQQ,202212,127,19,37
QQQ,202301,115,20,39
QQQ,202302,119,18,36
QQQ,202303,150,23,44
QQQ,202304,133,19,38
QQQ,202305,151,22,44
QQQ,202306,133,21,40
QQQ,202307,119,20,40
QQQ,202308,155,23,46
QQQ,202309,138,20,40
QQQ,202310,153,22,44
QQQ,202311,134,21,41
QQQ,202312,110,17,33
QQQ,202401,99,20,38
QQQ,202402,134,19,38
QQQ,202403,125,20,39
QQQ,202404,153,22,44
QQQ,202405,147,22,44
QQQ,202406,132,19,38
QQQ,202407,150,22,44
QQQ,202408,140,22,43
QQQ,202409,143,20,40
QQQ,202410,135,23,45
QQQ,202411,119,19,37
QQQ,202412,142,21,42
QQQ,202501,128,20,40
QQQ,202502,112,19,35
QQQ,202503,134,21,42
QQQ,202504,132,20,40
QQQ,202505,147,21,42
QQQ,202506,140,20,40
QQQ,202507,142,21,41
QQQ,202508,140,21,41
QQQ,202509,145,21,42
QQQ,202510,148,23,45
QQQ,202511,117,19,37
QQQ,202512,135,21,41
SPXW,202208,163,23,90
SPXW,202209,136,21,80
SPXW,202210,131,21,79
SPXW,202211,149,21,84
SPXW,202212,138,21,80
SPXW,202301,135,20,77
SPXW,202302,125,19,74
SPXW,202303,165,23,89
SPXW,202304,137,19,76
SPXW,202305,146,22,84
SPXW,202306,146,21,84
SPXW,202307,134,20,80
SPXW,202308,154,23,89
SPXW,202309,143,20,80
SPXW,202310,158,22,86
SPXW,202311,142,21,84
SPXW,202312,137,20,79
SPXW,202401,145,21,84
SPXW,202402,142,20,80
SPXW,202403,137,20,80
SPXW,202404,159,22,88
SPXW,202405,146,22,85
SPXW,202406,133,19,76
SPXW,202407,147,22,87
SPXW,202408,152,22,88
SPXW,202409,142,20,80
SPXW,202410,153,23,90
SPXW,202411,133,20,77
SPXW,202412,144,21,84
SPXW,202501,144,20,80
SPXW,202502,118,19,69
SPXW,202503,137,21,82
SPXW,202504,132,20,76
SPXW,202505,155,21,84
SPXW,202506,140,20,80
SPXW,202507,150,22,88
SPXW,202508,140,21,80
SPXW,202509,147,21,84
SPXW,202510,154,23,88
SPXW,202511,118,19,71
SPXW,202512,151,22,88
SPY,202208,98,14,14
SPY,202209,85,13,13
SPY,202210,83,13,13
SPY,202211,119,17,17
SPY,202212,138,21,21
SPY,202301,136,20,20
SPY,202302,127,19,19
SPY,202303,164,23,23
SPY,202304,137,19,19
SPY,202305,148,22,22
SPY,202306,139,20,20
SPY,202307,137,20,20
SPY,202308,154,23,23
SPY,202309,144,20,20
SPY,202310,159,22,22
SPY,202311,142,21,21
SPY,202312,138,20,20
SPY,202401,145,21,21
SPY,202402,144,20,20
SPY,202403,138,20,20
SPY,202404,159,22,22
SPY,202405,147,22,22
SPY,202406,133,19,19
SPY,202407,146,22,22
SPY,202408,150,22,22
SPY,202409,141,20,20
SPY,202410,151,23,23
SPY,202411,131,19,19
SPY,202412,146,21,21
SPY,202501,137,20,20
SPY,202502,120,19,19
SPY,202503,136,21,21
SPY,202504,131,20,20
SPY,202505,156,21,21
SPY,202506,141,20,20
SPY,202507,151,22,22
SPY,202508,139,21,21
SPY,202509,147,21,21
SPY,202510,152,23,23
SPY,202511,120,19,19
SPY,202512,151,22,22
