scope,cost_bps,trades,win_rate,profit_factor,net_bps
QQQ,1.0,247,0.5060728744939271,0.655468729393722,-2381.476477061017
QQQ,2.0,247,0.4939271255060729,0.6263966482693716,-2628.4764770610163
QQQ,3.0,247,0.48582995951417,0.5984527570401629,-2875.4764770610163
SPXW,1.0,244,0.5368852459016393,1.0355668632638828,163.02617355080724
SPXW,2.0,244,0.5204918032786885,0.982765452642933,-80.9738264491928
SPXW,3.0,244,0.5040983606557377,0.932556144243094,-324.97382644919276
SPY,1.0,244,0.5368852459016393,1.0397774890182736,182.45622599407324
SPY,2.0,244,0.5245901639344263,0.9869090813918642,-61.54377400592679
SPY,3.0,244,0.5081967213114754,0.9366060938190877,-305.54377400592676
POOLED,1.0,735,0.5265306122448979,0.8734054700789186,-2035.994077516136
POOLED,2.0,735,0.5129251700680272,0.831397532223168,-2770.994077516136
POOLED,3.0,735,0.4993197278911565,0.791299842206138,-3505.994077516136
