ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,objective_gate_pass
QQQ,247,0.5060728744939271,0.655468729393722,-2381.476477061017,18,5,False
SPXW,244,0.5368852459016393,1.0355668632638828,163.02617355080724,17,6,False
SPY,244,0.5368852459016393,1.0397774890182736,182.45622599407324,17,6,False
