ticker,trade_date,month,sensor_ticker,signal_pressure,base_side,prior_month,prior_direct_hit_rate,orientation,side,entry_open,exit_open,underlying_return_bps,base_gross_bps,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps
QQQ,20250102,202501,QQQ,0.0009999999999999454,1,202412,0.44642857142857145,-1,-1,512.03,506.33,-111.9458644544039,-111.9458644544039,111.9458644544039,110.9458644544039,109.9458644544039,108.9458644544039,110.9458644544039
QQQ,20250103,202501,QQQ,-0.00030000000000002247,-1,202412,0.44642857142857145,-1,1,515.04,518.43,65.60446183511958,-65.60446183511958,65.60446183511958,64.60446183511958,63.60446183511958,62.60446183511958,64.60446183511958
QQQ,20250106,202501,QQQ,0.009699999999999959,1,202412,0.44642857142857145,-1,-1,526.93,525.0,-36.69449802930041,-36.69449802930041,36.69449802930041,35.69449802930041,34.69449802930041,33.69449802930041,35.69449802930041
QQQ,20250107,202501,QQQ,0.014450000000000074,1,202412,0.44642857142857145,-1,-1,518.56,518.14,-8.102633799139067,-8.102633799139067,8.102633799139067,7.102633799139067,6.102633799139067,5.102633799139067,7.102633799139067
QQQ,20250108,202501,QQQ,-0.0018000000000000238,-1,202412,0.44642857142857145,-1,1,514.54,515.28,14.371446026789654,-14.371446026789654,14.371446026789654,13.371446026789654,12.371446026789654,11.371446026789654,13.371446026789654
QQQ,20250110,202501,QQQ,-0.0071500000000000175,-1,202412,0.44642857142857145,-1,1,507.64,509.85,43.44029868271192,-43.44029868271192,43.44029868271192,42.44029868271192,41.44029868271192,40.44029868271192,42.44029868271192
QQQ,20250113,202501,QQQ,-0.00605,-1,202412,0.44642857142857145,-1,1,501.33,504.48,62.63628913349854,-62.63628913349854,62.63628913349854,61.63628913349854,60.63628913349854,59.63628913349854,61.63628913349854
QQQ,20250114,202501,QQQ,-0.00014999999999998348,-1,202412,0.44642857142857145,-1,1,506.96,505.41,-30.62123949039017,30.62123949039017,-30.62123949039017,-31.62123949039017,-32.62123949039017,-33.62123949039017,-31.62123949039017
QQQ,20250115,202501,QQQ,0.0014500000000000068,1,202412,0.44642857142857145,-1,-1,515.72,515.85,2.5204300374813546,2.5204300374813546,-2.5204300374813546,-3.5204300374813546,-4.520430037481354,-5.520430037481354,-3.5204300374813546
QQQ,20250116,202501,QQQ,-0.0028000000000000247,-1,202412,0.44642857142857145,-1,1,516.04,515.06,-19.008831249942826,19.008831249942826,-19.008831249942826,-20.008831249942826,-21.008831249942826,-22.008831249942826,-20.008831249942826
QQQ,20250117,202501,QQQ,-0.006900000000000017,-1,202412,0.44642857142857145,-1,1,520.76,522.81,39.28826311463995,-39.28826311463995,39.28826311463995,38.28826311463995,37.28826311463995,36.28826311463995,38.28826311463995
QQQ,20250121,202501,QQQ,0.0012000000000000344,1,202412,0.44642857142857145,-1,-1,522.24,525.69,65.84433052749881,65.84433052749881,-65.84433052749881,-66.84433052749881,-67.84433052749881,-68.84433052749881,-66.84433052749881
QQQ,20250122,202501,QQQ,-0.00495000000000001,-1,202412,0.44642857142857145,-1,1,532.21,532.26,0.9394346489184414,-0.9394346489184414,0.9394346489184414,-0.06056535108155858,-1.0605653510815585,-2.0605653510815585,-0.06056535108155858
QQQ,20250123,202501,QQQ,-0.0046499999999999875,-1,202412,0.44642857142857145,-1,1,529.72,531.12,26.39419352140167,-26.39419352140167,26.39419352140167,25.39419352140167,24.39419352140167,23.39419352140167,25.39419352140167
QQQ,20250124,202501,QQQ,-0.0044500000000000095,-1,202412,0.44642857142857145,-1,1,532.06,530.07,-37.47191640456409,37.47191640456409,-37.47191640456409,-38.47191640456409,-39.47191640456409,-40.47191640456409,-38.47191640456409
QQQ,20250127,202501,QQQ,-0.009049999999999891,-1,202412,0.44642857142857145,-1,1,517.41,512.78,-89.88693685601694,89.88693685601694,-89.88693685601694,-90.88693685601694,-91.88693685601694,-92.88693685601694,-90.88693685601694
QQQ,20250128,202501,QQQ,0.014100000000000001,1,202412,0.44642857142857145,-1,-1,518.17,521.29,60.03135031224397,60.03135031224397,-60.03135031224397,-61.03135031224397,-62.03135031224397,-63.03135031224397,-61.03135031224397
QQQ,20250129,202501,QQQ,-0.0048000000000000265,-1,202412,0.44642857142857145,-1,1,520.54,519.78,-14.61089155649855,14.61089155649855,-14.61089155649855,-15.61089155649855,-16.61089155649855,-17.61089155649855,-15.61089155649855
QQQ,20250130,202501,QQQ,0.0023999999999999577,1,202412,0.44642857142857145,-1,-1,521.74,521.88,2.6829689128175773,2.6829689128175773,-2.6829689128175773,-3.6829689128175773,-4.682968912817577,-5.682968912817577,-3.6829689128175773
QQQ,20250131,202501,QQQ,-0.004799999999999999,-1,202412,0.44642857142857145,-1,1,530.7,527.03,-69.394169165052,69.394169165052,-69.394169165052,-70.394169165052,-71.394169165052,-72.394169165052,-70.394169165052
QQQ,20250203,202502,QQQ,-0.003549999999999942,-1,202501,0.5,1,-1,517.57,518.92,26.049470103842655,-26.049470103842655,-26.049470103842655,-27.049470103842655,-28.049470103842655,-29.049470103842655,-27.049470103842655
QQQ,20250204,202502,QQQ,-0.000250000000000028,-1,202501,0.5,1,-1,523.96,523.76,-3.8178139661236012,3.8178139661236012,3.8178139661236012,2.8178139661236012,1.8178139661236012,0.8178139661236012,2.8178139661236012
QQQ,20250205,202502,QQQ,0.0032999999999999696,1,202501,0.5,1,1,522.43,525.36,55.927383105723926,55.927383105723926,55.927383105723926,54.927383105723926,53.927383105723926,52.927383105723926,54.927383105723926
QQQ,20250206,202502,QQQ,0.0004999999999999449,1,202501,0.5,1,1,527.93,528.62,13.061380873500212,13.061380873500212,13.061380873500212,12.061380873500212,11.061380873500212,10.061380873500212,12.061380873500212
QQQ,20250207,202502,QQQ,-0.004850000000000021,-1,202501,0.5,1,-1,527.13,526.11,-19.368810885992673,19.368810885992673,19.368810885992673,18.368810885992673,17.368810885992673,16.368810885992673,18.368810885992673
QQQ,20250210,202502,QQQ,0.00034999999999996145,1,202501,0.5,1,1,529.94,529.69,-4.718628287961527,-4.718628287961527,-4.718628287961527,-5.718628287961527,-6.718628287961527,-7.718628287961527,-5.718628287961527
QQQ,20250211,202502,QQQ,0.007300000000000029,1,202501,0.5,1,1,528.96,528.46,-9.456980901899929,-9.456980901899929,-9.456980901899929,-10.456980901899929,-11.456980901899929,-12.456980901899929,-10.456980901899929
QQQ,20250212,202502,QQQ,-0.0018999999999999295,-1,202501,0.5,1,-1,526.03,528.35,44.00697555186945,-44.00697555186945,-44.00697555186945,-45.00697555186945,-46.00697555186945,-47.00697555186945,-45.00697555186945
QQQ,20250213,202502,QQQ,-0.00464999999999996,-1,202501,0.5,1,-1,533.07,532.07,-18.77687991830857,18.77687991830857,18.77687991830857,17.77687991830857,16.77687991830857,15.77687991830857,17.77687991830857
QQQ,20250214,202502,QQQ,0.0027500000000000024,1,202501,0.5,1,1,536.66,537.76,20.476171038031787,20.476171038031787,20.476171038031787,19.476171038031787,18.476171038031787,17.476171038031787,19.476171038031787
QQQ,20250218,202502,QQQ,-0.002950000000000008,-1,202501,0.5,1,-1,537.04,537.13,1.6757124144346933,-1.6757124144346933,-1.6757124144346933,-2.6757124144346935,-3.6757124144346935,-4.6757124144346935,-2.6757124144346935
QQQ,20250219,202502,QQQ,-0.003000000000000058,-1,202501,0.5,1,-1,537.39,539.74,43.63454232289752,-43.63454232289752,-43.63454232289752,-44.63454232289752,-45.63454232289752,-46.63454232289752,-44.63454232289752
QQQ,20250220,202502,QQQ,-0.000150000000000039,-1,202501,0.5,1,-1,535.51,534.86,-12.145334415216851,12.145334415216851,12.145334415216851,11.145334415216851,10.145334415216851,9.145334415216851,11.145334415216851
