ticker,month,arm,status,selected,deploy_config,delta_bucket,cooldown_minutes,daily_cap,training_months,selection_months,train_rows,val_rows,test_rows,seed,model_artifact_path,model_artifact_sha256,policy_artifact_path,policy_artifact_sha256,val_score,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,representation_arm
QQQ,202601,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,35,30,2,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512",27656,2994,900,20463219,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202601.pt,3D545A336B5253454EDAD322530B2D09DAC9DC2371A8D6195FBF1F7BDF899C77,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_QQQ_202601.json,B971D28B59AF9877DCD71CC4785A9C4B79629B2ECA28CCAA7755F2086A6E4DDA,-9.999999999999999e+17,104,0.33653846153846156,0.38750651908176176,-26.759720674423026,-0.2573050064848368,-26.75972067442302,0.5,57,0.2631578947368421,-0.5476223263048807,-26.75972067442303,5.6761539190087245,-0.21211558924955445,30,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
QQQ,202602,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,35,30,2,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510","202511,202512,202601",31332,2770,602,20463220,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202602.pt,0F0C90CE3719FCC1A43EEB894FEAED59B9A99FE0CDEBD803E5F173DEF50A689D,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_QQQ_202602.json,A0BEC5194C44160704C83E4E42B7CCABF348232991E036549A816F1C0C03B45A,-9.999999999999999e+17,97,0.35051546391752575,0.4546926784239311,-20.330622648871227,-0.2095940479265075,-20.9599389846953,0.6082474226804123,54,0.18518518518518517,-0.4209702499424511,-20.67127922888998,6.825217357325506,-0.33571118185622556,29,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
QQQ,202603,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,35,30,2,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511","202512,202601,202602",34010,2562,850,20463221,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202603.pt,42C5EF3A3F91C94848FF5A45D8886EC3C4DBC8A75BAE3A406B9AF9D825DB70F3,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_QQQ_202603.json,F252A06860238402170C3131BCD4F5AC994B342AE31E2D1DDB6B2C87809C536E,-9.999999999999999e+17,91,0.4725274725274725,0.818905642948797,-5.050768431614489,-0.055502949797961415,-9.688123253766934,0.5384615384615384,54,0.3148148148148148,-0.2955457000548981,-9.688123253766928,7.921013166641069,-1.5682788221017492,23,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
QQQ,202604,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,35,30,2,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512","202601,202602,202603",37506,2352,870,20463222,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202604.pt,6BD189A77741B067065778D3840635BE5F44ABA99D30733D1090D2FE5D93CAC0,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_QQQ_202604.json,9BEB96D988CA5EE86DB74A192900CCF77800604031F3594CAC903C58822652C6,-9.999999999999999e+17,93,0.44086021505376344,0.7938066782823583,-5.886446250444636,-0.06329512097252296,-8.86099671711426,0.4838709677419355,54,0.35185185185185186,-0.2776286003097815,-8.633465207593796,6.820401240570486,-1.158661941414194,24,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
QQQ,202605,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,35,30,2,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601","202602,202603,202604",40722,2322,932,20463223,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202605.pt,81D25DECCFE1E7825BBE38A96BCF23A9038F4E6E4C3524A5BF92BAAF3CF18EE5,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_QQQ_202605.json,1C6A2A4DE4C461C44335A6BCBAD613AFEA71305E8ABF68F952C3599BEA9C0428,-9.999999999999999e+17,92,0.44565217391304346,0.8569081380442605,-4.149684368636906,-0.0451052648764881,-9.729123269231584,0.5434782608695652,52,0.46153846153846156,-0.16912580067887045,-9.455439065309664,6.873645997272424,-1.6564262210454068,23,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
SPXW,202601,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,25,0,4,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202510,202511,202512",27656,3416,1158,20463219,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202601.pt,3D545A336B5253454EDAD322530B2D09DAC9DC2371A8D6195FBF1F7BDF899C77,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_SPXW_202601.json,EAE28861A7122566D6D6655AFC4FE9838E266758C12DBF282CCF31883FDABEB9,-9.999999999999999e+17,182,0.31868131868131866,0.8986157851162075,-7.785051320932382,-0.04277500725787023,-34.12845312247264,0.5989010989010989,62,0.3064516129032258,-0.7540944068959881,-33.28467153422649,37.59617143331782,-4.8292772755690825,53,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
SPXW,202602,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,25,0,4,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510","202511,202512,202601",31332,3304,816,20463220,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202602.pt,0F0C90CE3719FCC1A43EEB894FEAED59B9A99FE0CDEBD803E5F173DEF50A689D,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_SPXW_202602.json,7D90993363E49A44FE627B8FF015DB7D35BB956B9EB6E16139CE379FA5E9A700,-9.999999999999999e+17,185,0.3567567567567568,0.6588131116534925,-24.029688152693872,-0.12989020623077768,-25.067320865975468,0.6270270270270271,60,0.26666666666666666,-0.5012499587467075,-24.432185732581882,12.708997818933932,-0.528887338785925,54,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
SPXW,202603,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,25,0,4,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511","202512,202601,202602",34010,3186,918,20463221,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202603.pt,42C5EF3A3F91C94848FF5A45D8886EC3C4DBC8A75BAE3A406B9AF9D825DB70F3,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_SPXW_202603.json,6389464B758767EBB07564B54CD83956131EC93FF1672DD4A47E2B0AE20B9F07,-9.999999999999999e+17,176,0.3806818181818182,0.6815768566753173,-21.363221309108216,-0.12138193925629669,-25.06125110051626,0.5511363636363636,59,0.3389830508474576,-0.5191248319841772,-24.92578053172395,13.211279459849331,-0.618412329708755,49,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
SPXW,202604,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,25,0,4,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512","202601,202602,202603",37506,2892,1186,20463222,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202604.pt,6BD189A77741B067065778D3840635BE5F44ABA99D30733D1090D2FE5D93CAC0,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_SPXW_202604.json,ED9AC339B30AFF53D3A8D8EEDDE3AE1FE334559EA635E4065D06C439DB6E7228,-9.999999999999999e+17,161,0.36024844720496896,0.6306623169360857,-22.803251720550413,-0.1416351038543504,-28.94462089374756,0.5900621118012422,57,0.2982456140350877,-0.6219512223488232,-27.67730890520184,13.084708666165579,-0.5738088947364278,48,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
SPXW,202605,frozen,invalid_validation,False,ABSTAIN_NO_VALID_THRESHOLD,25,0,4,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601","202602,202603,202604",40722,2920,1172,20463223,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_model_artifacts\payoff_head_202605.pt,81D25DECCFE1E7825BBE38A96BCF23A9038F4E6E4C3524A5BF92BAAF3CF18EE5,research_papers\JEPA\results\_diagnostics\adajepa_downstream_frozen_vs_adapted_202601_202605_v1\frozen\fold_policy_artifacts\policy_SPXW_202605.json,7498B31265753CFA00276FE255FF4F7BFEF8BA782610DC98F5B788AD4096D4AF,-9.999999999999999e+17,165,0.3515151515151515,0.656582218887873,-22.098631068817653,-0.13393109738677367,-24.518514437704066,0.6424242424242425,57,0.3157894736842105,-0.627450978100552,-24.2518477710374,13.203006812120366,-0.5974581308228867,50,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,frozen
