ticker,control,trades,win_rate,profit_factor,net_bps
QQQ,inverse_sign,245,0.4530612244897959,0.7738150055611499,-1302.4996518860576
QQQ,always_long,247,0.562753036437247,1.363241267968732,1565.8868959800116
SPXW,inverse_sign,246,0.5121951219512195,0.9657816499355063,-135.19185394355983
SPXW,always_long,246,0.5609756097560976,1.0982000664086646,362.3724775938389
SPY,inverse_sign,248,0.4798387096774194,0.8204831769112928,-769.998767683505
SPY,always_long,248,0.5564516129032258,1.1010875859591605,373.81387886129323
