ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,months_passing,all_months_pass
QQQ,245,0.5224489795918368,1.1734762440630466,812.499651886057,19,7,5,False
SPXW,246,0.47560975609756095,0.9123720024932523,-356.80814605643997,19,5,4,False
SPY,248,0.5040322580645161,1.0728347082895484,273.9987676835049,19,5,3,False
