ticker,month,meta_mode,threshold,meta_train_months,meta_select_months,meta_score,feature_count,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_stream,source_file,test_month,mode,config,stop_after_loss_streak,daily_loss_limit,total_loss_limit,min_trades_before_halt,select_months,select_score,topk,train_months
QQQ,202601,META_SCORE,0.29049906,"202507,202508,202509,202510,202511",202512,5.213571064207416,265,32,0.46875,1.4315637192335784,2.021183785497894,0.06316199329680919,-1.2999999999999992,0.59375,8,0.5,0.2,-1.2191539517122214,3.7802554916329028,1.8703175429945786,32,1.0,42,0.5,1.632536856840767,3.625497723624847,0.08632137437202017,-1.6999999999999997,0.11904761904761904,8,0.625,0.3127488618124238,-1.4,5.3254977236248475,1.4689011356764294,42,1.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202601,,,,,,,,,,
QQQ,202602,META_SCORE,0.2798502,"202507,202508,202509,202510,202511,202512",202601,6.756652972414573,265,35,0.5714285714285714,2.1442210578016128,4.498709008067457,0.12853454308764162,-0.8999999999999995,0.17142857142857143,8,0.875,0.549354504033728,-0.3999999999999999,4.298709008067457,0.9555428013589358,35,1.0,33,0.6363636363636364,2.800401223128215,6.3941856252805875,0.19376320076607842,-1.1999999999999993,0.30303030303030304,7,0.5714285714285714,0.710004792464277,-1.1999999999999997,7.594185625280589,1.1876704979060322,33,1.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202602,,,,,,,,,,
QQQ,202603,META_SCORE,0.45,"202507,202508,202509,202510,202511,202512,202601",202602,8.710576014740402,265,24,0.75,4.888023836240082,6.810004792464277,0.2837501996860115,-0.2999999999999998,0.3333333333333333,6,0.6666666666666666,1.0050023962321384,-0.2999999999999998,7.110004792464277,1.0440528324344163,24,1.0,25,0.48,1.5384615384615388,2.1,0.084,-1.6,0.32,8,0.625,0.30000000000000004,-1.5,3.8000000000000003,1.8095238095238095,25,1.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202603,,,,,,,,,,
QQQ,202604,NO_GATE,-inf,"202507,202508,202509,202510,202511,202512,202601,202602",202603,6.849735193648659,265,48,0.5625,2.103174610452338,6.950000045849729,0.14479166762186935,-1.6000000000000003,0.2708333333333333,9,0.6666666666666666,0.5,-0.3999999999999999,7.150000045849729,1.028776978227422,48,1.0,55,0.3090909090909091,0.5886241192711729,-4.331160245180625,-0.07874836809419318,-5.2264234239807585,0.6,7,0.2857142857142857,-0.6047368211998647,-4.331160245180625,-1.023936585119042,0.23641161424548962,55,0.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202604,,,,,,,,,,
QQQ,202605,META_SCORE,0.42890342,"202507,202508,202509,202510,202511,202512,202601,202602,202603",202604,2.5047041058377792,265,27,0.3333333333333333,0.67772385416284,-1.6427209588366787,-0.060841516993951066,-3.3427209588366784,0.4074074074074074,7,0.5714285714285714,0.2,-2.4427209588366785,1.4266624738267455,-0.8684752368637588,27,0.0,20,0.4,1.114680281523545,0.3803373501014443,0.019016867505072216,-1.3165017128368126,0.45,7,0.2857142857142857,-0.09999999999999998,-1.2165017128368127,1.5968390629382565,4.198480802667276,20,1.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202605,,,,,,,,,,
QQQ,202606,META_SCORE,0.4046905,"202507,202508,202509,202510,202511,202512,202601,202602,202603,202604",202605,5.676975394013684,265,21,0.5238095238095238,1.732279687646086,2.196839062938257,0.1046113839494408,-0.9000000000000001,0.42857142857142855,6,0.6666666666666666,0.15000000000000002,-0.8999999999999999,3.0968390629382574,1.409679532371505,21,1.0,14,0.14285714285714285,0.2995391706286228,-2.3384615371050375,-0.1670329669360741,-2.4384615371050375,0.21428571428571427,4,0.25,-0.7692307685525188,-2.4384615371050375,-2.3384615371050375,1.0,14,0.0,meta_s1,research_papers\JEPA\results\event_trade_union_qqq_meta_grid_s1_pf0p0_wr0p0_2026jun\trade_union_meta_folds.csv,202606,,,,,,,,,,
QQQ,202601,,,,,,,51,0.37254901960784315,0.9373996819579256,-0.6009630532039153,-0.011783589278508142,-2.8,0.21568627450980393,16,0.375,-0.39999999999999997,-2.8,6.074712678201449,-10.108296418249546,25,0.0,45,0.4888888888888889,1.413548402215082,2.75895863414921,0.06131019186998244,-2.4000000000000004,0.06666666666666667,8,0.5,0.25000000000000006,-1.9999999999999998,4.9589586341492105,1.7974023143258988,45,1.0,current,research_papers\JEPA\results\event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2025h2hist_v2_2026janjun_risk5000\intraday_circuit_folds.csv,202601,SELECTED,streakoff_daylossoff_lossesoff,999,-999.0,999,0,"202511,202512",-1e+18,,
QQQ,202602,,,,,,,70,0.45714285714285713,1.2468793994044112,2.757995580945294,0.03939993687064706,-2.575675731405365,0.2,17,0.47058823529411764,-0.09999999999999998,-1.9999999999999998,7.058958634149208,2.5594524816931625,25,0.5,33,0.5757575757575758,1.966094946690082,3.9588194546800137,0.11996422589939436,-1.7462203189474064,0.6060606060606061,7,0.5714285714285714,0.08446407610103163,-1.1898549781512977,5.148674432831312,1.300558030436241,33,1.0,current,research_papers\JEPA\results\event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2025h2hist_v2_2026janjun_risk5000\intraday_circuit_folds.csv,202602,SELECTED,streakoff_daylossoff_lossesoff,999,-999.0,999,0,"202512,202601",4.742791433936104,,
QQQ,202603,,,,,,,78,0.5256410256410257,1.6237964690228515,6.717778088829224,0.08612536011319517,-2.4000000000000004,0.2948717948717949,15,0.5333333333333333,0.08446407610103163,-1.9999999999999998,9.313164198415212,1.3863459130782798,33,1.0,51,0.5294117647058824,1.8877941047091298,6.231226116639222,0.12218090424782789,-1.1999999999999993,0.3333333333333333,9,0.6666666666666666,0.10000000000000003,-0.7499999541502715,7.1000000000000005,1.1394226219846033,51,1.0,current,research_papers\JEPA\results\event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2025h2hist_v2_2026janjun_risk5000\intraday_circuit_folds.csv,202603,SELECTED,streakoff_daylossoff_lossesoff,999,-999.0,999,0,"202601,202602",6.218562917903356,,
QQQ,202604,,,,,,,55,0.6181818181818182,2.5856396913278914,9.540045525469507,0.17345537319035467,-1.6360752970987038,0.4909090909090909,16,0.5625,0.08284507344526257,-1.4187739292105057,10.954205564266003,1.1482340975230199,27,1.0,33,0.3939393939393939,0.8916825318893719,-0.6251880769605507,-0.018945093241228807,-2.0727130573461268,0.7272727272727273,7,0.42857142857142855,-0.3,-1.225188076960551,1.447524980385576,-2.3153432282697146,33,0.0,current,research_papers\JEPA\results\event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2025h2hist_v2_2026janjun_risk5000\intraday_circuit_folds.csv,202604,SELECTED,streak1_daylossoff_lossesoff,1,-999.0,999,0,"202602,202603",7.479319738449619,,
