feature,median
phys_d35_theta_skew_call_minus_put,-0.10975869124390947
phys_d35_vega_skew_call_minus_put,-0.0006755050982520709
phys_d35_abs_delta_gap,-0.0013000071048736572
phys_d35_liquidity_score,15.289052946657822
phys_d50_iv_skew_put_minus_call,0.0018999874591827393
phys_d50_iv_mean,0.31050001084804535
phys_d50_volume_skew_call_minus_put,0.0728008833270953
phys_d50_oi_skew_call_minus_put,0.24810484389049875
phys_d50_mid_skew_call_minus_put,0.0028827122453841687
phys_d50_spread_mean,0.013289509386136057
phys_d50_theta_skew_call_minus_put,-0.010516086405131242
phys_d50_vega_skew_call_minus_put,0.0
phys_d50_abs_delta_gap,0.00610002875328064
phys_d50_liquidity_score,15.31148118200478
phys_d65_iv_skew_put_minus_call,-0.01850000023841858
phys_d65_iv_mean,0.3128250017762184
phys_d65_volume_skew_call_minus_put,0.11627906976563909
phys_d65_oi_skew_call_minus_put,0.34422577051602515
phys_d65_mid_skew_call_minus_put,0.021117485662693686
phys_d65_spread_mean,0.013719530896566587
phys_d65_theta_skew_call_minus_put,-0.0661721647827932
phys_d65_vega_skew_call_minus_put,0.0005878501625958098
phys_d65_abs_delta_gap,-0.001050025224685669
phys_d65_liquidity_score,13.98180133294952
phys_d80_iv_skew_put_minus_call,-0.03960001468658447
phys_d80_iv_mean,0.3310000002384186
phys_d80_volume_skew_call_minus_put,0.0
phys_d80_oi_skew_call_minus_put,0.44113644491343573
phys_d80_mid_skew_call_minus_put,0.05056002979795278
phys_d80_spread_mean,0.01974759363834596
phys_d80_theta_skew_call_minus_put,-0.05031253963326404
phys_d80_vega_skew_call_minus_put,0.0022474421818817086
phys_d80_abs_delta_gap,-0.001399993896484375
phys_d80_liquidity_score,11.991491730149384
phys_total_volume_skew_call_minus_put,0.055867966138496976
phys_total_oi_skew_call_minus_put,0.1596691311082324
phys_total_option_volume_log,7.898411092811599
phys_total_option_oi_log,10.583220132673407
phys_call_iv_slope_low_to_high,0.04289999604225159
phys_put_iv_slope_low_to_high,-0.05419999361038208
phys_call_mid_slope_low_to_high,59.47380592401328
phys_put_mid_slope_low_to_high,52.59327634075042
phys_fib_up_min_abs_bps,29.623373085392913
phys_fib_up_mean_signed_bps,-57.59237892355678
phys_fib_dn_min_abs_bps,65.33337459995872
phys_fib_dn_mean_signed_bps,90.09314587193214
phys_fib_any_min_abs_bps,16.612824449814937
phys_ib_edge_min_abs_bps,13.807753241931618
phys_ib_balance,0.7280988953586467
phys_nearest_level_vs_ib_range,0.09071764660013121
phys_momentum_accel_ret_1m_bps_minus_ret_5m_bps,-0.37605160273068705
phys_abs_ret_1m_bps,0.1944002419318469
phys_momentum_accel_ret_5m_bps_minus_ret_15m_bps,-0.6257259431985407
phys_abs_ret_5m_bps,4.5332934132708
phys_momentum_accel_ret_15m_bps_minus_ret_30m_bps,-0.7534264788189287
phys_abs_ret_15m_bps,8.744453548540921
phys_abs_ret_30m_bps,13.233063836374793
ctx_spx_spot,5926.93994140625
ctx_spx_ret_1m_bps,0.0
ctx_spx_ret_1m_bps_minus_self,0.004540221562598923
ctx_spx_ret_5m_bps,0.15122955810964456
ctx_spx_ret_5m_bps_minus_self,-0.07702481185589694
ctx_spx_ret_15m_bps,0.4910994649909295
ctx_spx_ret_15m_bps_minus_self,-0.1024682073025307
ctx_spx_ret_30m_bps,1.1221232481284371
ctx_spx_ret_30m_bps_minus_self,-0.2108130958694554
ctx_spx_ib_range_bps,57.61319722644963
ctx_spx_nearest_level_abs_bps,5.2963328547012045
ctx_spx_phys_d35_iv_skew_put_minus_call,0.01750001311302185
ctx_spx_phys_total_volume_skew_call_minus_put,0.11735506796822912
ctx_spx_phys_total_oi_skew_call_minus_put,0.21342810096178005
ctx_spy_spot,590.8049926757812
ctx_spy_ret_1m_bps,0.0
ctx_spy_ret_1m_bps_minus_self,0.0
ctx_spy_ret_5m_bps,0.16425879144854605
ctx_spy_ret_5m_bps_minus_self,-0.05030371405700951
ctx_spy_ret_15m_bps,0.4972788629598046
ctx_spy_ret_15m_bps_minus_self,-0.09058800363281883
ctx_spy_ret_30m_bps,1.223705776605133
ctx_spy_ret_30m_bps_minus_self,-0.21055170571715465
ctx_spy_ib_range_bps,59.648994039523046
ctx_spy_nearest_level_abs_bps,5.323016726488229
ctx_spy_phys_d35_iv_skew_put_minus_call,0.018999993801116943
ctx_spy_phys_total_volume_skew_call_minus_put,0.07761930575961642
ctx_spy_phys_total_oi_skew_call_minus_put,0.20072146125751628
ctx_qqq_spot,518.4099731445312
ctx_qqq_ret_1m_bps,0.0
ctx_qqq_ret_1m_bps_minus_self,0.0
ctx_qqq_ret_5m_bps,0.37466256567419975
ctx_qqq_ret_5m_bps_minus_self,0.0
ctx_qqq_ret_15m_bps,0.5793756736927058
ctx_qqq_ret_15m_bps_minus_self,0.0
ctx_qqq_ret_30m_bps,0.9629426124646567
ctx_qqq_ret_30m_bps_minus_self,0.0
ctx_qqq_ib_range_bps,80.57288562665522
ctx_qqq_nearest_level_abs_bps,7.348594519365087
ctx_qqq_phys_d35_iv_skew_put_minus_call,0.0218999981880188
ctx_qqq_phys_total_volume_skew_call_minus_put,0.055867966138496976
ctx_qqq_phys_total_oi_skew_call_minus_put,0.1596691311082324
ctx_spy_qqq_ret_5m_spread,-0.05030371405700951
ctx_spx_spy_ret_5m_spread,0.00013444828694808564
ticker_QQQ,1.0
ticker_SPXW,0.0
ticker_SPY,0.0
expiry_mode_zero_dte,1.0
nearest_level_name_fib_127_dn,0.0
nearest_level_name_fib_127_up,0.0
nearest_level_name_fib_161_dn,0.0
nearest_level_name_fib_161_up,0.0
nearest_level_name_fib_200_dn,0.0
nearest_level_name_fib_200_up,0.0
nearest_level_name_ib_high,0.0
nearest_level_name_ib_low,0.0
