ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,action,score,realized_return,exit_minutes,date,deploy_config,arm,policy
QQQ,20230301,680,-36.03233579326126,executable_quote,1.4736842352927888,41,1.197183084402782,41,-0.7659574474830766,30,-0.7659574474830766,30,-20.008654039544872,635.0,-19.76726549296726,-489382053.31098104,-384427391.5153483,-34984887.265210904,202303,PUT,1.0,-0.7659574474830766,30.0,20230301,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230301,805,-5.143647475018831,executable_quote,-0.6086956437233492,44,-0.6226414834404792,64,-0.6000000248352677,106,-0.6101694671253598,141,-19.89238045020678,760.0,-19.665655452435292,-435663383.9267989,-347284695.4657794,-29459562.820339818,202303,PUT,1.0,-0.6101694671253598,141.0,20230301,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230302,680,-6.89293165301752,executable_quote,0.5925925557996035,138,0.5964912941141041,138,-0.6153845859937639,122,-0.742424249950081,136,-18.141869378751633,635.0,-17.921904316181287,-75668261.6428687,-60727323.799640216,-4980312.614409494,202303,PUT,1.0,-0.742424249950081,136.0,20230302,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230302,820,32.408291017658186,executable_quote,1.8421054117567341,30,1.8421054117567341,30,-0.7749999944120647,30,-0.7749999944120647,30,-15.223149191761873,775.0,-18.413867442954224,-4086293.7640568907,-99320984.6913316,31744896.975758236,202303,CALL,1.0,1.8421054117567341,30.0,20230302,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230303,680,8.085379302373852,executable_quote,1.191489306387722,116,1.191489306387722,116,-0.6296296388278769,58,-0.6399999856948853,86,19.82332279581629,635.0,19.846071991549792,406592817.1484765,415948490.2920317,-3118557.714518408,202303,PUT,1.0,-0.6399999856948853,86.0,20230303,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230303,770,14.114303605305967,executable_quote,0.7391304291488994,30,0.7391304291488994,30,-0.6451612949743479,79,-0.6451612949743479,79,20.061378459766377,725.0,20.051219365251296,515876760.0606381,510662450.4650098,1738103.1985427737,202303,PUT,1.0,-0.6451612949743479,79.0,20230303,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230306,680,14.500475806291657,executable_quote,-0.6874999883584676,30,-0.6874999883584676,30,0.14814811135515904,34,0.2448979641486584,34,19.257086145710897,635.0,19.224845610971336,230805550.5251716,223482932.95769218,2440872.522493144,202303,PUT,1.0,0.2448979641486584,34.0,20230306,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230306,715,7.256455769439896,executable_quote,-0.625,41,-0.6444444429727247,47,1.6206896976965375,58,1.43103449516149,58,19.19623462537724,670.0,19.16549978531734,217179470.08573034,210606028.07006073,2191147.338556538,202303,PUT,1.0,1.43103449516149,58.0,20230306,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230307,825,-36.57828697646303,executable_quote,-0.625,40,-0.625,40,0.11904765114762705,76,0.11904765114762705,76,-19.380095354883803,780.0,-19.070816905699136,-261016805.22584134,-191580166.01570746,-23145546.40337796,202303,PUT,1.0,0.11904765114762705,76.0,20230307,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230308,680,-5.375803204171747,executable_quote,0.24999991721577453,39,-0.6388889164836307,72,-0.5652173927127752,30,-0.5652173927127752,30,-12.764471177503955,635.0,15.247409932815494,-349573.2196078595,4186642.65044317,-1512071.9566836767,202303,PUT,1.0,-0.5652173927127752,30.0,20230308,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230308,710,61.404794921966484,executable_quote,-0.6521739271277514,30,-0.6078431240781732,33,0.5365853676265511,30,0.5365853676265511,30,18.238508677989408,665.0,-17.715318551396543,83345790.8337757,-49392963.42142985,44246251.418401845,202303,PUT,1.0,0.5365853676265511,30.0,20230308,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230309,725,-46.01396638863942,executable_quote,0.4666666004392863,30,0.2063492003421874,31,2.3448277811091294,85,2.6999999006589293,96,17.040511040275113,680.0,19.076854593014772,25153585.287662752,192740366.09822637,-55862260.27018788,202303,CALL,1.0,0.2063492003421874,31.0,20230309,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230309,765,-34.41244153881806,executable_quote,-0.6666666666666667,30,-0.6200000047683716,30,2.031250157160688,45,2.3636362733262994,56,-17.128591190646198,720.0,18.845630797450564,-27469618.064469438,152951401.38805947,-60140339.81750963,202303,PUT,1.0,2.3636362733262994,56.0,20230309,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230310,685,-4.779736169400195,executable_quote,-0.29729733212835296,30,-0.24615380383101992,30,1.1964285961371295,48,0.9659091232359904,51,-20.035261752436327,640.0,-20.30421167269614,-502578171.23562336,-657668571.1779385,51696799.9807717,202303,PUT,1.0,0.9659091232359904,51.0,20230310,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230310,800,-21.367667438869642,executable_quote,-0.6923076878990646,30,-0.6800000071525574,30,1.4186045222181853,35,1.2191780307409723,35,-20.58610513070747,755.0,-20.337314446589488,-871830105.335963,-679803568.8860756,-64008845.4832958,202303,PUT,1.0,1.2191780307409723,35.0,20230310,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230313,680,40.11323949303147,executable_quote,-0.611111138705853,67,-0.614457832190516,75,-0.6385541952371004,139,-0.6605504647357605,162,16.965075836125482,635.0,-18.680052433578354,23325921.088779073,-129611545.79814358,50979155.62897422,202303,PUT,1.0,-0.6605504647357605,162.0,20230313,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230313,845,33.551679229522065,executable_quote,0.2758621221206716,31,0.3275862122120672,31,-0.6857142820650217,68,-0.6440677919013853,68,18.635105923478758,800.0,-16.60000030238969,123914939.37606989,-16191552.937923547,46702164.104664475,202303,PUT,1.0,-0.6440677919013853,68.0,20230313,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
QQQ,20230314,680,18.19394224189308,executable_quote,-0.6285714358699566,107,-0.6184210588231973,109,0.7608695384572723,118,0.8656715953182776,118,19.182249386783557,635.0,19.101079529907285,214163303.43016785,197466503.3920777,5565600.012696713,202303,PUT,1.0,0.8656715953182776,118.0,20230314,thr-inf_maxday2,K0_LEVEL,KING_GEX_SLOPE1_EXECUTABLE_V1
