config,ticker,period_2025,trades_2025,wr_2025,pf_2025,R_2025,min_month_2025,pos_month_rate_2025,sel_pf_min_2025,sel_wr_min_2025,period_2026,trades_2026,wr_2026,pf_2026,R_2026,min_month_2026,pos_month_rate_2026,sel_pf_min_2026,sel_wr_min_2026,pass_2025,pass_2026,pass_both
lgbm_hard_diff_abs_mt0_me0p0,SPXW,val2025,425,0.4423529411764706,0.9544739415524184,-2.308090502176823,19,0.36363636363636365,1.0383188060264052,0.45106696100073584,test2026,317,0.5331230283911672,1.3880166641885756,12.089664425518704,19,1.0,1.02254316779581,0.44336384439359267,False,True,False
lgbm_hard_diff_abs_mt0_me0p0,SPY,val2025,389,0.41645244215938304,0.9733538198608608,-1.3298623327793053,19,0.45454545454545453,1.0383188060264052,0.45106696100073584,test2026,263,0.4714828897338403,1.081592919342007,2.515237992803147,19,0.6666666666666666,1.02254316779581,0.44336384439359267,False,False,False
lgbm_hard_diff_abs_mt0_me0p0,QQQ,val2025,630,0.43333333333333335,0.9704494621869909,-2.2681121135673994,20,0.5,1.0383188060264052,0.45106696100073584,test2026,326,0.5429447852760736,1.6299584175503323,18.457722877018064,25,0.8333333333333334,1.02254316779581,0.44336384439359267,False,True,False
lgbm_hard_diff_abs_mt0_me0p5,SPXW,val2025,366,0.4453551912568306,0.9444428155022911,-2.2646583194436363,19,0.4444444444444444,1.0951314229445894,0.4427966101694915,test2026,366,0.5355191256830601,1.4009435006095474,13.05093518346309,30,1.0,1.0637962095765112,0.44346013548723295,False,True,False
lgbm_hard_diff_abs_mt0_me0p5,SPY,val2025,447,0.4272930648769575,1.0665409929585303,3.861364893259093,19,0.45454545454545453,1.0951314229445894,0.4427966101694915,test2026,272,0.5073529411764706,1.376140260135454,8.96881554710587,19,0.8333333333333334,1.0637962095765112,0.44346013548723295,False,True,False
lgbm_hard_diff_abs_mt0_me0p5,QQQ,val2025,503,0.44532803180914515,0.9765097910230915,-1.3711418049441015,19,0.5,1.0951314229445894,0.4427966101694915,test2026,408,0.5049019607843137,1.2892173378602179,12.196120789775806,34,0.6,1.0637962095765112,0.44346013548723295,False,False,False
lgbm_hard_diff_abs_mt18_me0p0,SPXW,val2025,366,0.453551912568306,0.9842223401206829,-0.6347843837878027,19,0.4444444444444444,1.0688824195337658,0.45465611685940355,test2026,315,0.4857142857142857,1.1287742547859787,3.5221534936949466,19,0.8,1.0508275319872633,0.4525581395348837,False,False,False
lgbm_hard_diff_abs_mt18_me0p0,SPY,val2025,408,0.4411764705882353,1.1324731855061632,7.264454967854897,19,0.6363636363636364,1.0688824195337658,0.45465611685940355,test2026,312,0.5032051282051282,1.2958402862251315,8.257254257457056,19,0.8333333333333334,1.0508275319872633,0.4525581395348837,False,False,False
lgbm_hard_diff_abs_mt18_me0p0,QQQ,val2025,507,0.4457593688362919,1.0015159809121408,0.08449531754748385,20,0.5,1.0688824195337658,0.45465611685940355,test2026,312,0.5128205128205128,1.4751278015414753,15.280772895672671,25,0.8,1.0508275319872633,0.4525581395348837,False,True,False
lgbm_hard_diff_abs_mt18_me0p5,SPXW,val2025,385,0.44935064935064933,1.0021798919481606,0.09431131995201714,19,0.5,1.0879329416592776,0.44431065623118604,test2026,326,0.5276073619631901,1.2288772042818288,5.865155004258206,20,0.8,1.0654902958564616,0.44521497919556174,False,False,False
lgbm_hard_diff_abs_mt18_me0p5,SPY,val2025,486,0.4382716049382716,1.0244265065465115,1.54769095248661,19,0.5454545454545454,1.0879329416592776,0.44431065623118604,test2026,312,0.5032051282051282,1.2958402862251315,8.257254257457056,19,0.8333333333333334,1.0654902958564616,0.44521497919556174,False,False,False
lgbm_hard_diff_abs_mt18_me0p5,QQQ,val2025,502,0.448207171314741,0.9830109653765841,-0.9633183955820368,19,0.5,1.0879329416592776,0.44431065623118604,test2026,442,0.47285067873303166,1.1381986782407598,6.8158683058698495,30,0.6666666666666666,1.0654902958564616,0.44521497919556174,False,False,False
lgbm_soft_diff_abs_mt0_me0p0,SPXW,val2025,405,0.44938271604938274,1.0091133226038993,0.4220106552252638,19,0.5,1.056820959091283,0.4592240696753761,test2026,221,0.5520361990950227,1.446878803180277,9.592234840743005,19,1.0,1.0447375259007794,0.459224985540775,False,True,False
lgbm_soft_diff_abs_mt0_me0p0,SPY,val2025,341,0.4310850439882698,1.0016055319673747,0.07577300343044957,19,0.4,1.056820959091283,0.4592240696753761,test2026,262,0.5152671755725191,1.2945943006570353,8.126260781813237,22,0.8333333333333334,1.0447375259007794,0.459224985540775,False,False,False
lgbm_soft_diff_abs_mt0_me0p0,QQQ,val2025,466,0.4592274678111588,1.024759814185241,1.1998182755485935,20,0.5555555555555556,1.056820959091283,0.4592240696753761,test2026,441,0.5124716553287982,1.3197870213340421,13.024814398847482,30,0.8333333333333334,1.0447375259007794,0.459224985540775,False,True,False
