primary,fallback,score25,pass25,pass26,minwr25,minpf25,minm25,minwr26,minpf26,minm26
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.98275549806914,False,False,0.4277456647398844,0.9376895348442457,24,0.47368421052631576,1.1803295417789712,39
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,-183.9857602809923,False,False,0.4277456647398844,0.9376895348442457,24,0.47368421052631576,1.1803295417789712,39
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.9953164144173,False,False,0.4243421052631579,0.9604638932991173,21,0.4641025641025641,1.2305031815864111,33
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31
return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.3054537925288,False,True,0.42630385487528344,0.9528056879517897,18,0.4910394265232975,1.3658523461225256,19
return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.3067178615025,False,True,0.421875,0.9389787932972478,20,0.4982078853046595,1.384419725922749,19
return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k1_nl7_mcs80,-284.82927398696097,False,False,0.42758620689655175,0.9607732405418599,12,0.49280575539568344,1.3814370760158599,7
