primary,fallback,score25,pass25,pass26,minwr25,minpf25,minm25,minwr26,minpf26,minm26,R25,R26
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.9953164144173,False,False,0.4243421052631579,0.9604638932991173,21,0.4641025641025641,1.2305031815864111,33,5.662359995995025,30.094428528559206
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.00023697116862,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.6428429430475076,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.00139142973117,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,39,1.5273970867934379,31.712588310359422
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,39,1.3384951264489038,32.01258831035942
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.04526062387902,False,False,0.4243421052631579,0.9560106373759217,21,0.4629156010230179,1.2305031815864111,31,5.121194973020311,29.894428528559203
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-184.05447814775204,False,False,0.42244224422442245,0.9578045695686248,21,0.4641025641025641,1.2305031815864111,33,4.305371431747307,30.394428528559203
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31,4.816830017814989,30.194428528559207
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31,4.816830017814989,30.194428528559207
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31,4.816830017814989,30.194428528559207
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-184.16344143542295,False,False,0.425,0.9638390264398915,19,0.4641025641025641,1.2305031815864111,31,4.816830017814989,30.194428528559207
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-283.51608866552476,False,False,0.42543859649122806,1.0492585761227138,16,0.43859649122807015,0.9992000185519903,13,13.693960833581437,16.959843469113345
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-283.51608866552476,False,False,0.42543859649122806,1.0492585761227138,16,0.43119266055045874,0.9314536111503174,13,13.693960833581437,13.499802600317478
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-283.6586169983917,False,False,0.41125541125541126,1.050807604903936,16,0.5024154589371981,1.386281940813376,13,12.075284001480561,23.87759727790082
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.35467529740384,False,False,0.4367816091954023,1.072102699080112,4,0.42448979591836733,1.0376243637752065,6,15.648161984101959,10.662603446981308
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-284.35467529740384,False,False,0.4367816091954023,1.072102699080112,4,0.42448979591836733,1.0376243637752065,6,15.648161984101959,10.662603446981308
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-284.35467529740384,False,False,0.4367816091954023,1.072102699080112,4,0.42448979591836733,1.0376243637752065,6,15.648161984101959,10.662603446981308
