dir,file,ticker,v25_trades,v25_wr,v25_pf,v25_pnl,v25_min_month,v25_pass_gate,t26_trades,t26_wr,t26_pf,t26_pnl,t26_min_month,t26_pass_gate,pass_both
event_option_candidate_spxw_spy_qqq_unionmeta_2025h2_2026jun_with2025h2_risk5000,combined_trades.csv,SPXW,350,0.4057142857142857,1.0970424618080181,17824.85791563527,25,False,299,0.4882943143812709,1.3124564452988312,50083.20405680993,24,True,False
event_option_candidate_spxw_spy_qqq_unionmeta_2025h2_2026jun_with2025h2_risk5000,combined_trades.csv,SPY,293,0.3993174061433447,0.9305784183660262,-16181.283941555703,34,False,190,0.4263157894736842,1.16389019065429,21759.956805813177,18,False,False
event_option_candidate_spxw_spy_qqq_unionmeta_2025h2_2026jun_with2025h2_risk5000,combined_trades.csv,QQQ,198,0.3787878787878788,1.017543114377934,2989.972290185453,15,False,211,0.4218009478672986,1.1678835499216824,28891.67812114378,14,False,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPXW,0,,,0.0,0,False,386,0.48186528497409326,1.3692619640902954,89151.78306526477,42,True,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPY,0,,,0.0,0,False,169,0.47337278106508873,1.661591879543966,115097.09043665415,19,True,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,QQQ,0,,,0.0,0,False,237,0.5316455696202531,1.5172605887318371,76718.46112134466,10,False,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janmay_risk5000,combined_trades.csv,SPXW,0,,,0.0,0,False,344,0.47093023255813954,1.33014104874581,74598.7358340713,0,False,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janmay_risk5000,combined_trades.csv,SPY,0,,,0.0,0,False,149,0.47651006711409394,1.5892394723365235,93799.58503503154,0,False,False
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janmay_risk5000,combined_trades.csv,QQQ,0,,,0.0,0,False,227,0.5286343612334802,1.4758288364840018,67718.46112134466,0,False,False
event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPXW,0,,,0.0,0,False,263,0.5171102661596958,1.494956167581303,63975.6223497334,23,True,False
event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPY,0,,,0.0,0,False,169,0.47337278106508873,1.661591879543966,115097.09043665415,19,True,False
event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,QQQ,0,,,0.0,0,False,206,0.5097087378640777,1.61249995452866,90073.72872553769,10,False,False
event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPXW,0,,,0.0,0,False,386,0.48186528497409326,1.3692619640902954,89151.78306526477,42,True,False
event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,SPY,0,,,0.0,0,False,169,0.47337278106508873,1.661591879543966,115097.09043665415,19,True,False
