trigger_losses,pause_days,rolling_sum_window,rolling_sum_threshold,gate_pass,overall_pf,overall_wr,overall_pnl,overall_trades,min_month,pf_min,wr_min,max_negative_day_streak,negative_months,dd_to_pnl,first3miss,health_flag_count,flags_json
5,1,5,-2.0,True,1.450074876430735,0.5326278659611993,24.493579344825,567,19,1.3963154945871186,0.5,5,5,0.36382545455054927,0,7,"{'SPXW': 'negative_months;max_month_pnl_share>0.65;negative_day_streak>4', 'SPY': 'negative_months;negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
5,1,0,0.0,True,1.4433493695962316,0.531578947368421,24.393579344825,570,19,1.3963154945871186,0.5,5,5,0.3747725368288781,0,7,"{'SPXW': 'negative_months;max_month_pnl_share>0.65;negative_day_streak>4', 'SPY': 'negative_months;negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
7,3,5,-2.0,True,1.422807203916735,0.5308411214953271,21.869976746592847,535,18,1.3387410882852702,0.5078125,7,4,0.5890831420451778,0,7,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
7,4,5,-2.0,True,1.4060347011742507,0.5246212121212122,21.117125111745125,528,18,1.313080237261339,0.5078125,7,4,0.6150468088072847,0,7,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
5,2,0,0.0,True,1.4141001426067952,0.5293072824156305,22.64181443460545,563,18,1.364375447844294,0.5,5,5,0.4690341100633341,0,8,"{'SPXW': 'negative_months;max_month_pnl_share>0.65;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
6,1,3,-1.0,True,1.4410731134951908,0.5288640595903166,22.45195392743485,537,19,1.4034083812938862,0.5078125,6,4,0.6556067566675065,1,9,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2', 'QQQ': 'negative_months;negative_day_streak>4'}"
7,1,3,-1.0,True,1.4538659940728405,0.5306122448979592,23.197519350402704,539,20,1.4216747873805535,0.5078125,7,4,0.5838880145416546,1,9,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2', 'QQQ': 'negative_months;negative_day_streak>4'}"
5,1,3,-1.0,True,1.4539595108404275,0.5308411214953271,22.98065593746007,535,19,1.3963154945871186,0.5,5,4,0.5597857445707328,1,10,"{'SPXW': 'negative_months;max_month_pnl_share>0.65;negative_day_streak>4', 'SPY': 'drawdown_to_pnl>0.45;negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2', 'QQQ': 'negative_months;negative_day_streak>4'}"
2,3,3,-0.5,False,1.8722016218130069,0.582716049382716,28.619624207643152,405,10,1.7302078645606211,0.58,2,2,0.1920479366938647,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
2,3,3,-1.0,False,1.8322286523266615,0.5759637188208617,29.92523817055288,441,12,1.7702660987232495,0.570281124497992,2,2,0.16311641770180768,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
