name,file,2025_pass,2025_strictpass,2025_min_wr,2025_min_pf,2025_minm,2026janmay_pass,2026janmay_strictpass,2026janmay_min_wr,2026janmay_min_pf,2026janmay_minm,2026janjun_pass,2026janjun_strictpass,2026janjun_min_wr,2026janjun_min_pf,2026janjun_minm
event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000,intraday_circuit_trades.csv,False,False,,,0,True,True,0.45695364238410596,1.3021324980230926,22,False,False,0.45121951219512196,1.2576712681305326,5
event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,False,False,,,0,True,True,0.4817073170731707,1.4306266493254831,20,False,False,0.4782608695652174,1.467838808547101,10
event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,False,False,,,0,True,True,0.4817073170731707,1.4306266493254831,20,True,True,0.4817073170731707,1.4306266493254831,20
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,False,False,,,0,True,True,0.5144927536231884,1.6232220732095586,22,False,False,0.5031847133757962,1.6625085606972099,10
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janmay_risk5000,combined_trades.csv,False,False,,,0,True,True,0.5144927536231884,1.6232220732095586,22,True,True,0.5144927536231884,1.6232220732095586,22
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_janmaynested_2026janmay_risk5000,combined_trades.csv,False,False,,,0,True,True,0.5144927536231884,1.6232220732095586,22,True,True,0.5144927536231884,1.6232220732095586,22
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000,combined_trades.csv,False,False,,,0,True,True,0.49640287769784175,1.6232220732095586,22,False,False,0.4873417721518987,1.5862230153376524,10
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janmay_risk5000,combined_trades.csv,False,False,,,0,True,True,0.49640287769784175,1.6232220732095586,22,True,True,0.49640287769784175,1.6232220732095586,22
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janjun_partial_risk5000,combined_trades.csv,False,False,,,0,True,True,0.49640287769784175,1.6232220732095586,22,False,False,0.49056603773584906,1.6625085606972099,10
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janmay_risk5000,combined_trades.csv,False,False,,,0,True,True,0.49640287769784175,1.6232220732095586,22,True,True,0.49640287769784175,1.6232220732095586,22
