dir,file,spx_ticker,pass_exact,pass_with_call,spx_wr,spx_pf,spx_min,spx_trades,spx_r,spx_call,spx_pos,spy_wr,spy_pf,spy_min,spy_trades,spy_r,spy_call,spy_pos,qqq_wr,qqq_pf,qqq_min,qqq_trades,qqq_r,qqq_call,qqq_pos,path
event_option_candidate_intraday_circuit_s1_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,False,0.4727272727272727,1.249939665152221,24,275,7.4897202806776875,0.610909090909091,4,0.45962732919254656,1.303755171812122,13,161,6.460802458506441,0.391304347826087,4,0.4260355029585799,1.1763826597177,11,169,4.797998274127314,0.3668639053254438,4,research_papers\JEPA\results\event_option_candidate_intraday_circuit_s1_2026janjun_partial_risk5000\intraday_circuit_trades.csv
event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,False,0.48788927335640137,1.3009514878579036,24,289,9.266612904775798,0.6055363321799307,4,0.45121951219512196,1.2576712681305329,13,164,5.681430273422634,0.3902439024390244,4,0.46496815286624205,1.4187413603810104,5,157,9.96116701084661,0.34394904458598724,5,research_papers\JEPA\results\event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000\intraday_circuit_trades.csv
event_option_candidate_intraday_circuit_s3_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,False,0.48788927335640137,1.3009514878579036,24,289,9.266612904775798,0.6055363321799307,4,0.4444444444444444,1.2200262907545134,13,171,5.181430273422633,0.3742690058479532,4,0.46107784431137727,1.3787930392084626,5,167,9.692689742858134,0.3473053892215569,5,research_papers\JEPA\results\event_option_candidate_intraday_circuit_s3_2026janjun_partial_risk5000\intraday_circuit_trades.csv
event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,SPXW,False,False,0.49382716049382713,1.467838808547101,22,324,18.578628462326748,0.5462962962962963,6,0.4782608695652174,1.6133220818228686,20,184,14.47428433467383,0.29891304347826086,6,0.5315315315315315,1.7001277876102578,10,222,17.300976178407375,0.6576576576576577,6,research_papers\JEPA\results\event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000\combined_trades.csv
event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,SPXW,False,False,0.4842105263157895,1.4306266493254831,0,285,15.839841046867367,0.5789473684210527,5,0.4817073170731707,1.4948223761198152,0,164,10.214783254349308,0.3048780487804878,5,0.5283018867924528,1.6593026525775687,0,212,15.500976178407374,0.6745283018867925,5,research_papers\JEPA\results\event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000\combined_trades.csv
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,SPXW,False,False,0.5242290748898678,1.6625085606972099,22,227,15.409285070086225,0.6475770925110133,6,0.5031847133757962,1.7527815044495039,19,157,15.429017634571734,0.4012738853503185,5,0.5315315315315315,1.7001277876102578,10,222,17.300976178407375,0.6576576576576577,6,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000\combined_trades.csv
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janmay_risk5000,combined_trades.csv,SPXW,False,False,0.5159574468085106,1.6232220732095586,0,188,12.670497654626843,0.7180851063829787,5,0.5144927536231884,1.9090335410717743,0,138,16.15361015662151,0.42028985507246375,5,0.5283018867924528,1.6593026525775687,0,212,15.500976178407374,0.6745283018867925,5,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janmay_risk5000\combined_trades.csv
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_janmaynested_2026janmay_risk5000,combined_trades.csv,SPXW,False,False,0.5159574468085106,1.6232220732095586,0,188,12.670497654626843,0.7180851063829787,5,0.5144927536231884,1.9090335410717743,0,138,16.15361015662151,0.42028985507246375,5,0.5283018867924528,1.6593026525775687,0,212,15.500976178407374,0.6745283018867925,5,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_janmaynested_2026janmay_risk5000\combined_trades.csv
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000,combined_trades.csv,SPXW,False,False,0.5242290748898678,1.6625085606972099,22,227,15.409285070086225,0.6475770925110133,6,0.4873417721518987,1.5862230153376524,19,158,13.762352895688334,0.4177215189873418,5,0.5315315315315315,1.7001277876102578,10,222,17.300976178407375,0.6576576576576577,6,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000\combined_trades.csv
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janmay_risk5000,combined_trades.csv,SPXW,False,False,0.5159574468085106,1.6232220732095586,0,188,12.670497654626843,0.7180851063829787,5,0.49640287769784175,1.698152873596979,0,139,14.486945417738113,0.43884892086330934,5,0.5283018867924528,1.6593026525775687,0,212,15.500976178407374,0.6745283018867925,5,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janmay_risk5000\combined_trades.csv
