ticker,kind,period,trades,wr,pf,minM,pnlR
SPXW,small,2024,716,0.4329608938547486,1.0720357036353756,0,7.465687174162334
SPXW,small,2025,661,0.43116490166414523,1.0112304517737423,20,0.9527566864066594
SPXW,small,2026,327,0.5198776758409785,1.3663541761264884,30,10.366828073725921
SPXW,small,2025_2026,988,0.4605263157894737,1.1000545072392491,20,11.319584760132578
SPXW,all6,2024,715,0.43916083916083914,1.1112649936557268,0,11.569788369203296
SPXW,all6,2025,783,0.4482758620689655,0.9694640781846523,17,-2.643330388839276
SPXW,all6,2026,308,0.4707792207792208,1.300729100185663,17,12.073631651029128
SPXW,all6,2025_2026,1091,0.4546287809349221,1.0744228271814527,17,9.430301262189856
SPY,small,2024,920,0.41956521739130437,1.0320438911590033,0,3.6306421749822544
SPY,small,2025,775,0.447741935483871,1.0171422330930766,21,1.5943308197258972
SPY,small,2026,313,0.5143769968051118,1.3355853919862017,19,9.57756970348078
SPY,small,2025_2026,1088,0.46691176470588236,1.091915070957543,19,11.171900523206675
SPY,all6,2024,923,0.4106175514626219,0.9396499844341033,19,-6.5704149994264185
SPY,all6,2025,870,0.4160919540229885,0.9813877967349638,21,-2.167259340256784
SPY,all6,2026,366,0.505464480874317,1.4481734389936098,38,19.382074452815864
SPY,all6,2025_2026,1236,0.4425566343042071,1.1078016360857688,21,17.214815112559066
QQQ,small,2024,835,0.4622754491017964,1.1127419114956967,30,11.16974397096226
QQQ,small,2025,636,0.470125786163522,1.1832742781672243,0,11.558600665822027
QQQ,small,2026,376,0.5398936170212766,1.40784444035322,49,14.031248101769858
QQQ,small,2025_2026,1012,0.49604743083003955,1.2625389941563463,0,25.589848767591885
QQQ,all6,2024,835,0.4694610778443114,1.1414977867705673,30,13.991818725894007
QQQ,all6,2025,636,0.470125786163522,1.1832742781672243,0,11.558600665822027
QQQ,all6,2026,376,0.5398936170212766,1.40784444035322,49,14.031248101769858
QQQ,all6,2025_2026,1012,0.49604743083003955,1.2625389941563463,0,25.589848767591885
