ticker,artifact,file,trades,win_rate,profit_factor,pnl_return,min_month_trades,positive_months,call_rate,top5_share,first_2_month_share,first_3_month_share,first_4_month_share,passes_basic,passes_curve
QQQ,event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2025h2hist_v2_2026janjun_risk5000,intraday_circuit_trades.csv,206,0.5097087378640777,1.61249995452866,18.01474574510754,10,5,0.4223300970873786,0.8437532349923966,0.3729044075270196,0.7188002755456678,0.6840960345973691,False,False
QQQ,event_option_qqq_nested_config_intraday_side_circuit_m18_pf11_wr42_2026janjun_risk5000,intraday_circuit_trades.csv,206,0.5097087378640777,1.61249995452866,18.01474574510754,10,5,0.4223300970873786,0.8437532349923966,0.3729044075270196,0.7188002755456678,0.6840960345973691,False,False
QQQ,event_option_qqq_static_union_metas1_current_cd45_2026janmay_risk5000,combined_trades.csv,141,0.49645390070921985,1.6113843289431748,12.191623614189043,0,4,0.3829787234042553,0.6889976483709507,0.47796350521731656,0.816821252747445,0.7803747125437583,False,False
QQQ,event_option_qqq_nested_volume_backfill_m19_maxday5_2026janmay_risk5000,nested_volume_backfill_trades.csv,194,0.5309278350515464,1.5778479835846635,13.718132329144877,0,5,0.654639175257732,0.8063443500473221,0.06586173925431761,0.18468006927680417,0.8519549526970533,False,False
QQQ,event_option_qqq_nested_h2_second_intraday_circuit_s2_2026janmay_risk5000,intraday_circuit_trades.csv,196,0.5051020408163265,1.574749834095361,16.214745745107543,0,4,0.42857142857142855,0.9312511116343657,0.4143005505255099,0.7985943417814945,0.7600375807450663,False,False
QQQ,event_option_qqq_nested_volume_backfill_m20_maxday5_2026janmay_risk5000,nested_volume_backfill_trades.csv,196,0.5255102040816326,1.538952857732157,13.118132329144876,0,4,0.6581632653061225,0.8432251039450023,0.0460050287172019,0.14738878831091032,0.8451836360070687,False,False
QQQ,event_option_qqq_union_simple_intraday_side_circuit_nostreak1_m19_2026janjun_risk5000,intraday_circuit_trades.csv,205,0.4975609756097561,1.5305890633082182,15.920759161118138,10,5,0.3951219512195122,0.8416684069140141,0.4219508643303555,0.8070597686603057,0.7681687425048377,False,False
QQQ,event_option_qqq_nested_volume_backfill_m19_maxday6_2026janmay_risk5000,nested_volume_backfill_trades.csv,212,0.5330188679245284,1.5294364667499638,13.795430647015555,0,5,0.6320754716981132,0.8888115790325176,0.07152490524182056,0.18967747445712796,0.8105113246721315,False,False
QQQ,event_option_qqq_nested_volume_backfill_m21_maxday5_2026janmay_risk5000,nested_volume_backfill_trades.csv,198,0.5252525252525253,1.5179833772652933,12.819143888701738,0,4,0.6565656565656566,0.8628921395099297,0.047156941159543164,0.12750283502880905,0.8415727627984356,False,False
QQQ,event_option_qqq_branch_router_topk_balanced_call065_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,237,0.5316455696202531,1.5172605887318371,15.343692224268935,10,6,0.6075949367088608,0.9037544228965521,0.09427952549680736,0.1703825547413476,0.7318543103786275,False,False
