trigger_losses,pause_days,loss_threshold,rolling_sum_window,rolling_sum_threshold,volume_protect_monthly_target,skipped_days,volume_protected_days,select_spxw_trades,select_spxw_win_rate,select_spxw_profit_factor,select_spxw_pnl_return,select_spxw_avg_return,select_spxw_max_drawdown,select_spxw_call_rate,select_spxw_days_with_trades,select_spxw_daily_win_rate,select_spxw_daily_max_drawdown,select_spxw_top5_share_of_pnl,select_spxw_min_month_trades,select_spxw_positive_month_rate,select_spxw_pass,select_spy_trades,select_spy_win_rate,select_spy_profit_factor,select_spy_pnl_return,select_spy_avg_return,select_spy_max_drawdown,select_spy_call_rate,select_spy_days_with_trades,select_spy_daily_win_rate,select_spy_daily_max_drawdown,select_spy_top5_share_of_pnl,select_spy_min_month_trades,select_spy_positive_month_rate,select_spy_pass,select_qqq_trades,select_qqq_win_rate,select_qqq_profit_factor,select_qqq_pnl_return,select_qqq_avg_return,select_qqq_max_drawdown,select_qqq_call_rate,select_qqq_days_with_trades,select_qqq_daily_win_rate,select_qqq_daily_max_drawdown,select_qqq_top5_share_of_pnl,select_qqq_min_month_trades,select_qqq_positive_month_rate,select_qqq_pass,select_overall_trades,select_overall_win_rate,select_overall_profit_factor,select_overall_pnl_return,select_overall_avg_return,select_overall_max_drawdown,select_overall_call_rate,select_overall_days_with_trades,select_overall_daily_win_rate,select_overall_daily_max_drawdown,select_overall_top5_share_of_pnl,select_overall_min_month_trades,select_overall_positive_month_rate,select_pass,select_pf_min,select_wr_min,select_min_month_min,valid_spxw_trades,valid_spxw_win_rate,valid_spxw_profit_factor,valid_spxw_pnl_return,valid_spxw_avg_return,valid_spxw_max_drawdown,valid_spxw_call_rate,valid_spxw_days_with_trades,valid_spxw_daily_win_rate,valid_spxw_daily_max_drawdown,valid_spxw_top5_share_of_pnl,valid_spxw_min_month_trades,valid_spxw_positive_month_rate,valid_spxw_pass,valid_spy_trades,valid_spy_win_rate,valid_spy_profit_factor,valid_spy_pnl_return,valid_spy_avg_return,valid_spy_max_drawdown,valid_spy_call_rate,valid_spy_days_with_trades,valid_spy_daily_win_rate,valid_spy_daily_max_drawdown,valid_spy_top5_share_of_pnl,valid_spy_min_month_trades,valid_spy_positive_month_rate,valid_spy_pass,valid_qqq_trades,valid_qqq_win_rate,valid_qqq_profit_factor,valid_qqq_pnl_return,valid_qqq_avg_return,valid_qqq_max_drawdown,valid_qqq_call_rate,valid_qqq_days_with_trades,valid_qqq_daily_win_rate,valid_qqq_daily_max_drawdown,valid_qqq_top5_share_of_pnl,valid_qqq_min_month_trades,valid_qqq_positive_month_rate,valid_qqq_pass,valid_overall_trades,valid_overall_win_rate,valid_overall_profit_factor,valid_overall_pnl_return,valid_overall_avg_return,valid_overall_max_drawdown,valid_overall_call_rate,valid_overall_days_with_trades,valid_overall_daily_win_rate,valid_overall_daily_max_drawdown,valid_overall_top5_share_of_pnl,valid_overall_min_month_trades,valid_overall_positive_month_rate,valid_pass,valid_pf_min,valid_wr_min,valid_min_month_min,pretest_pass,pretest_health_flag_count,pretest_negative_months,pretest_max_negative_day_streak,pretest_max_dd_to_pnl,pretest_flags_json,selection_score
4,2,0.0,5,-2.0,19,9,9,126,0.5079365079365079,1.4410669225857395,6.150123317103054,0.048810502516690904,-1.8276556113362903,0.19047619047619047,126,0.5079365079365079,-1.8276556113362903,0.40649591416283937,20,0.8333333333333334,True,305,0.5377049180327869,1.4895636612249512,13.34578454999247,0.043756670655713016,-3.273065884719506,0.32459016393442625,121,0.6033057851239669,-3.2110658961636016,0.5197582216811745,20,1.0,True,131,0.5725190839694656,1.613720269518141,7.00522565831724,0.053475005025322445,-2.015002088350178,0.21374045801526717,125,0.584,-1.854002122682453,0.42825172897009073,20,0.6666666666666666,True,562,0.5391459074733096,1.5036450218790771,26.50113352541276,0.04715504186016506,-3.2730658847195393,0.26868327402135234,128,0.5859375,-3.777114457903913,0.42828976763774185,60,1.0,True,1.4410669225857395,0.5079365079365079,20,126,0.5079365079365079,1.4410669225857395,6.150123317103054,0.048810502516690904,-1.8276556113362903,0.19047619047619047,126,0.5079365079365079,-1.8276556113362903,0.40649591416283937,20,0.8333333333333334,True,305,0.5377049180327869,1.4895636612249512,13.34578454999247,0.043756670655713016,-3.273065884719506,0.32459016393442625,121,0.6033057851239669,-3.2110658961636016,0.5197582216811745,20,1.0,True,131,0.5725190839694656,1.613720269518141,7.00522565831724,0.053475005025322445,-2.015002088350178,0.21374045801526717,125,0.584,-1.854002122682453,0.42825172897009073,20,0.6666666666666666,True,562,0.5391459074733096,1.5036450218790771,26.50113352541276,0.04715504186016506,-3.2730658847195393,0.26868327402135234,128,0.5859375,-3.777114457903913,0.42828976763774185,60,1.0,True,1.4410669225857395,0.5079365079365079,20,True,4,3,6,0.28516507361227994,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-30.744689264972113
4,4,0.0,3,-1.0,19,29,22,126,0.5079365079365079,1.4410669225857395,6.150123317103054,0.048810502516690904,-1.8276556113362903,0.19047619047619047,126,0.5079365079365079,-1.8276556113362903,0.40649591416283937,20,0.8333333333333334,True,254,0.5511811023622047,1.6896313197899577,13.554748868992442,0.053365153027529304,-2.0883479899898427,0.3425196850393701,102,0.6176470588235294,-2.088347989989845,0.4763363904285168,20,1.0,True,130,0.5692307692307692,1.5699158084306188,6.50522565831724,0.05004019737167108,-2.015002088350178,0.2153846153846154,124,0.5806451612903226,-1.854002122682453,0.46116770694408693,19,0.6666666666666666,True,510,0.5450980392156862,1.582276204956689,26.210097844412736,0.051392348714534776,-3.2839425309106254,0.2725490196078431,128,0.609375,-3.6900015382818907,0.40739726541229326,60,1.0,True,1.4410669225857395,0.5079365079365079,19,126,0.5079365079365079,1.4410669225857395,6.150123317103054,0.048810502516690904,-1.8276556113362903,0.19047619047619047,126,0.5079365079365079,-1.8276556113362903,0.40649591416283937,20,0.8333333333333334,True,254,0.5511811023622047,1.6896313197899577,13.554748868992442,0.053365153027529304,-2.0883479899898427,0.3425196850393701,102,0.6176470588235294,-2.088347989989845,0.4763363904285168,20,1.0,True,130,0.5692307692307692,1.5699158084306188,6.50522565831724,0.05004019737167108,-2.015002088350178,0.2153846153846154,124,0.5806451612903226,-1.854002122682453,0.46116770694408693,19,0.6666666666666666,True,510,0.5450980392156862,1.582276204956689,26.210097844412736,0.051392348714534776,-3.2839425309106254,0.2725490196078431,128,0.609375,-3.6900015382818907,0.40739726541229326,60,1.0,True,1.4410669225857395,0.5079365079365079,19,True,4,3,6,0.28516507361227994,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-31.538344617122114
0,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
3,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
4,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
5,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
6,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
7,3,0.0,3,0.0,19,69,138,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,117,0.5213675213675214,1.5858431996415734,7.26626038540256,0.0621047896188253,-1.548940167487681,0.19658119658119658,117,0.5213675213675214,-1.548940167487681,0.3440559335063654,19,0.6666666666666666,True,202,0.5742574257425742,1.903019064015192,14.6339016138744,0.07244505749442773,-3.219056885278031,0.31683168316831684,85,0.6235294117647059,-3.019056885278032,0.44120975525073636,20,1.0,True,116,0.5775862068965517,1.575558010731764,5.6542416099126,0.048743462154418965,-2.015002088350177,0.22413793103448276,110,0.5909090909090909,-1.8540021226824521,0.530575134026926,19,0.6666666666666666,True,435,0.5609195402298851,1.716955058234316,27.554403609189556,0.06334345657284955,-3.219056885278043,0.2597701149425287,125,0.616,-3.690001538281889,0.3929592533316696,60,1.0,True,1.575558010731764,0.5213675213675214,19,True,4,4,6,0.32789580824281606,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-32.271872372959464
0,1,0.0,5,0.0,19,42,74,119,0.5042016806722689,1.4457193449555257,5.826114493319698,0.04895894532201427,-1.5489401674876813,0.18487394957983194,119,0.5042016806722689,-1.5489401674876813,0.42910244947409354,19,0.6666666666666666,True,256,0.5390625,1.574582767639306,12.46601942973334,0.04869538839739586,-2.0484850735257343,0.359375,103,0.6116504854368932,-1.7484850735257353,0.5417584878967457,20,1.0,True,123,0.5609756097560976,1.5477700123482456,6.0605289645547895,0.04927259320776252,-2.106662457464669,0.2032520325203252,117,0.5726495726495726,-2.106662457464669,0.49500629690008946,19,0.6666666666666666,True,498,0.536144578313253,1.531357391909914,24.352662887607828,0.04890092949318841,-2.922369827044905,0.2791164658634538,128,0.5546875,-3.6900015382818907,0.4516959829307823,60,1.0,True,1.4457193449555257,0.5042016806722689,19,119,0.5042016806722689,1.4457193449555257,5.826114493319698,0.04895894532201427,-1.5489401674876813,0.18487394957983194,119,0.5042016806722689,-1.5489401674876813,0.42910244947409354,19,0.6666666666666666,True,256,0.5390625,1.574582767639306,12.46601942973334,0.04869538839739586,-2.0484850735257343,0.359375,103,0.6116504854368932,-1.7484850735257353,0.5417584878967457,20,1.0,True,123,0.5609756097560976,1.5477700123482456,6.0605289645547895,0.04927259320776252,-2.106662457464669,0.2032520325203252,117,0.5726495726495726,-2.106662457464669,0.49500629690008946,19,0.6666666666666666,True,498,0.536144578313253,1.531357391909914,24.352662887607828,0.04890092949318841,-2.922369827044905,0.2791164658634538,128,0.5546875,-3.6900015382818907,0.4516959829307823,60,1.0,True,1.4457193449555257,0.5042016806722689,19,True,4,4,6,0.34760372729600925,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-33.30581982569218
4,1,0.0,5,0.0,19,42,75,119,0.5042016806722689,1.4457193449555257,5.826114493319698,0.04895894532201427,-1.5489401674876813,0.18487394957983194,119,0.5042016806722689,-1.5489401674876813,0.42910244947409354,19,0.6666666666666666,True,256,0.5390625,1.574582767639306,12.46601942973334,0.04869538839739586,-2.0484850735257343,0.359375,103,0.6116504854368932,-1.7484850735257353,0.5417584878967457,20,1.0,True,123,0.5609756097560976,1.5477700123482456,6.0605289645547895,0.04927259320776252,-2.106662457464669,0.2032520325203252,117,0.5726495726495726,-2.106662457464669,0.49500629690008946,19,0.6666666666666666,True,498,0.536144578313253,1.531357391909914,24.352662887607828,0.04890092949318841,-2.922369827044905,0.2791164658634538,128,0.5546875,-3.6900015382818907,0.4516959829307823,60,1.0,True,1.4457193449555257,0.5042016806722689,19,119,0.5042016806722689,1.4457193449555257,5.826114493319698,0.04895894532201427,-1.5489401674876813,0.18487394957983194,119,0.5042016806722689,-1.5489401674876813,0.42910244947409354,19,0.6666666666666666,True,256,0.5390625,1.574582767639306,12.46601942973334,0.04869538839739586,-2.0484850735257343,0.359375,103,0.6116504854368932,-1.7484850735257353,0.5417584878967457,20,1.0,True,123,0.5609756097560976,1.5477700123482456,6.0605289645547895,0.04927259320776252,-2.106662457464669,0.2032520325203252,117,0.5726495726495726,-2.106662457464669,0.49500629690008946,19,0.6666666666666666,True,498,0.536144578313253,1.531357391909914,24.352662887607828,0.04890092949318841,-2.922369827044905,0.2791164658634538,128,0.5546875,-3.6900015382818907,0.4516959829307823,60,1.0,True,1.4457193449555257,0.5042016806722689,19,True,4,4,6,0.34760372729600925,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-33.30581982569218
