path,size_mb,nrows_meta,cols,date_min,date_max,months,tickers,expiry_modes
research_papers\JEPA\results\_diagnostics\core_june17_22_event_dataset_physics\event_option_dataset.parquet,1.0,422,358,20260617,20260622,1,"QQQ,SPXW,SPY","{""front_weekly"": 160, ""zero_dte"": 262}"
research_papers\JEPA\results\_diagnostics\core_june17_22_event_dataset\event_option_dataset.parquet,0.6,422,226,20260617,20260622,1,"QQQ,SPXW,SPY","{""front_weekly"": 160, ""zero_dte"": 262}"
research_papers\JEPA\results\_diagnostics\spxw_june17_22_event_dataset\event_option_dataset.parquet,0.4,196,226,20260617,20260622,1,SPXW,"{""front_weekly"": 80, ""zero_dte"": 116}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels_physics_tdvp_v1\event_option_dataset.parquet,154.0,87483,525,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_phys_td_jepa_oof_2025_2026_core_through202606\event_option_dataset.parquet,150.6,87483,477,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels_physics_ptdj_v1_through202606\event_option_dataset.parquet,166.5,87483,477,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels_physics_ptdj_z48_loosephys\event_option_dataset.parquet,175.2,87483,525,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels_physics_ptdj_v1\event_option_dataset.parquet,165.7,87483,477,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels_physics\event_option_dataset.parquet,142.2,87483,358,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026_all_delta_labels\event_option_dataset.parquet,79.2,87483,226,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_wide_even_2024_2026\event_option_dataset.parquet,66.7,87483,178,20240102,20260616,30,"AAPL,AMZN,GOOGL,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 59278, ""zero_dte"": 28205}"
research_papers\JEPA\results\event_option_dataset_medium_even_2025h2_2026\event_option_dataset.parquet,12.1,14466,178,20250701,20260616,12,"AAPL,IWM,MSFT,NVDA,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 8682, ""zero_dte"": 5784}"
research_papers\JEPA\results\event_option_dataset_medium_2025h2_2026\event_option_dataset.parquet,7.6,9867,166,20250701,20251016,4,"AAPL,IWM,MSFT,NVDA,QQQ,SPXW,SPY,TSLA","{""front_weekly"": 6144, ""zero_dte"": 3723}"
