kind,trigger_losses,pause_days,trigger_sum,gate_pass,simple_health_pass,all_trades,all_wr,all_pf,all_pnl,all_minM,all_call,all_negM,all_maxNegStreak,all_top5,all_ddpnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_pnl,QQQ_minM,QQQ_call,QQQ_negM,QQQ_maxNegStreak,QQQ_top5,QQQ_ddpnl,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_pnl,SPXW_minM,SPXW_call,SPXW_negM,SPXW_maxNegStreak,SPXW_top5,SPXW_ddpnl,SPY_trades,SPY_wr,SPY_pf,SPY_pnl,SPY_minM,SPY_call,SPY_negM,SPY_maxNegStreak,SPY_top5,SPY_ddpnl
streak,0,1,None,True,False,1868,0.493576017130621,1.3742214228534175,72.81209007405862,89,0.4400428265524625,2,5,0.20420756893946973,0.08363341270749416,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,879,0.48236632536973834,1.373395031643006,36.08038093252307,23,0.4402730375426621,3,7,0.20786920221342384,0.11989220351908078
streak,0,2,None,True,False,1868,0.493576017130621,1.3742214228534175,72.81209007405862,89,0.4400428265524625,2,5,0.20420756893946973,0.08363341270749416,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,879,0.48236632536973834,1.373395031643006,36.08038093252307,23,0.4402730375426621,3,7,0.20786920221342384,0.11989220351908078
streak,0,3,None,True,False,1868,0.493576017130621,1.3742214228534175,72.81209007405862,89,0.4400428265524625,2,5,0.20420756893946973,0.08363341270749416,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,879,0.48236632536973834,1.373395031643006,36.08038093252307,23,0.4402730375426621,3,7,0.20786920221342384,0.11989220351908078
streak,0,5,None,True,False,1868,0.493576017130621,1.3742214228534175,72.81209007405862,89,0.4400428265524625,2,5,0.20420756893946973,0.08363341270749416,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,879,0.48236632536973834,1.373395031643006,36.08038093252307,23,0.4402730375426621,3,7,0.20786920221342384,0.11989220351908078
streak,2,1,None,False,False,1609,0.4847731510254817,1.3182977242626508,54.60797432506452,74,0.44561839651957735,3,5,0.26985694557996703,0.12929550243848068,547,0.49725776965265084,1.3355212476763116,17.496876159082575,24,0.4716636197440585,4,6,0.2857652963043072,0.15818896020227305,301,0.4883720930232558,1.3165042915461815,10.435814296909733,16,0.4019933554817276,4,9,0.23955964804206062,0.40913005008317077,761,0.4743758212877792,1.3085912878956427,26.67528386907221,18,0.44415243101182655,6,7,0.2811591448027899,0.22502154039136565
streak,2,2,None,False,False,1397,0.47458840372226196,1.2733478061232886,40.961587876829114,59,0.45382963493199713,4,9,0.3347267947200395,0.1491013449008066,473,0.48625792811839325,1.2525663015429183,11.373183813988792,17,0.48414376321353064,7,13,0.4396306330554597,0.3403721196760253,265,0.4981132075471698,1.394164497643893,11.315421621293321,14,0.41132075471698115,4,8,0.22093741476636705,0.2640417490500984,659,0.456752655538695,1.2400748571871258,18.272982441547,14,0.44916540212443096,7,6,0.4104420295915879,0.3203499459731306
streak,2,3,None,False,False,1235,0.4582995951417004,1.186206835284852,25.525578644016,50,0.44696356275303645,5,5,0.46033663064029345,0.2374770651254059,412,0.46116504854368934,1.1333143097067693,5.50376645407291,14,0.4684466019417476,7,9,0.908468780738305,1.0880545963392274,236,0.4788135593220339,1.3295771511399992,8.647102856863274,11,0.4194915254237288,6,5,0.28911417400519646,0.3177468732654003,587,0.44804088586030666,1.1635219322255963,11.374709333079817,13,0.44293015332197616,7,7,0.6593575079926284,0.6813743987113957
streak,2,5,None,False,False,1097,0.4886052871467639,1.3091581113226896,36.625008914042425,40,0.4448495897903373,3,8,0.29094049386330506,0.11771352620028809,389,0.5167095115681234,1.4022167309129694,14.51602873758111,12,0.4755784061696658,6,4,0.34444682429260465,0.1314944013025455,192,0.4791666666666667,1.2158440511390116,4.729955590930979,7,0.4479166666666667,6,5,0.5285461886351315,0.4884157885659479,516,0.47093023255813954,1.2874319712651945,17.379024585530335,10,0.42054263565891475,7,5,0.4315547148856934,0.2235297884616511
streak,3,1,None,False,False,1761,0.4843838727995457,1.3294965349971255,61.33021292650338,82,0.44179443498012494,2,6,0.232126067664752,0.08226667591263756,604,0.5033112582781457,1.3412746856973778,19.38643352112926,30,0.4685430463576159,4,8,0.2579123176292588,0.1789786334225041,328,0.4878048780487805,1.3989083527295625,14.44005957921369,17,0.3932926829268293,5,6,0.1731294795762978,0.23460732260427863,829,0.4692400482509047,1.2953317718482182,27.503719826160427,21,0.44149577804583834,5,6,0.27269038687873426,0.15076930221093113
streak,3,2,None,False,False,1672,0.48086124401913877,1.3044871028222227,54.13728209591661,76,0.43720095693779903,1,6,0.25300352684732147,0.09253097135528886,576,0.5,1.3098438962506078,16.82969323485449,26,0.4670138888888889,6,7,0.2970939475976272,0.20504838634012637,312,0.49038461538461536,1.4084902858543489,14.02027056456202,15,0.3942307692307692,5,5,0.17831324926917325,0.19970604423279048,784,0.4630102040816326,1.2611873906607687,23.287318296500104,19,0.43239795918367346,4,8,0.32206370456692685,0.17132211573067455
streak,3,3,None,False,False,1602,0.48626716604244696,1.3280863868696255,55.15887899199564,72,0.4425717852684145,1,9,0.22753857648158596,0.07053568156551565,559,0.5098389982110912,1.3834320227263246,19.746503368442916,25,0.47227191413237923,5,5,0.2532093863256089,0.15689583678511923,294,0.4897959183673469,1.3783045044075137,12.274511194192291,14,0.4013605442176871,5,7,0.2036740983366311,0.1849551049189266,749,0.4672897196261682,1.2748697401294353,23.137864429360445,20,0.43658210947930576,4,8,0.32414400312947583,0.1864128028177281
streak,3,5,None,False,False,1453,0.4913971094287681,1.370936981454,55.649179865124566,58,0.43977976600137647,1,7,0.225533832422647,0.06553676343606354,504,0.5198412698412699,1.4486294987920956,20.369253483847796,18,0.46825396825396826,4,5,0.24546800421354908,0.14163700319400857,263,0.49049429657794674,1.3844767858195164,11.061656417087589,11,0.39543726235741444,6,5,0.22600593489218337,0.2116867505506207,686,0.4708454810495627,1.3192945236820486,24.218269964189187,18,0.4358600583090379,4,8,0.30968355754106386,0.16747382073205153
