path,dir,file,ticker,window,v_trades,v_wr,v_pf,v_r,v_min_month,v_pos_months,v_call_rate,t_trades,t_wr,t_pf,t_r,t_min_month,t_pos_months,t_call_rate
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_all_c30\event_option_gate_trades.csv,cons_v1_md3_all_c30,event_option_gate_trades.csv,QQQ,octdec,137,0.41605839416058393,0.9399955839551937,-1.2243568526311337,31,2,0.3722627737226277,284,0.5176056338028169,1.2743491553450552,7.606562465093495,36,4,0.545774647887324
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPXW,h2,225,0.40444444444444444,0.8853064856130142,-3.672229826321565,24,1,0.38222222222222224,275,0.5163636363636364,1.5492152361075509,13.627460644415144,36,5,0.5454545454545454
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPXW,octdec,108,0.3888888888888889,0.7969223836137872,-3.201331315993041,28,0,0.39814814814814814,275,0.5163636363636364,1.5492152361075509,13.627460644415144,36,5,0.5454545454545454
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPY,h2,234,0.4017094017094017,0.872706311916329,-4.023066431247154,25,2,0.3247863247863248,278,0.5323741007194245,1.568392687715463,16.195198056236155,38,5,0.5323741007194245
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPY,octdec,111,0.4594594594594595,1.1589980876946049,2.186395576593542,25,2,0.40540540540540543,278,0.5323741007194245,1.568392687715463,16.195198056236155,38,5,0.5323741007194245
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,QQQ,h2,230,0.41739130434782606,0.9755164186643129,-0.7926032771055147,22,4,0.33043478260869563,256,0.52734375,1.334670445355065,8.376144840486617,34,5,0.55078125
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,QQQ,octdec,124,0.3870967741935484,0.819091944994234,-3.5452890591948156,29,1,0.3548387096774194,256,0.52734375,1.334670445355065,8.376144840486617,34,5,0.55078125
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPXW,h2,196,0.4387755102040816,1.0468320621244478,1.3226978636719275,0,2,0.6326530612244898,164,0.3231707317073171,0.7911298619887831,-5.6272810179632,3,2,0.7865853658536586
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPXW,octdec,196,0.4387755102040816,1.0468320621244478,1.3226978636719275,24,2,0.6326530612244898,164,0.3231707317073171,0.7911298619887831,-5.6272810179632,3,2,0.7865853658536586
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPY,h2,105,0.5047619047619047,1.3562334573641226,4.374085086373657,0,2,0.6666666666666666,110,0.33636363636363636,0.9064112924214515,-1.763145782267891,3,3,0.6363636363636364
