ticker,delta_target,max_minutes_to_close,feature,op,threshold,name,score,train_reason,core_reason,inner_val_reason,train_trades,train_wr,train_pf,train_pnl,train_min_month,train_long_rate,core_trades,core_wr,core_pf,core_pnl,core_min_month,core_long_rate,inner_val_trades,inner_val_wr,inner_val_pf,inner_val_pnl,inner_val_min_month,inner_val_long_rate
SPX,0.4,90.0,net_delta,<=,18.27192410937688,SPX_d0.40_mtc_le_90_net_delta_<=_18p272,-1.0000000000000086e+18,pass,pass,pf 0.967<1.05,314,0.24522292993630573,1.2301378182878433,181904.2187281343,15,0.643312101910828,210,0.2619047619047619,1.3579707631899387,190450.5819355702,18,0.6190476190476191,104,0.21153846153846154,0.9669240429046696,-8546.363207435956,15,0.6923076923076923
SPX,0.5,90.0,net_delta,<=,18.27192410937688,SPX_d0.50_mtc_le_90_net_delta_<=_18p272,-1.0000000000000118e+18,pass,pass,pf 0.947<1.05,314,0.3248407643312102,1.2493536996714678,167799.60906099802,15,0.643312101910828,210,0.3380952380952381,1.3993679296411177,179600.16995071457,18,0.6190476190476191,104,0.2980769230769231,0.947136514733499,-11800.560889716566,15,0.6923076923076923
SPX,0.6,90.0,net_delta,<=,18.27192410937688,SPX_d0.60_mtc_le_90_net_delta_<=_18p272,-1.0000000000000125e+18,pass,pass,pf 0.933<1.05,314,0.3853503184713376,1.3345444545770975,190604.91064405,15,0.643312101910828,210,0.40476190476190477,1.5305266893651444,203159.65787358457,18,0.6190476190476191,104,0.34615384615384615,0.9327922603664328,-12554.747229534576,15,0.6923076923076923
SPX,0.7,90.0,net_delta,<=,18.27192410937688,SPX_d0.70_mtc_le_90_net_delta_<=_18p272,-1.0000000000000193e+18,pass,pass,pf 0.881<1.05,314,0.4267515923566879,1.2476158078978636,121778.64615314276,15,0.643312101910828,210,0.44761904761904764,1.4277847970953592,141104.20319664036,18,0.6190476190476191,104,0.38461538461538464,0.8806742083551077,-19325.557043497585,15,0.6923076923076923
SPX,0.5,120.0,net_delta,<=,18.27192410937688,SPX_d0.50_mtc_le_120_net_delta_<=_18p272,-1.0000000000000244e+18,pass,pass,pf 0.916<1.05,420,0.34285714285714286,1.279865844795961,241562.3746496651,19,0.6547619047619048,283,0.3674911660777385,1.4660007822938534,265995.77137466497,26,0.6289752650176679,137,0.291970802919708,0.9164186995557734,-24433.396724999926,19,0.708029197080292
SPX,0.6,120.0,net_delta,<=,18.27192410937688,SPX_d0.60_mtc_le_120_net_delta_<=_18p272,-1.0000000000000302e+18,pass,pass,pf 0.879<1.05,420,0.39285714285714285,1.3427746633207007,253514.2235992811,19,0.6547619047619048,283,0.4204946996466431,1.5794155772938476,283731.21001930744,26,0.6289752650176679,137,0.3357664233576642,0.8790881612245219,-30216.986420026296,19,0.708029197080292
SPX,0.5,140.0,net_delta,<=,18.27192410937688,SPX_d0.50_mtc_le_140_net_delta_<=_18p272,-1.0000000000000308e+18,pass,pass,pf 0.907<1.05,467,0.3511777301927195,1.3619534519033707,340589.3628989164,20,0.6552462526766595,311,0.38263665594855306,1.609214458658931,371414.74022117676,29,0.6270096463022508,156,0.28846153846153844,0.9069601940353462,-30825.37732226032,20,0.7115384615384616
SPX,0.4,120.0,net_delta,<=,18.27192410937688,SPX_d0.40_mtc_le_120_net_delta_<=_18p272,-1.0000000000000347e+18,pass,pass,pf 0.899<1.05,420,0.25,1.2154547319616056,220561.54764870577,19,0.6547619047619048,283,0.27208480565371024,1.3745869347614907,255230.4390661006,26,0.6289752650176679,137,0.20437956204379562,0.8987289012209758,-34668.8914173948,19,0.708029197080292
SPX,0.6,90.0,net_delta,<=,18.81664223878251,SPX_d0.60_mtc_le_90_net_delta_<=_18p817,-1.0000000000000353e+18,pass,pass,pf 0.842<1.05,385,0.37922077922077924,1.243985979735214,175199.39068362454,18,0.5922077922077922,266,0.40225563909774437,1.4255698302617148,210514.2019133032,24,0.5601503759398496,119,0.3277310924369748,0.8419262978085136,-35314.811229678635,18,0.6638655462184874
SPX,0.5,90.0,net_delta,<=,18.81664223878251,SPX_d0.50_mtc_le_90_net_delta_<=_18p817,-1.0000000000000375e+18,pass,pass,pf 0.859<1.05,385,0.3168831168831169,1.1554445922342937,131585.58680826146,18,0.5922077922077922,266,0.33458646616541354,1.2905981188767772,169040.59927564545,24,0.5601503759398496,119,0.2773109243697479,0.8585601555819806,-37455.012467384,18,0.6638655462184874
