ticker,sources,cap,daily_order,min_score,select_score,select_user_pass,test2025_user_pass,test2026_user_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,sel_dd,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2025_dd,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM,t2026_dd
QQQ,d50ret,2,time_asc,-999999.0,-1e+18,False,False,False,49,0.40816326530612246,1.024621384501877,0.19645008247339002,0,0.22448979591836735,17.81623074896947,0.3333333333333333,-3.3238074455793507,304,0.4375,1.130368556946292,5.190226253254244,0,0.4473684210526316,0.9633491404859329,0.5,-2.5290230076896605,133,0.37593984962406013,0.7359493456690508,-5.590995334882628,17,0.41353383458646614,,0.6,-6.232780520819957
QQQ,d50ret,2,time_asc,0.0,-1e+18,False,False,False,46,0.41304347826086957,0.9989880479274688,-0.007774893318271747,0,0.21739130434782608,,0.3333333333333333,-3.407774893318272,262,0.4198473282442748,1.081966361538872,2.9314570934593993,0,0.41603053435114506,1.7056364260476085,0.5,-3.173151922171187,92,0.34782608695652173,0.6893595190470317,-5.081165994017873,9,0.30434782608695654,,0.4,-4.8811659940178735
QQQ,d65ret,2,time_asc,-999999.0,-1e+18,False,False,False,50,0.5,1.5482436557694412,3.883761624745283,0,0.32,0.8120596655621171,0.3333333333333333,-1.479653667589997,235,0.3872340425531915,0.9531146087018111,-1.6304891471521228,0,0.3659574468085106,,0.3333333333333333,-6.287477467886447,146,0.4178082191780822,1.0272734374251105,0.5579206985411529,19,0.5753424657534246,8.961847110304323,0.8,-3.4718595362133806
QQQ,d65ret,2,time_asc,0.0,-1e+18,False,False,False,50,0.5,1.5482436557694412,3.883761624745283,0,0.32,0.8120596655621171,0.3333333333333333,-1.479653667589997,221,0.416289592760181,1.0492314756137704,1.571897513038233,0,0.3438914027149321,3.1808689552131035,0.5,-6.020035317499856,136,0.41911764705882354,1.0238870627519514,0.4780021369211711,19,0.5588235294117647,10.46020428319668,0.6,-3.4718595362133806
QQQ,d65win,2,time_asc,-999999.0,-9.999999999999997e+17,False,False,False,215,0.49767441860465117,1.243232006998336,4.9333210422613964,20,0.24186046511627907,0.9794927812192787,0.6666666666666666,-3.915211400774738,267,0.4606741573033708,1.0422606417345972,1.1101945883649256,0,0.49063670411985016,4.374598180843685,0.4166666666666667,-6.911509984303188,159,0.5408805031446541,1.2932541427578297,3.888472811814693,28,0.6666666666666666,1.0908216405766011,0.8,-2.9216225836798952
QQQ,d65win,2,time_asc,0.0,-9.999999999999997e+17,False,False,False,215,0.49767441860465117,1.243232006998336,4.9333210422613964,20,0.24186046511627907,0.9794927812192787,0.6666666666666666,-3.915211400774738,267,0.4606741573033708,1.0422606417345972,1.1101945883649256,0,0.49063670411985016,4.374598180843685,0.4166666666666667,-6.911509984303188,159,0.5408805031446541,1.2932541427578297,3.888472811814693,28,0.6666666666666666,1.0908216405766011,0.8,-2.9216225836798952
QQQ,d80,2,time_asc,-999999.0,-9.999999999999999e+17,False,False,True,177,0.4406779661016949,1.1820077562869302,4.520527584059303,0,0.192090395480226,1.1060655879263865,0.6666666666666666,-4.362963848850994,300,0.47333333333333333,1.2774432470789576,10.517080326302935,0,0.36666666666666664,0.4754171162404393,0.75,-3.929907330399679,181,0.5027624309392266,1.3013404788055198,6.12453863099466,34,0.585635359116022,0.8163880254908231,0.6,-2.5404992531338566
QQQ,d80,2,time_asc,0.0,-9.999999999999999e+17,False,False,True,160,0.4375,1.1689440496938153,3.9976682705822126,0,0.18125,1.2507290904534731,0.6666666666666666,-4.362963848850992,295,0.4711864406779661,1.2793847443498363,10.748900731385639,0,0.3525423728813559,0.4651638455828823,0.75,-3.9139676883827725,160,0.53125,1.44945609027119,7.830703131463302,28,0.5375,0.6385122658922282,0.8,-2.240499253133855
QQQ,d80_front,2,time_asc,-999999.0,-9.999999999999999e+17,False,False,False,135,0.5333333333333333,1.3499198199383677,3.245727652682314,0,0.22962962962962963,0.770243306746321,0.5,-2.6813092154465425,354,0.4943502824858757,1.1755660178526057,4.3914578569023615,20,0.4406779661016949,1.0837256169463723,0.5833333333333334,-4.189022086023721,128,0.515625,1.3170601132734483,2.543972949636024,15,0.65625,1.090241500655475,0.8,-1.3581364448826196
QQQ,d80_front,2,time_asc,0.0,-9.999999999999999e+17,False,False,False,135,0.5333333333333333,1.3499198199383677,3.245727652682314,0,0.22962962962962963,0.770243306746321,0.5,-2.6813092154465425,344,0.49709302325581395,1.2035003004986098,4.91589794000055,16,0.436046511627907,0.968111102661536,0.5833333333333334,-3.734994365666206,121,0.512396694214876,1.2561749590856148,2.021821593453477,15,0.6611570247933884,1.3700393203899732,0.6,-1.3581364448826196
