source,ticker,period,trades,wr,pf,minM,pnlR,call_rate
d50ret,SPXW,2024,411,0.41849148418491483,0.9602054215252595,0,-2.521250190501814,0.2360097323600973
d50ret,SPXW,2025,420,0.4523809523809524,1.077981020905292,0,4.2119472265878,0.5095238095238095
d50ret,SPXW,2026,261,0.42528735632183906,1.0189179791994576,21,0.6912224531976561,0.41762452107279696
d50ret,SPXW,2025_2026,681,0.4419970631424376,1.0541485599185922,0,4.903169679785459,0.47430249632892807
d50ret,SPY,2024,223,0.3721973094170404,0.8803322184987519,0,-4.351573666244846,0.21973094170403587
d50ret,SPY,2025,551,0.3938294010889292,0.9465727240492002,0,-3.9775016167113675,0.4519056261343013
d50ret,SPY,2026,187,0.44385026737967914,1.1223851723758762,0,3.1275956301022325,0.43315508021390375
d50ret,SPY,2025_2026,738,0.4065040650406504,0.9915011415745723,0,-0.8499059866091361,0.44715447154471544
d50ret,QQQ,2024,409,0.3691931540342298,0.8545187932367907,0,-9.528759350315834,0.3594132029339853
d50ret,QQQ,2025,407,0.4275184275184275,1.067110630927577,0,3.4970379146963655,0.4668304668304668
d50ret,QQQ,2026,183,0.36065573770491804,0.6489019194632218,17,-10.1119270660647,0.4644808743169399
d50ret,QQQ,2025_2026,590,0.4067796610169492,0.9182432703907344,0,-6.6148891513683346,0.4661016949152542
d65ret,SPXW,2024,823,0.39489671931956255,1.0210521922564522,0,2.816429797147373,0.26852976913730253
d65ret,SPXW,2025,373,0.43967828418230565,0.9623344140355843,0,-1.8636722979303892,0.5522788203753352
d65ret,SPXW,2026,332,0.42168674698795183,1.06144250550591,0,2.755536566085576,0.5301204819277109
d65ret,SPXW,2025_2026,705,0.43120567375886526,1.0094550419285127,0,0.8918642681551869,0.5418439716312057
d65ret,SPY,2024,583,0.3876500857632933,0.9740927792047571,0,-2.4351796171298794,0.27958833619210977
d65ret,SPY,2025,294,0.4013605442176871,0.9852282456224567,0,-0.6700965019575897,0.41836734693877553
d65ret,SPY,2026,284,0.40492957746478875,0.9622063413913331,0,-1.6215203255823636,0.4612676056338028
d65ret,SPY,2025_2026,578,0.4031141868512111,0.9740379444001059,0,-2.2916168275399533,0.43944636678200694
d65ret,QQQ,2024,579,0.40414507772020725,0.9956438942373842,0,-0.38318904162946943,0.33506044905008636
d65ret,QQQ,2025,456,0.41885964912280704,0.9225138862876775,0,-4.563243151215909,0.5
d65ret,QQQ,2026,306,0.4477124183006536,1.1515945575218074,19,6.091898141432429,0.5490196078431373
d65ret,QQQ,2025_2026,762,0.4304461942257218,1.0154290252048268,0,1.5286549902165198,0.5196850393700787
d65win,SPXW,2024,655,0.4687022900763359,1.0433500139530678,0,2.9117704083660563,0.23969465648854962
d65win,SPXW,2025,608,0.4375,0.9430378163655329,0,-3.781054650463145,0.3042763157894737
d65win,SPXW,2026,280,0.475,0.9624120017654189,15,-0.9482278107079947,0.6607142857142857
d65win,SPXW,2025_2026,888,0.44932432432432434,0.9483732138438339,0,-4.729282461171138,0.4166666666666667
d65win,SPY,2024,530,0.5018867924528302,1.309649588638282,0,14.958411684213333,0.37358490566037733
d65win,SPY,2025,586,0.4351535836177474,1.000109851101571,0,0.0070240055275845314,0.38054607508532423
d65win,SPY,2026,216,0.5138888888888888,1.170923599964058,20,3.430480518323611,0.6018518518518519
d65win,SPY,2025_2026,802,0.456359102244389,1.040917117672596,0,3.437504523851196,0.4401496259351621
d65win,QQQ,2024,588,0.5017006802721088,1.2080312621241127,0,11.25832328815957,0.2789115646258503
d65win,QQQ,2025,515,0.44660194174757284,0.9158250422972063,0,-4.2336718488394105,0.46990291262135925
d65win,QQQ,2026,313,0.5111821086261981,1.2248007303163337,26,5.989547578516942,0.5782747603833865
d65win,QQQ,2025_2026,828,0.47101449275362317,1.0228213918165459,0,1.755875729677531,0.5108695652173914
d80,SPXW,2024,652,0.4187116564417178,1.012314962481897,0,1.2901094640614068,0.1656441717791411
d80,SPXW,2025,492,0.44308943089430897,1.1041558544940218,0,6.897709024821572,0.44715447154471544
d80,SPXW,2026,244,0.5163934426229508,1.411819486150298,19,10.201752928513205,0.4918032786885246
d80,SPXW,2025_2026,736,0.4673913043478261,1.1879118114428555,0,17.09946195333478,0.46195652173913043
d80,SPY,2024,738,0.42005420054200543,1.1181982101556927,0,12.92137630929928,0.17750677506775067
d80,SPY,2025,491,0.4663951120162933,1.1554548497235437,0,10.059073913219358,0.31771894093686354
d80,SPY,2026,280,0.475,1.2569229365561942,19,6.974737685086005,0.5892857142857143
d80,SPY,2025_2026,771,0.4695201037613489,1.1854432800537584,0,17.033811598305363,0.4163424124513619
d80,QQQ,2024,743,0.4226110363391655,1.0374310057529457,0,3.879768889023058,0.1911170928667564
d80,QQQ,2025,401,0.44389027431421446,1.108566526643858,0,5.874839969653657,0.3341645885286783
d80,QQQ,2026,378,0.5317460317460317,1.472286751747267,34,17.280872127176693,0.582010582010582
d80,QQQ,2025_2026,779,0.4865211810012837,1.2552927068554767,0,23.15571209683035,0.4544287548138639
d80_front,SPXW,2024,413,0.43825665859564167,0.8043752422741448,0,-7.793673759969618,0.15012106537530268
d80_front,SPXW,2025,645,0.47131782945736433,1.0271536150013851,0,1.4480919031540553,0.3689922480620155
d80_front,SPXW,2026,359,0.4763231197771588,0.8974506792338175,19,-2.8909937294934354,0.5877437325905293
d80_front,SPXW,2025_2026,1004,0.47310756972111556,0.9823002154317786,0,-1.4429018263393794,0.44721115537848605
d80_front,SPY,2024,597,0.4204355108877722,0.8014347833387966,0,-11.053854541752715,0.23115577889447236
d80_front,SPY,2025,375,0.4533333333333333,1.0308277046217074,0,0.9365335210815455,0.4053333333333333
d80_front,SPY,2026,242,0.4834710743801653,1.0987862498319563,16,1.824763668176901,0.5950413223140496
d80_front,SPY,2025_2026,617,0.4651539708265802,1.0565243711284464,0,2.7612971892584453,0.47974068071312803
d80_front,QQQ,2024,298,0.4463087248322148,0.8306603917710027,0,-4.345755638900524,0.24496644295302014
d80_front,QQQ,2025,543,0.48250460405156537,1.0301963751958942,20,1.2066068379051154,0.3885819521178637
d80_front,QQQ,2026,279,0.4838709677419355,0.9905948642353817,15,-0.1859615130053908,0.6379928315412187
d80_front,QQQ,2025_2026,822,0.4829683698296837,1.0170873632428143,15,1.0206453248997258,0.4732360097323601
d80_zero,SPXW,2024,198,0.3686868686868687,0.9099004504831573,0,-3.252455278893263,0.08080808080808081
