source,ticker,period,trades,wr,pf,minM,pnlR,call_rate
d80_zero,SPXW,2025,307,0.38762214983713356,1.0104762454803067,0,0.5747497547273968,0.34201954397394135
d80_zero,SPXW,2026,157,0.47770700636942676,1.466059101822108,0,11.0281014789861,0.7133757961783439
d80_zero,SPXW,2025_2026,464,0.41810344827586204,1.1477606397442113,0,11.602851233713496,0.4676724137931034
d80_zero,SPY,2024,283,0.3321554770318021,0.7573778282200858,0,-13.26251763363873,0.22968197879858657
d80_zero,SPY,2025,190,0.4421052631578947,1.2384164367703343,0,7.195637931175668,0.39473684210526316
d80_zero,SPY,2026,278,0.4712230215827338,1.3419101192609355,16,14.341812371543297,0.7122302158273381
d80_zero,SPY,2025_2026,468,0.4594017094017094,1.2986040857900616,0,21.53745030271897,0.5833333333333334
d80_zero,QQQ,2024,386,0.3860103626943005,0.9202318117862661,0,-5.4552356673049385,0.2979274611398964
d80_zero,QQQ,2025,339,0.3805309734513274,0.9573045729377517,0,-2.526572251247421,0.29793510324483774
d80_zero,QQQ,2026,267,0.45692883895131087,1.2222801115103357,0,9.085366750352723,0.7078651685393258
d80_zero,QQQ,2025_2026,606,0.4141914191419142,1.06555506873962,0,6.5587944991053035,0.47854785478547857
