order,cap,pass_gate,health_ok,sel_trades,sel_win_rate,sel_profit_factor,sel_pnl_return,sel_call_rate,sel_min_month_trades,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_call_rate,test_min_month_trades,dd_ratio,top5,neg_months,max_month_share
time_asc,12,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751949,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
score_desc,10,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751946,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
score_desc,11,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751946,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
score_desc,12,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751946,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
time_asc,6,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,194,0.4845360824742268,1.3791973206476869,7.755186661491725,0.6855670103092784,22,0.5710945365174739,1.3175728208676718,2,0.5982689572125174
time_asc,5,True,False,107,0.48598130841121495,1.741066355593322,7.4201874907706395,0.6074766355140186,32,169,0.47928994082840237,1.3767576898123495,6.783417433961485,0.6863905325443787,19,0.6530086524649886,1.2356773965685408,1,0.5344145937377827
score_desc,1,False,True,26,0.6153846153846154,2.5060892350404727,3.0195357102003015,0.6153846153846154,8,38,0.6842105263157895,3.1205129390218795,5.605920226824551,0.6842105263157895,5,0.1198531657841885,0.44595711298876506,0,0.3609765377178346
score_desc,3,False,True,75,0.49333333333333335,1.7707129644391444,5.467445968594683,0.6133333333333333,24,110,0.6181818181818182,2.718977619153368,13.37029958451247,0.6727272727272727,13,0.14863596937644388,0.5419243574547395,0,0.4340088090204669
score_desc,2,False,True,51,0.5294117647058824,1.8665319240530927,4.184529107389409,0.5882352941176471,16,75,0.6,2.4152751131735934,8.382607866559308,0.68,10,0.16715980179230003,0.5964730880405933,0,0.4238670602868659
score_desc,4,False,True,99,0.47474747474747475,1.660329218083106,6.391819160860563,0.6060606060606061,32,144,0.5902777777777778,2.2752953806449745,14.17827246298792,0.6805555555555556,16,0.12140267034635115,0.5508208215550794,0,0.3888266681694363
time_asc,1,False,False,26,0.5769230769230769,1.9612226567759639,2.3013578659616263,0.5769230769230769,8,38,0.5263157894736842,1.7680205546567387,3.0189223788693793,0.7105263157894737,5,0.291913493956358,0.8281100625502926,2,0.5232678492915304
time_asc,2,False,False,51,0.5490196078431373,2.1776429777975608,5.0855214601339265,0.6274509803921569,16,75,0.5066666666666667,1.6918484431185568,5.285054279234612,0.6933333333333334,10,0.3194592524370492,0.9460640772688726,0,0.5334683083390233
time_asc,3,False,False,75,0.5066666666666667,1.9974364111456169,6.609758394296284,0.6133333333333333,24,110,0.4818181818181818,1.4426148128418699,5.292044046019332,0.7,13,0.6720900975424942,1.1234720609646653,1,0.4436589909670879
time_asc,4,False,False,99,0.5050505050505051,1.8155288757949366,7.450124780403156,0.6161616161616161,32,144,0.4791666666666667,1.4326876640824058,6.705406447523746,0.6875,16,0.5930254331196624,1.0519977508012903,1,0.5406319960608892
