order,cap,pass_gate,health_ok,sel_trades,sel_win_rate,sel_profit_factor,sel_pnl_return,sel_call_rate,sel_min_month_trades,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_call_rate,test_min_month_trades,dd_ratio,top5,neg_months,max_month_share
score_desc,5,True,True,107,0.48598130841121495,1.708139579539712,7.243900748345918,0.616822429906542,32,169,0.5798816568047337,2.0400201843715497,14.218229272619482,0.6804733727810651,19,0.15287480095889464,0.6175955729568507,0,0.42197561825151036
score_desc,6,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,194,0.5618556701030928,1.9602781743721684,15.204068925897975,0.6855670103092784,22,0.17924345287170892,0.6626767478920679,0,0.4299286080477587
score_desc,7,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,219,0.5525114155251142,1.8118525904491103,15.060769532058227,0.684931506849315,25,0.2073363622614507,0.7507174886246641,0,0.45662482413886446
score_desc,8,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,242,0.5247933884297521,1.6075864720471873,13.446898015114513,0.6818181818181818,27,0.28726033211141644,0.9416105260857555,0,0.48533767161445945
score_desc,9,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753683,0.6173913043478261,32,251,0.5059760956175299,1.4943053556688366,11.769128949475085,0.6693227091633466,29,0.3654946393787731,1.0758434858340304,1,0.5545258447851277
time_asc,8,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,242,0.5,1.4339769682641719,10.448467976861556,0.6818181818181818,27,0.39745059713121345,1.2118274891853316,2,0.6246165646050149
time_asc,9,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,251,0.50199203187251,1.4281857631560133,10.665643593116107,0.6693227091633466,29,0.42322455964410616,1.1871520554470532,2,0.6118980177909766
time_asc,7,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,219,0.4931506849315068,1.4105546427497249,9.10388188318506,0.6894977168949772,25,0.4882394698509825,1.2757044231380115,2,0.5982058284628293
time_asc,10,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751949,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
time_asc,11,True,False,115,0.4782608695652174,1.6950021071027548,7.419483446753684,0.6173913043478261,32,258,0.49612403100775193,1.4035924716751949,10.262535887821178,0.6627906976744186,31,0.46518397959087127,1.2337828439907823,2,0.6359330914338329
