trigger_losses,pause_days,loss_threshold,rolling_sum_window,rolling_sum_threshold,volume_protect_monthly_target,skipped_days,volume_protected_days,select_spxw_trades,select_spxw_win_rate,select_spxw_profit_factor,select_spxw_pnl_return,select_spxw_avg_return,select_spxw_max_drawdown,select_spxw_call_rate,select_spxw_days_with_trades,select_spxw_daily_win_rate,select_spxw_daily_max_drawdown,select_spxw_top5_share_of_pnl,select_spxw_min_month_trades,select_spxw_positive_month_rate,select_spxw_pass,select_spy_trades,select_spy_win_rate,select_spy_profit_factor,select_spy_pnl_return,select_spy_avg_return,select_spy_max_drawdown,select_spy_call_rate,select_spy_days_with_trades,select_spy_daily_win_rate,select_spy_daily_max_drawdown,select_spy_top5_share_of_pnl,select_spy_min_month_trades,select_spy_positive_month_rate,select_spy_pass,select_qqq_trades,select_qqq_win_rate,select_qqq_profit_factor,select_qqq_pnl_return,select_qqq_avg_return,select_qqq_max_drawdown,select_qqq_call_rate,select_qqq_days_with_trades,select_qqq_daily_win_rate,select_qqq_daily_max_drawdown,select_qqq_top5_share_of_pnl,select_qqq_min_month_trades,select_qqq_positive_month_rate,select_qqq_pass,select_overall_trades,select_overall_win_rate,select_overall_profit_factor,select_overall_pnl_return,select_overall_avg_return,select_overall_max_drawdown,select_overall_call_rate,select_overall_days_with_trades,select_overall_daily_win_rate,select_overall_daily_max_drawdown,select_overall_top5_share_of_pnl,select_overall_min_month_trades,select_overall_positive_month_rate,select_pass,select_pf_min,select_wr_min,select_min_month_min,valid_spxw_trades,valid_spxw_win_rate,valid_spxw_profit_factor,valid_spxw_pnl_return,valid_spxw_avg_return,valid_spxw_max_drawdown,valid_spxw_call_rate,valid_spxw_days_with_trades,valid_spxw_daily_win_rate,valid_spxw_daily_max_drawdown,valid_spxw_top5_share_of_pnl,valid_spxw_min_month_trades,valid_spxw_positive_month_rate,valid_spxw_pass,valid_spy_trades,valid_spy_win_rate,valid_spy_profit_factor,valid_spy_pnl_return,valid_spy_avg_return,valid_spy_max_drawdown,valid_spy_call_rate,valid_spy_days_with_trades,valid_spy_daily_win_rate,valid_spy_daily_max_drawdown,valid_spy_top5_share_of_pnl,valid_spy_min_month_trades,valid_spy_positive_month_rate,valid_spy_pass,valid_qqq_trades,valid_qqq_win_rate,valid_qqq_profit_factor,valid_qqq_pnl_return,valid_qqq_avg_return,valid_qqq_max_drawdown,valid_qqq_call_rate,valid_qqq_days_with_trades,valid_qqq_daily_win_rate,valid_qqq_daily_max_drawdown,valid_qqq_top5_share_of_pnl,valid_qqq_min_month_trades,valid_qqq_positive_month_rate,valid_qqq_pass,valid_overall_trades,valid_overall_win_rate,valid_overall_profit_factor,valid_overall_pnl_return,valid_overall_avg_return,valid_overall_max_drawdown,valid_overall_call_rate,valid_overall_days_with_trades,valid_overall_daily_win_rate,valid_overall_daily_max_drawdown,valid_overall_top5_share_of_pnl,valid_overall_min_month_trades,valid_overall_positive_month_rate,valid_pass,valid_pf_min,valid_wr_min,valid_min_month_min,pretest_pass,pretest_health_flag_count,pretest_negative_months,pretest_max_negative_day_streak,pretest_max_dd_to_pnl,pretest_flags_json,forward_spxw_trades,forward_spxw_win_rate,forward_spxw_profit_factor,forward_spxw_pnl_return,forward_spxw_avg_return,forward_spxw_max_drawdown,forward_spxw_call_rate,forward_spxw_days_with_trades,forward_spxw_daily_win_rate,forward_spxw_daily_max_drawdown,forward_spxw_top5_share_of_pnl,forward_spxw_min_month_trades,forward_spxw_positive_month_rate,forward_spxw_pass,forward_spy_trades,forward_spy_win_rate,forward_spy_profit_factor,forward_spy_pnl_return,forward_spy_avg_return,forward_spy_max_drawdown,forward_spy_call_rate,forward_spy_days_with_trades,forward_spy_daily_win_rate,forward_spy_daily_max_drawdown,forward_spy_top5_share_of_pnl,forward_spy_min_month_trades,forward_spy_positive_month_rate,forward_spy_pass,forward_qqq_trades,forward_qqq_win_rate,forward_qqq_profit_factor,forward_qqq_pnl_return,forward_qqq_avg_return,forward_qqq_max_drawdown,forward_qqq_call_rate,forward_qqq_days_with_trades,forward_qqq_daily_win_rate,forward_qqq_daily_max_drawdown,forward_qqq_top5_share_of_pnl,forward_qqq_min_month_trades,forward_qqq_positive_month_rate,forward_qqq_pass,forward_overall_trades,forward_overall_win_rate,forward_overall_profit_factor,forward_overall_pnl_return,forward_overall_avg_return,forward_overall_max_drawdown,forward_overall_call_rate,forward_overall_days_with_trades,forward_overall_daily_win_rate,forward_overall_daily_max_drawdown,forward_overall_top5_share_of_pnl,forward_overall_min_month_trades,forward_overall_positive_month_rate,forward_pass,forward_pf_min,forward_wr_min,forward_min_month_min,forward_health_flag_count,forward_negative_months,forward_max_negative_day_streak,forward_max_dd_to_pnl,forward_flags_json,selection_score
3,3,0.0,5,-1.0,0,246,0,102,0.5294117647058824,1.523733979193758,5.410010627129032,0.053039319873814036,-1.4910204727732055,0.4411764705882353,102,0.5294117647058824,-1.4910204727732055,0.46210630113432744,12,0.6666666666666666,False,254,0.49606299212598426,1.6152027737925991,17.11522562735017,0.06738277806043375,-2.6109440026152004,0.41338582677165353,100,0.6,-2.3109440026152,0.4191175298136559,32,0.8333333333333334,True,177,0.5141242937853108,1.4252691305531786,6.622674662847152,0.03741624103303476,-2.5225519664287246,0.423728813559322,94,0.5106382978723404,-2.5225519664287264,0.7459162418082698,15,0.8333333333333334,False,533,0.5084427767354597,1.5425586839862802,29.147910917326357,0.054686512040011924,-2.6109440026152058,0.42213883677298314,119,0.5462184873949579,-3.2906691240902157,0.4343931782813156,76,1.0,False,1.4252691305531786,0.49606299212598426,12,88,0.4318181818181818,1.1781064433833897,2.1433001737835773,0.024355683792995197,-1.1966249938392073,0.22727272727272727,88,0.4318181818181818,-1.1966249938392073,1.1664255107984893,10,0.6666666666666666,False,136,0.375,0.8544142822886557,-2.53372663962521,-0.018630342938420662,-4.027099515551398,0.3235294117647059,60,0.38333333333333336,-3.667111277463638,-1.8440150855820707,13,0.5,False,175,0.5028571428571429,1.520136517040652,8.711975632327992,0.049782717899017094,-2.194523803897523,0.36,95,0.5684210526315789,-1.8945238038975214,0.5106927013631717,22,0.8333333333333334,True,399,0.44360902255639095,1.1801712230926928,8.321549166486358,0.020856012948587365,-4.027099515551406,0.3182957393483709,120,0.55,-4.117545950135177,1.0482437915349627,53,0.8333333333333334,False,0.8544142822886557,0.375,10,False,3,10,3,0.25705364889871946,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",67,0.5223880597014925,1.7277605059597756,4.539488084238591,0.06775355349609836,-0.9568036658301797,0.5223880597014925,67,0.5223880597014925,-0.9568036658301797,0.5507228906889675,14,0.75,False,130,0.5230769230769231,1.4640952008316903,5.795396787804508,0.04457997529080391,-1.8547375208293087,0.7,50,0.54,-1.85473752082931,1.0640383768190007,21,1.0,True,107,0.5327102803738317,1.4756405310033074,4.373265280847905,0.040871638138765466,-2.6349872293849708,0.6448598130841121,54,0.5740740740740741,-2.334987229384971,0.9838190184737445,11,0.75,False,304,0.5263157894736842,1.5268036544618782,14.708150152891005,0.04838207287135199,-2.6349872293849708,0.6414473684210527,81,0.5061728395061729,-2.747067136231621,0.6589981473015505,51,1.0,False,1.4640952008316903,0.5223880597014925,11,6,2,3,0.5339230710770546,"{""QQQ"": ""drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": ""top5_share>0.8""}",-38.08411049587243
4,1,0.0,5,-1.5,0,25,0,120,0.55,1.6424095237329615,7.387931311098721,0.06156609425915601,-1.21839728458984,0.4166666666666667,120,0.55,-1.21839728458984,0.3383897189520843,19,0.8333333333333334,True,310,0.4870967741935484,1.5654806713448675,18.505147781234946,0.05969402510075789,-2.6109440026151995,0.38387096774193546,119,0.5882352941176471,-2.3109440026152,0.3876376007335874,34,0.8333333333333334,True,209,0.507177033492823,1.3595294058355947,6.727505312356281,0.03218902063328364,-1.8388609908092368,0.4449760765550239,112,0.49107142857142855,-1.6908756708298345,0.7342930798072602,31,0.6666666666666666,True,639,0.5054773082942097,1.5183057381148508,32.62058440468995,0.051049427863364555,-2.6109440026152058,0.41001564945226915,121,0.5619834710743802,-3.1845525147848646,0.3950305919611445,85,1.0,True,1.3595294058355947,0.4870967741935484,19,112,0.44642857142857145,1.1623981744347387,2.356635860487547,0.021041391611495954,-1.735219329095552,0.2767857142857143,112,0.44642857142857145,-1.735219329095552,1.0608342349007596,17,0.6666666666666666,False,271,0.45018450184501846,1.130791863664147,4.378675883555036,0.01615747558507393,-2.85672130665025,0.3505535055350554,115,0.4434782608695652,-2.8251755961689184,1.626241979748003,22,0.5,False,221,0.49321266968325794,1.3664127703929414,8.112928166722156,0.0367100822023627,-3.2223963234828137,0.35294117647058826,120,0.525,-3.2223963234828137,0.6017037084992758,33,0.8333333333333334,True,604,0.4652317880794702,1.2117209933023103,14.848239910764736,0.024583178660206515,-3.2291830396086327,0.33774834437086093,128,0.5390625,-5.007850540475902,0.8530079593989399,82,0.8333333333333334,False,1.130791863664147,0.44642857142857145,17,False,3,10,4,0.27423758500350987,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",81,0.5061728395061729,1.700420970577923,5.069140545633596,0.06258198204485921,-0.8384691583562538,0.5432098765432098,81,0.5061728395061729,-0.8384691583562538,0.49318024968816937,19,1.0,True,208,0.5432692307692307,1.5676464289458187,11.606373186236834,0.05579987108767708,-2.1996895780199246,0.6442307692307693,78,0.5,-2.199689578019912,0.6144138225092137,44,1.0,True,144,0.5208333333333334,1.4668800234873274,5.8732947465420695,0.040786769073208815,-2.2807706981009574,0.6180555555555556,74,0.5405405405405406,-1.8878572882445983,0.7574966177758683,34,0.5,True,433,0.5288683602771362,1.560029055728177,22.548808478412496,0.052075770157996526,-2.2807706981009574,0.6166281755196305,82,0.5487804878048781,-3.647067136231623,0.5026502576082514,100,1.0,True,1.4668800234873274,0.5061728395061729,19,2,2,4,0.32143070792694045,"{""QQQ"": ""negative_months;max_month_pnl_share>0.65"", ""SPXW"": """", ""SPY"": """"}",-32.60673941587156
4,1,0.0,2,-1.5,0,22,0,120,0.55,1.6424095237329615,7.387931311098721,0.06156609425915601,-1.21839728458984,0.4166666666666667,120,0.55,-1.21839728458984,0.3383897189520843,19,0.8333333333333334,True,309,0.48220064724919093,1.542372839404889,17.924086939656583,0.058006753850021305,-2.294401608425488,0.3851132686084142,119,0.5798319327731093,-1.979555714983012,0.40020398870458834,34,0.8333333333333334,True,209,0.507177033492823,1.3595294058355947,6.727505312356281,0.03218902063328364,-1.8388609908092368,0.4449760765550239,112,0.49107142857142855,-1.6908756708298345,0.7342930798072602,31,0.6666666666666666,True,638,0.5031347962382445,1.506474792154605,32.03952356311159,0.05021868897039434,-2.2944016084255026,0.4106583072100313,121,0.5619834710743802,-3.1845525147848646,0.4021947686618997,85,1.0,True,1.3595294058355947,0.48220064724919093,19,112,0.44642857142857145,1.1623981744347387,2.356635860487547,0.021041391611495954,-1.735219329095552,0.2767857142857143,112,0.44642857142857145,-1.735219329095552,1.0608342349007596,17,0.6666666666666666,False,277,0.4404332129963899,1.0984571954643203,3.39319695679145,0.012249808508272383,-3.7894285225154087,0.33574007220216606,117,0.4358974358974359,-3.7894285225154087,2.0985479558724682,22,0.5,False,223,0.49327354260089684,1.3812734124276227,8.489156073150031,0.03806796445358759,-2.8461684170549395,0.3542600896860987,121,0.5289256198347108,-2.8461684170549395,0.5750370145914361,33,0.8333333333333334,True,612,0.46078431372549017,1.1998723433984027,14.238988890429027,0.0232663217163873,-4.161890255473789,0.33169934640522875,128,0.5234375,-5.048226782352014,0.8895060544264322,84,0.6666666666666666,False,1.0984571954643203,0.4404332129963899,17,False,3,10,4,0.27423758500350987,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",81,0.5061728395061729,1.700420970577923,5.069140545633596,0.06258198204485921,-0.8384691583562538,0.5432098765432098,81,0.5061728395061729,-0.8384691583562538,0.49318024968816937,19,1.0,True,208,0.5432692307692307,1.5676464289458187,11.606373186236834,0.05579987108767708,-2.1996895780199246,0.6442307692307693,78,0.5,-2.199689578019912,0.6144138225092137,44,1.0,True,144,0.5208333333333334,1.4668800234873274,5.8732947465420695,0.040786769073208815,-2.2807706981009574,0.6180555555555556,74,0.5405405405405406,-1.8878572882445983,0.7574966177758683,34,0.5,True,433,0.5288683602771362,1.560029055728177,22.548808478412496,0.052075770157996526,-2.2807706981009574,0.6166281755196305,82,0.5487804878048781,-3.647067136231623,0.5026502576082514,100,1.0,True,1.4668800234873274,0.5061728395061729,19,2,2,4,0.32143070792694045,"{""QQQ"": ""negative_months;max_month_pnl_share>0.65"", ""SPXW"": """", ""SPY"": """"}",-32.83945645858559
2,1,0.0,4,-1.0,18,111,34,115,0.5652173913043478,1.7611299687154351,8.093587781522384,0.07037902418715117,-1.0815287811005079,0.41739130434782606,115,0.5652173913043478,-1.0815287811005079,0.30888649971863974,19,0.8333333333333334,True,283,0.4911660777385159,1.5349747591974499,16.39924233422836,0.05794785277112495,-2.420925917851361,0.4028268551236749,109,0.5871559633027523,-2.0258439120231087,0.41777944580534804,32,1.0,True,181,0.5138121546961326,1.3250501610360952,5.035444396688021,0.027820134788331608,-1.7494230787476126,0.46408839779005523,98,0.4897959183673469,-1.7494230787476126,0.8761248279466277,25,0.6666666666666666,True,579,0.5129533678756477,1.5200547302851313,29.528274512438767,0.05099874699903068,-2.420925917851365,0.42487046632124353,120,0.575,-3.2515885969776854,0.40261016762646257,77,1.0,True,1.3250501610360952,0.4911660777385159,19,111,0.44144144144144143,1.1319141233320178,1.9075510989433369,0.017185145035525557,-1.9126263706444342,0.26126126126126126,111,0.44144144144144143,-1.9126263706444342,1.3105808811018707,17,0.5,False,230,0.44782608695652176,1.0979257923670696,2.8354026220676483,0.012327837487250644,-3.4481629833504757,0.3695652173913043,97,0.44329896907216493,-3.4481629833504774,2.511384620345282,18,0.3333333333333333,False,203,0.4975369458128079,1.4359722742072722,8.815599787601847,0.04342659993892536,-1.8334499203186079,0.3645320197044335,109,0.5321100917431193,-1.814327353663562,0.5671763828289867,31,0.8333333333333334,True,544,0.4650735294117647,1.2130651765101765,13.55855350861283,0.02492381159671476,-3.6476628647923315,0.34558823529411764,127,0.5196850393700787,-5.426944409633195,0.96055586207381,75,0.8333333333333334,False,1.0979257923670696,0.44144144144144143,17,False,3,11,4,0.25884701179481145,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",77,0.5064935064935064,1.6681867980398513,4.607531161630177,0.059838067034158136,-0.8999999999999999,0.5454545454545454,77,0.5064935064935064,-0.8999999999999999,0.5425899277294269,19,0.75,True,176,0.5568181818181818,1.7309754150348904,12.401050749334724,0.07046051562122002,-2.2127040929172743,0.6193181818181818,65,0.5230769230769231,-2.1043092118439564,0.5750412814984066,38,1.0,True,124,0.4838709677419355,1.3986235204440465,4.489302527643394,0.03620405264228544,-2.468010966029706,0.5967741935483871,64,0.53125,-2.168010966029708,0.9746634518016838,24,0.75,True,377,0.5225464190981433,1.6120802450677265,21.497884438608295,0.05702356615015463,-2.468010966029706,0.596816976127321,82,0.5487804878048781,-3.263786739739164,0.5188489509147828,81,1.0,True,1.3986235204440465,0.4838709677419355,19,5,2,3,0.48292823944920893,"{""QQQ"": ""drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": """"}",-34.44163092135692
4,1,0.0,4,-0.5,18,106,26,118,0.559322033898305,1.7205073953845502,7.909958992723802,0.06703355078579494,-1.0705397556909428,0.423728813559322,118,0.559322033898305,-1.0705397556909428,0.31605726430436554,19,0.8333333333333334,True,286,0.4825174825174825,1.5370121399728052,16.570596641798367,0.057939149097197086,-2.0999999999999988,0.4020979020979021,110,0.5909090909090909,-1.7999999999999998,0.4134592448373045,33,0.8333333333333334,True,190,0.48947368421052634,1.21789981250241,3.7919599097688406,0.019957683735625478,-2.1981704264776845,0.4421052631578947,101,0.46534653465346537,-2.1981704264776876,1.163429456181155,25,0.5,False,594,0.5,1.4772727319722359,28.272515544291014,0.04759682751564144,-2.1981704264776845,0.41919191919191917,120,0.55,-3.1927605864585438,0.4204925993426064,78,1.0,False,1.21789981250241,0.4825174825174825,19,111,0.43243243243243246,1.1121670114702729,1.6519852047317958,0.01488274959217834,-2.0976171917424353,0.2702702702702703,111,0.43243243243243246,-2.0976171917424353,1.5133307446333224,17,0.5,False,218,0.43577981651376146,0.9988200409776422,-0.032381163197172436,-0.00014853744585858916,-3.3953745769579777,0.3577981651376147,94,0.425531914893617,-3.135325774150703,-191.41721282870756,19,0.6666666666666666,False,198,0.5303030303030303,1.4423948584392086,8.454337375535006,0.042698673613813166,-3.5228596735119604,0.3686868686868687,107,0.5420560747663551,-3.519564783831415,0.5774052711488861,27,0.8333333333333334,True,527,0.47058823529411764,1.1643895513342795,10.073941417069628,0.019115638362560965,-3.648299400685918,0.34345351043643263,124,0.532258064516129,-5.390070082869087,1.1657763478662657,64,0.8333333333333334,False,0.9988200409776422,0.43243243243243246,17,False,3,11,4,0.2873982806260197,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",80,0.5,1.6553573471887484,4.743002622797355,0.059287532784966936,-1.1305741409571863,0.55,80,0.5,-1.1305741409571863,0.5270922659801389,18,0.75,True,171,0.5497076023391813,1.5104711640015556,8.938982676097446,0.05227475249179793,-2.2127040929172743,0.6374269005847953,64,0.46875,-2.1043092118439564,0.7977547751482494,36,0.75,True,126,0.5,1.222352458813009,2.618162697833448,0.020779069030424188,-2.2449202515371756,0.6349206349206349,65,0.5076923076923077,-2.1442514944043074,1.4704079491435285,26,0.5,False,377,0.5225464190981433,1.4462939217289923,16.30014799672825,0.04323646683482294,-2.2449202515371756,0.6180371352785146,82,0.5365853658536586,-3.3843623417357556,0.6774126370372604,84,0.75,False,1.222352458813009,0.5,18,6,4,3,0.8189909267971368,"{""QQQ"": ""drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",-35.37876375866412
2,1,0.0,5,0.0,18,191,115,113,0.5663716814159292,1.768905161588003,8.168153746600797,0.07228454643009555,-1.0126132422959344,0.415929203539823,113,0.5663716814159292,-1.0126132422959344,0.3060667168563499,18,0.8333333333333334,True,246,0.483739837398374,1.589887841482243,15.570906748862871,0.06329636889781655,-2.0999999999999988,0.3617886178861789,95,0.5789473684210527,-1.7999999999999998,0.46068550809748066,26,1.0,True,155,0.4967741935483871,1.218551735708142,3.220466334513996,0.020777202158154814,-2.769262013064864,0.44516129032258067,84,0.47619047619047616,-2.769262013064865,1.3582331614919694,22,0.6666666666666666,False,514,0.5058365758754864,1.520907021422561,26.95952682997767,0.0524504413034585,-2.769262013064864,0.39883268482490275,120,0.5583333333333333,-3.1927605864585438,0.423803677677103,70,1.0,False,1.218551735708142,0.483739837398374,18,108,0.4444444444444444,1.1344532932844698,1.9232690283175482,0.017808046558495817,-1.8947266546664019,0.25925925925925924,108,0.4444444444444444,-1.8947266546664019,1.2998701498286847,16,0.5,False,195,0.4666666666666667,1.1323974428947738,3.079590598879106,0.015792772301944133,-2.362031206831076,0.37435897435897436,84,0.44047619047619047,-2.362031206831077,2.149891787550325,18,0.5,False,168,0.49404761904761907,1.4549064771332643,7.722208040837243,0.04596552405260264,-2.226778729884181,0.36904761904761907,91,0.5714285714285714,-2.143106900916181,0.6063006126973821,22,0.6666666666666666,True,471,0.4713375796178344,1.2333165070754917,12.725067668033898,0.027017128806866023,-2.4372234793871312,0.346072186836518,126,0.5476190476190477,-4.56438016582369,0.939642723562004,67,0.8333333333333334,False,1.1323974428947738,0.4444444444444444,16,False,3,11,4,0.25653121185128475,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",75,0.52,1.755577591853444,5.126275368112504,0.06835033824150005,-0.8999999999999999,0.52,75,0.52,-0.8999999999999999,0.4876835168767964,18,0.75,True,158,0.5886075949367089,1.8156386271319562,12.30205466866331,0.07786110549786905,-1.8079528622472427,0.6265822784810127,59,0.5254237288135594,-1.6995579811739265,0.5796687063169303,35,1.0,True,108,0.49074074074074076,1.3174508442523392,3.098754077951284,0.028692167388437814,-1.5652544407118332,0.6111111111111112,56,0.5178571428571429,-1.194940611419705,1.2423597181970019,22,0.5,True,341,0.5425219941348973,1.6490024048383816,20.527084114727096,0.060196727609170365,-1.8079528622472445,0.5982404692082112,82,0.573170731707317,-2.758098618458689,0.544515309355736,79,0.75,True,1.3174508442523392,0.49074074074074076,18,4,3,3,0.3856196979044334,"{""QQQ"": ""top5_share>0.8;negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": """"}",-35.172761189326934
3,3,0.0,5,-1.0,18,163,73,116,0.5603448275862069,1.734686572152096,7.78793131109872,0.06713733888878207,-1.0705397556909428,0.43103448275862066,116,0.5603448275862069,-1.0705397556909428,0.32100950819086005,19,0.6666666666666666,True,254,0.49606299212598426,1.6152027737925991,17.11522562735017,0.06738277806043375,-2.6109440026152004,0.41338582677165353,100,0.6,-2.3109440026152,0.4191175298136559,32,0.8333333333333334,True,181,0.5082872928176796,1.3399569830643459,5.600078201425737,0.030939658571412912,-3.4425391314349403,0.430939226519337,97,0.5051546391752577,-3.3599309366577277,0.8821235021275455,19,0.8333333333333334,True,551,0.5136116152450091,1.5556781482800435,30.503235139874626,0.05535977339360186,-3.4425391314349403,0.42286751361161523,121,0.5454545454545454,-2.7992580411922106,0.3987004528493445,79,1.0,True,1.3399569830643459,0.49606299212598426,19,109,0.44036697247706424,1.196433123894757,2.7644055814038206,0.025361519095447895,-1.6887649137534602,0.25688073394495414,109,0.44036697247706424,-1.6887649137534602,0.9043535495722917,16,0.6666666666666666,False,152,0.375,0.8440613941770565,-3.265391311300555,-0.021482837574345756,-4.21254244228472,0.3618421052631579,70,0.35714285714285715,-4.056263684847343,-1.5767129549947452,20,0.3333333333333333,False,186,0.4946236559139785,1.4203735773589996,7.808531096547266,0.04198134998143691,-2.602044265852393,0.3709677419354839,101,0.5544554455445545,-2.6020442658523937,0.599597979267384,27,0.6666666666666666,True,447,0.4407158836689038,1.1363641437694219,7.30754536665053,0.016347976211746152,-4.212542442284738,0.3400447427293065,126,0.5238095238095238,-4.769265813647663,1.181364293749591,66,0.8333333333333334,False,0.8440613941770565,0.375,16,False,3,12,4,0.3111953945868729,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",77,0.4935064935064935,1.6097648576803862,4.406903988187203,0.05723251932710653,-1.3236905538213144,0.5324675324675324,77,0.4935064935064935,-1.3236905538213144,0.5672916874752211,19,0.75,True,157,0.535031847133758,1.478768970397285,7.533468748477369,0.04798387737883675,-1.8547375208293087,0.6560509554140127,59,0.5254237288135594,-1.85473752082931,0.8463850101984625,24,1.0,True,125,0.528,1.5274625698998776,5.735159955930364,0.04588127964744291,-2.006111902022693,0.6,64,0.546875,-1.6131984921663332,0.7757413812157,23,0.5,True,359,0.5236768802228412,1.5223974293833704,17.675532692594935,0.049235467110292294,-2.006111902022693,0.6100278551532033,82,0.524390243902439,-2.747067136231623,0.573141969198331,67,1.0,True,1.478768970397285,0.4935064935064935,19,4,3,3,0.30036745918892127,"{""QQQ"": ""negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": ""top5_share>0.8""}",-38.77762261829419
2,2,0.0,5,-2.0,0,242,0,97,0.5670103092783505,1.7304184399709244,6.71730052435633,0.06925052086965289,-0.9551012022498091,0.44329896907216493,97,0.5670103092783505,-0.9551012022498091,0.3721733144043837,14,0.8333333333333334,False,257,0.49416342412451364,1.5777207383453533,16.203837875618557,0.0630499528234185,-3.973361212997226,0.4046692607003891,99,0.5959595959595959,-3.6733612129972273,0.4426908700396111,31,0.8333333333333334,True,150,0.4533333333333333,1.028122735817417,0.41927936008033484,0.002795195733868899,-3.3959962748393315,0.46,81,0.41975308641975306,-3.395996274839334,10.522048723881413,17,0.3333333333333333,False,504,0.49603174603174605,1.4475348736264584,23.34041776005522,0.04631035269852227,-3.973361212997238,0.42857142857142855,117,0.5641025641025641,-3.20047035871084,0.4579384509810916,71,1.0,False,1.028122735817417,0.4533333333333333,14,87,0.4367816091954023,1.1287050901306723,1.438692204744333,0.01653669200855555,-2.0866718514635343,0.27586206896551724,87,0.4367816091954023,-2.0866718514635343,1.7376892651227438,14,0.6666666666666666,False,190,0.4105263157894737,0.9740113772421407,-0.6453534367161025,-0.0033965970353479077,-4.740571014743337,0.3631578947368421,80,0.4,-4.740571014743342,-10.379292378822372,14,0.3333333333333333,False,175,0.49142857142857144,1.4059634726652999,6.9286479193632795,0.03959227382493303,-2.3540094511724305,0.3942857142857143,94,0.5212765957446809,-2.27033762220443,0.675742153595608,22,0.6666666666666666,True,452,0.4469026548672566,1.1454850406747048,7.72198668739151,0.017084041343786528,-4.836582089121491,0.3584070796460177,119,0.5378151260504201,-3.827166881025806,1.430285193804872,62,0.6666666666666666,False,0.9740113772421407,0.4105263157894737,14,False,4,14,2,0.46217064291584575,"{""QQQ"": ""drawdown_to_pnl>0.45;negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",62,0.5161290322580645,1.6874669726304168,3.7398384451417575,0.06031997492164125,-1.2236905538213145,0.5806451612903226,62,0.5161290322580645,-1.2236905538213145,0.6684780737648249,14,0.75,False,158,0.5063291139240507,1.3892055095087157,6.445568540271653,0.040794737596656035,-3.5301577745478196,0.6329113924050633,58,0.4482758620689655,-3.287187666126388,1.1063595197645155,25,0.75,True,110,0.4909090909090909,1.2791696008451239,2.7261852617633577,0.024783502379666887,-3.665535966211668,0.6181818181818182,56,0.5178571428571429,-3.30270120628804,1.455394034130673,20,0.75,False,330,0.503030303030303,1.4064569430808669,12.911592247176767,0.03912603711265687,-3.665535966211668,0.6181818181818182,79,0.46835443037974683,-3.3760672661095104,0.7492774555694879,59,0.75,False,1.2791696008451239,0.4909090909090909,14,9,3,2,1.2114735020435763,"{""QQQ"": ""drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65"", ""SPXW"": ""negative_months"", ""SPY"": ""drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65""}",-48.62460385634376
