dir,file,ticker,passed,fold_present,mtime,trades,win_rate,profit_factor,pnl_return,min_month_trades,positive_month_rate,call_rate
event_option_candidate_intraday_circuit_s1_2026janjun_partial_risk5000,intraday_circuit_trades.csv,QQQ,False,True,1781813771.7964196,145,0.43448275862068964,1.2035024756265005,4.650061566619772,11,0.6,0.3448275862068966
event_option_candidate_intraday_circuit_s1_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,True,1781813771.7964196,210,0.5095238095238095,1.4951121374804803,10.63272371923957,24,0.8,0.680952380952381
event_option_candidate_intraday_circuit_s1_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPY,False,True,1781813771.7964196,129,0.46511627906976744,1.2531974435556,4.4154471236675805,13,0.6,0.34108527131782945
event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000,intraday_circuit_trades.csv,QQQ,False,True,1781813561.4390323,133,0.48120300751879697,1.5048921782588827,9.81323030333907,5,0.8,0.3157894736842105
event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,True,1781813561.4390323,224,0.5267857142857143,1.5564769590261793,12.40961634333768,24,0.8,0.6696428571428571
event_option_candidate_intraday_circuit_s2_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPY,False,True,1781813561.4390323,132,0.45454545454545453,1.1995855961530373,3.636074938583775,13,0.6,0.3409090909090909
event_option_candidate_intraday_circuit_s3_2026janjun_partial_risk5000,intraday_circuit_trades.csv,QQQ,False,True,1781813844.2527473,143,0.4755244755244755,1.4494548470263666,9.544753035350594,5,0.8,0.32167832167832167
event_option_candidate_intraday_circuit_s3_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPXW,False,True,1781813844.2527473,224,0.5267857142857143,1.5564769590261793,12.40961634333768,24,0.8,0.6696428571428571
event_option_candidate_intraday_circuit_s3_2026janjun_partial_risk5000,intraday_circuit_trades.csv,SPY,False,True,1781813844.2527473,139,0.4460431654676259,1.1590453076851497,3.1360749385837736,13,0.6,0.3237410071942446
event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,QQQ,False,True,1782054076.3657494,198,0.5202020202020202,1.642131346434247,14.414345374570495,10,1.0,0.6464646464646465
event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,SPXW,True,True,1782054076.3657494,302,0.4900662251655629,1.4203506407960294,15.627352979794496,39,1.0,0.5463576158940397
event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,SPY,True,True,1782054076.3657494,135,0.4962962962962963,1.6192099493696714,10.922818677662871,20,1.0,0.26666666666666666
event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,QQQ,False,True,1782054070.6986406,188,0.5159574468085106,1.5936816610552922,12.614345374570494,0,0.8,0.6648936170212766
event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,SPXW,False,True,1782054070.6986406,263,0.4790874524714829,1.3763241019180337,12.888565564335114,0,0.8,0.5817490494296578
event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,SPY,False,True,1782054070.6986406,115,0.5043478260869565,1.453797777321281,6.6633175973383505,0,0.8,0.26956521739130435
