sources,cap,minscore,daily_order,sel_score,test_pass,both,sel_trades,sel_win_rate,sel_profit_factor,sel_pnl_return,sel_max_drawdown,sel_call_rate,sel_min_month_trades,sel_positive_month_rate,sel_top5_share_of_pnl,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_max_drawdown,test_call_rate,test_min_month_trades,test_positive_month_rate,test_top5_share_of_pnl
"d80_front,cons_m2s1c45,d80",4,-999999.0,time_asc,7.841250278351432,False,False,748,0.49064171122994654,1.303533123147183,22.46772313334743,-3.186434159484758,0.39705882352941174,42,0.75,0.41210830845261537,351,0.5014245014245015,1.2140645317565517,7.527471296604693,-2.853899582287016,0.6068376068376068,59,0.8,0.7574664359682921
"d80_front,cons_m2s1c45,d80",4,0.0,time_asc,7.79705405530207,False,False,734,0.4904632152588556,1.3112348586084632,22.68414308185187,-3.5232391755613612,0.388283378746594,40,0.75,0.40817655495539285,322,0.4968944099378882,1.1732983475507672,5.697793687353422,-2.7693931947472894,0.577639751552795,51,0.6,1.0002468457949767
"d80,d80_front,cons_m3allc30",2,0.0,time_asc,7.774506915440982,True,True,485,0.49690721649484537,1.3980695897745226,19.35377252485972,-2.4266155639379914,0.41237113402061853,35,0.9166666666666666,0.2583475647229785,192,0.5208333333333334,1.3270795182555115,6.159290881131906,-2.6796821267034474,0.5364583333333334,34,0.8,0.7943434839808761
"d80,d80_front,cons_m3s2c30",2,0.0,time_asc,7.774506915440982,True,True,485,0.49690721649484537,1.3980695897745226,19.35377252485972,-2.4266155639379914,0.41237113402061853,35,0.9166666666666666,0.2583475647229785,192,0.5208333333333334,1.3270795182555115,6.159290881131906,-2.6796821267034474,0.5364583333333334,34,0.8,0.7943434839808761
"d80,d80_front,cons_m2s2c30",2,0.0,time_asc,7.774506915440982,True,True,485,0.49690721649484537,1.3980695897745226,19.35377252485972,-2.4266155639379914,0.41237113402061853,35,0.9166666666666666,0.2583475647229785,192,0.5208333333333334,1.3270795182555115,6.159290881131906,-2.6796821267034474,0.5364583333333334,34,0.8,0.7943434839808761
"cons_m2s1c45,d80,d80_front",2,0.0,time_asc,7.597928747943064,False,False,472,0.4957627118644068,1.3937605821992283,19.01673268246915,-2.6363378127796757,0.4046610169491525,35,0.8333333333333334,0.2629263440511693,188,0.5212765957446809,1.1409792887769592,2.9354628017449005,-4.140649706087188,0.5212765957446809,34,0.8,1.5237660925315424
"d80,d80_front,cons_m2s1c45",2,0.0,time_asc,7.5976686614507765,False,False,472,0.5021186440677966,1.422512978207294,19.32616483917889,-2.554785068385595,0.4088983050847458,35,0.75,0.2587166176842169,188,0.5053191489361702,1.1997529939232858,3.8975741606024807,-4.384738682318729,0.5319148936170213,34,0.8,1.1882001754008333
"cons_m3s2c30,d80,d80_front",2,0.0,time_asc,7.571218838343554,False,False,485,0.4865979381443299,1.3629749616291151,18.747269282366034,-2.5019975519922433,0.4061855670103093,35,0.8333333333333334,0.2667055091966421,192,0.5260416666666666,1.2124196472393811,4.3529367848696925,-2.435593150471904,0.515625,34,0.6,1.0885767375180286
"cons_m3allc30,d80,d80_front",2,0.0,time_asc,7.571218838343554,False,False,485,0.4865979381443299,1.3629749616291151,18.747269282366034,-2.5019975519922433,0.4061855670103093,35,0.8333333333333334,0.2667055091966421,192,0.5260416666666666,1.2124196472393811,4.3529367848696925,-2.435593150471904,0.515625,34,0.6,1.0885767375180286
"cons_m2s2c30,d80,d80_front",2,0.0,time_asc,7.571218838343554,False,False,485,0.4865979381443299,1.3629749616291151,18.747269282366034,-2.5019975519922433,0.4061855670103093,35,0.8333333333333334,0.2667055091966421,192,0.5260416666666666,1.2124196472393811,4.3529367848696925,-2.435593150471904,0.515625,34,0.6,1.0885767375180286
