ticker,sources,cap,minscore,daily_order,select_pass,test_pass,both,near,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call
SPY,"d65ret,d65win,d80_zero",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d65ret,d80_zero,d65win",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d65win,d65ret,d80_zero",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d65win,d80_zero,d65ret",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d80_zero,d65ret,d65win",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d80_zero,d65win,d65ret",2,-999999.0,score_desc,True,True,True,2.662211894870796,453,0.4768211920529801,1.331151862128243,31,16.701271890604673,0.3708609271523179,191,0.5287958115183246,1.381680975959884,34,6.722612178352583,0.6649214659685864
SPY,"d50ret,d65win,d80_zero",3,-999999.0,score_desc,True,True,True,2.604273197056643,617,0.46353322528363045,1.319936162447782,23,22.518442066818572,0.3695299837925446,262,0.5267175572519084,1.5167686081384613,44,13.5619388657045,0.6068702290076335
SPY,"d50ret,d80_zero,d65win",3,-999999.0,score_desc,True,True,True,2.604273197056643,617,0.46353322528363045,1.319936162447782,23,22.518442066818572,0.3695299837925446,262,0.5267175572519084,1.5167686081384613,44,13.5619388657045,0.6068702290076335
SPY,"d65win,d50ret,d80_zero",3,-999999.0,score_desc,True,True,True,2.604273197056643,617,0.46353322528363045,1.319936162447782,23,22.518442066818572,0.3695299837925446,262,0.5267175572519084,1.5167686081384613,44,13.5619388657045,0.6068702290076335
SPY,"d65win,d80_zero,d50ret",3,-999999.0,score_desc,True,True,True,2.604273197056643,617,0.46353322528363045,1.319936162447782,23,22.518442066818572,0.3695299837925446,262,0.5267175572519084,1.5167686081384613,44,13.5619388657045,0.6068702290076335
