artifact,file,trades,wr,pf,pnl,call
event_option_spy_topk_intraday_side_circuit_m19_2025h2hist_2026janjun_risk5000,intraday_circuit_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_topk_intraday_side_circuit_m19_2025h2hist_v2_2025h2_2026janjun_risk5000,intraday_circuit_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_topk_intraday_side_circuit_m19_2025h2hist_v2_2026janjun_risk5000,intraday_circuit_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_topk_intraday_side_circuit_m19_2026janjun_risk5000,intraday_circuit_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_topk_intraday_side_circuit_m19_pf11_wr42_dd25_2026janjun_risk5000,intraday_circuit_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_union_event_structural_topk_reg_s3_m19_wr20_2025h2export_2026janjun_risk5000,trade_union_topk_regressor_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_union_event_structural_topk_reg_s3_m19_wr20_2026janjun_risk5000,trade_union_topk_regressor_trades.csv,20,0.45,2.4407357787937567,4.259501080324522,0.25
event_option_spy_union_event_structural_wincls_topk_reg_s3_m19_wr20_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,33,0.42424242424242425,1.61398769302675,3.106251472810996,0.24242424242424243
event_option_spy_current_wincls_profile_variant_topk_balanced_call065_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,32,0.40625,1.5539889511798008,2.649393545326384,0.25
event_option_spy_current_wincls_profile_variant_topk_balanced_call075_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,32,0.40625,1.5539889511798008,2.649393545326384,0.25
event_option_spy_current_wincls_topk_balanced_call065_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,32,0.40625,1.5539889511798008,2.649393545326384,0.25
event_option_spy_current_wincls_topk_balanced_call075_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,32,0.40625,1.5539889511798008,2.649393545326384,0.25
event_option_spy_current_wincls_topk_unbalanced_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,32,0.40625,1.5539889511798008,2.649393545326384,0.25
event_option_spy_union_event_structural_intraday_circuit_d35_2026janjun_risk5000,intraday_circuit_trades.csv,14,0.42857142857142855,0.959212210402539,-0.08958407824264503,0.21428571428571427
event_option_spy_union_event_structural_intraday_circuit_d35_s1_2026janjun_risk5000,intraday_circuit_trades.csv,14,0.42857142857142855,0.959212210402539,-0.08958407824264503,0.21428571428571427
event_option_spy_union_event_structural_intraday_circuit_rowdelta_2026janjun_risk5000,intraday_circuit_trades.csv,14,0.42857142857142855,0.959212210402539,-0.08958407824264503,0.21428571428571427
event_option_spy_variant_selector_2025h2_history_2026janjun_risk5000,selected_variant_trades.csv,18,0.3888888888888889,0.8643171289453998,-0.4011431827718467,0.2777777777777778
event_option_spy_nested_wincls_primary_fallback_m19_2026janjun_partial_risk5000,nested_volume_backfill_trades.csv,22,0.45454545454545453,0.8277653680142987,-0.5211678678710177,0.2727272727272727
