artifact,file,passes_curve,passes_basic,trades,wr,pf,pnl_r,min_month,pos_months,call_rate,top5_share,prefix2,prefix3,prefix4
event_option_qqq_nested_volume_backfill_m19_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,True,236,0.5254237288135594,1.4565018110141752,13.546077188107414,19,5,0.6186440677966102,0.9964910902595612,0.07284152128294152,0.1931690191808188,0.829150173834346
event_option_qqq_ptdj_v1_intraday_circuit_2026janjun_risk5000,intraday_circuit_trades.csv,False,True,191,0.4816753926701571,1.438825107173696,12.48768438558934,23,4,0.3507853403141361,1.0370217284882166,0.6097406583390944,1.142265331490168,0.8840508245725331
event_option_qqq_ptdj_v1_intraday_circuit_m19_2026janjun_risk5000,intraday_circuit_trades.csv,False,True,191,0.4816753926701571,1.438825107173696,12.48768438558934,23,4,0.3507853403141361,1.0370217284882166,0.6097406583390944,1.142265331490168,0.8840508245725331
event_option_qqq_union_ptdj_tdvp_topk_intraday_circuit_2026janjun_risk5000,intraday_circuit_trades.csv,False,True,140,0.4714285714285714,1.4235938863169162,9.131117081506916,20,4,0.4857142857142857,1.3141875077150613,0.9519367544467855,1.0833555052182915,0.8582768633771782
event_option_qqq_branch_router_topk_current_wide_d65_fw35_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,False,True,295,0.49830508474576274,1.4011602758698292,15.348640316224119,40,4,0.6305084745762712,0.9124841631499273,0.036377466364137155,0.3536092478534904,0.8492149867914797
event_option_qqq_nested_volume_backfill_m19_maxday3_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,True,146,0.4931506849315068,1.3935065178926518,7.726125052371917,19,4,0.6506849315068494,0.9707324110289288,0.01998281346156862,0.20634156855123129,0.7905353186074285
event_option_qqq_union_balanced_d65_current_topk_s2_m19_maxday5_hist202507_2026janmay_risk5000,trade_union_topk_regressor_trades.csv,False,True,217,0.4976958525345622,1.3915907458087777,10.529182124301531,22,4,0.695852534562212,0.8918377040630536,-0.042116165711599846,-0.024797592276052563,0.7485516519663331
event_option_qqq_union_ptdj_tdvp_simple_max6_cd30_2026janjun_risk5000,trade_union_topk_regressor_trades.csv,False,True,208,0.47596153846153844,1.3820652866693164,12.15189918412987,31,4,0.40384615384615385,1.102708292502963,0.5528171347572158,1.0573659319235449,0.8773089215102471
event_option_qqq_nested_free_current_balanced_d65_m19_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,True,185,0.5027027027027027,1.3798171891849176,9.530379919965878,19,5,0.6054054054054054,1.159190407219897,0.09480210255055599,0.643702163258519,0.786902351571352
event_option_qqq_union_ptdj_tdvp_topk_intraday_circuit_nostreak1_2026janjun_risk5000,intraday_circuit_trades.csv,False,True,146,0.4589041095890411,1.352663563685882,8.131117081506918,22,4,0.4931506849315068,1.4758119800405174,1.069010059984573,1.105905359485586,0.8531455713044426
event_option_qqq_union_ptdj_tdvp_topk_reg_s3_m19_wr20_2026janjun_risk5000,trade_union_topk_regressor_trades.csv,False,True,169,0.4556213017751479,1.3415239436036066,9.074133235044728,22,4,0.48520710059171596,1.3224403575710608,0.9579147378477358,1.156280791483395,0.7585521878675784
event_option_qqq_branch_router_topk_balanced_call065_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,False,False,227,0.5286343612334802,1.4758288364840022,13.543692224268934,18,5,0.6211453744493393,0.9966665664278233,0.10680957587628678,0.1930269410324707,0.8291200881937046
event_option_qqq_branch_router_topk_balanced_call065_2025h2export_202510_202606_risk5000,trade_union_topk_regressor_trades.csv,False,False,227,0.5286343612334802,1.4758288364840022,13.543692224268934,18,5,0.6211453744493393,0.9966665664278233,0.10680957587628678,0.1930269410324707,0.8291200881937046
event_option_qqq_branch_router_topk_balanced_call075_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,False,False,309,0.49514563106796117,1.3778814684422522,15.497578687209238,18,4,0.6181229773462783,0.9200104011488132,0.009255751987848832,0.43464529486454245,0.8506640953709239
event_option_qqq_nested_config_intraday_side_circuit_floor12_m18_pf11_wr42_2026janjun_risk5000,intraday_circuit_trades.csv,False,False,240,0.4583333333333333,1.2869273859181878,10.822630031647558,33,4,0.42916666666666664,1.3952246317063919,0.6207158582696705,1.1964748095059095,0.9084144128209668
event_option_qqq_nested_config_intraday_side_circuit_floor18_m18_pf11_wr42_2026janjun_risk5000,intraday_circuit_trades.csv,False,False,240,0.4583333333333333,1.2869273859181878,10.822630031647558,33,4,0.42916666666666664,1.3952246317063919,0.6207158582696705,1.1964748095059095,0.9084144128209668
event_option_qqq_nested_config_intraday_side_circuit_floor4_8_m18_pf11_wr42_2026janjun_risk5000,intraday_circuit_trades.csv,False,False,240,0.4583333333333333,1.2869273859181878,10.822630031647558,33,4,0.42916666666666664,1.3952246317063919,0.6207158582696705,1.1964748095059095,0.9084144128209668
event_option_qqq_nested_volume_backfill_m19_maxday5_cd45_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,False,230,0.45652173913043476,1.1384566889368133,4.293944329048488,19,3,0.6521739130434783,1.9374895071137765,-0.8146511780016708,-0.5872637022033181,0.5151660742388883
event_option_qqq_nested_volume_backfill_m19_maxday5_cd75_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,False,187,0.45454545454545453,1.1286053203760131,3.3111282951644254,19,4,0.6256684491978609,2.0409760608563428,-0.2715850183806788,-0.18748116881540497,0.6684604500804202
event_option_qqq_union_ptdj_physics_topk_reg_s3_m19_wr20_2026janjun_risk5000,trade_union_topk_regressor_trades.csv,False,False,172,0.4127906976744186,1.0955353640043068,2.765612426741609,20,4,0.4127906976744186,4.0730436276603506,2.376958728584964,2.7023839368670814,0.6643513571774557
event_option_qqq_nested_volume_backfill_m19_maxday5_cd60_2026janmay_risk5000,nested_volume_backfill_trades.csv,False,False,224,0.4419642857142857,1.0935602462017804,2.910553530548322,19,3,0.65625,2.6865927733646706,-1.9388492608466008,-1.668710049868588,0.4387145421720388
