ticker,source_name,source_path,order,daily_cap,select_pass,test_pass,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_min_month_trades,select_call_rate,select_positive_months,select_top5_share_of_pnl,select_drawdown_to_pnl,select_first_3_month_share,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_min_month_trades,test_call_rate,test_positive_months,test_top5_share_of_pnl,test_drawdown_to_pnl,test_first_3_month_share
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,1,False,False,26,0.6153846153846154,2.5060892350404727,3.0195357102003015,8,0.6153846153846154,2,0.8279418559465097,0.254693821757637,1.0,38,0.6842105263157895,3.1205129390218795,5.605920226824551,5,0.6842105263157895,5,0.44595711298876506,0.1198531657841885,0.4758190811768283
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,2,False,False,51,0.5294117647058824,1.8665319240530927,4.184529107389409,16,0.5882352941176471,2,1.194877576827118,0.3318506015151721,1.0,75,0.6,2.4152751131735934,8.382607866559308,10,0.68,5,0.5964730880405933,0.16715980179230003,0.3404203051898332
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,3,True,False,75,0.49333333333333335,1.7707129644391444,5.467445968594683,24,0.6133333333333333,2,1.243822444211828,0.3484871275647341,1.0,110,0.6181818181818182,2.718977619153368,13.37029958451247,13,0.6727272727272727,5,0.5419243574547395,0.14863596937644388,0.42758128077643653
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,4,True,False,99,0.47474747474747475,1.660329218083106,6.391819160860563,32,0.6060606060606061,2,1.267653719670315,0.3838366571772425,1.0,144,0.5902777777777778,2.2752953806449745,14.17827246298792,16,0.6805555555555556,5,0.5508208215550795,0.12140267034635116,0.5113634168910505
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,5,True,True,107,0.48598130841121495,1.708139579539712,7.243900748345918,32,0.616822429906542,2,1.2399259973372563,0.33868692921370863,1.0,169,0.5798816568047337,2.0400201843715497,14.218229272619482,19,0.6804733727810651,5,0.6175955729568507,0.15287480095889464,0.5045144380384071
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,6,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,32,0.6173913043478261,2,1.2558634507956057,0.33067187461138287,1.0,194,0.5618556701030928,1.9602781743721684,15.204068925897975,22,0.6855670103092784,5,0.6626767478920679,0.17924345287170892,0.4445722559789795
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,7,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,32,0.6173913043478261,2,1.2558634507956057,0.33067187461138287,1.0,219,0.5525114155251142,1.8118525904491103,15.060769532058227,25,0.684931506849315,5,0.7507174886246641,0.2073363622614507,0.4096005865425592
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,8,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,32,0.6173913043478261,2,1.2558634507956057,0.33067187461138287,1.0,242,0.5247933884297521,1.6075864720471873,13.446898015114513,27,0.6818181818181818,5,0.9416105260857555,0.28726033211141644,0.41531224738405226
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,9,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,32,0.6173913043478261,2,1.2558634507956057,0.33067187461138287,1.0,251,0.5059760956175299,1.4943053556688366,11.769128949475085,29,0.6693227091633466,4,1.0758434858340304,0.3654946393787731,0.4534866547608118
SPXW,vol25phys,research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,score_desc,10,True,True,115,0.4782608695652174,1.6950021071027548,7.419483446753683,32,0.6173913043478261,2,1.2558634507956057,0.33067187461138287,1.0,258,0.49612403100775193,1.4035924716751946,10.262535887821178,31,0.6627906976744186,3,1.2337828439907819,0.4651839795908711,0.5017362309065135
