ticker,dir,file,hist_months,hist_n,topk_bad,modes,trades,wr,pf,pnlR,min_month,pos,call_rate,top5
QQQ,diagnostic_qqq_nested_free_current_balanced_d65_curve_2026janmay_risk5000,combined_trades.csv,,0,True,SELECTED;TOPK_REGRESSOR,185,0.5027027027027027,1.3798171891849176,9.530379919965878,19,5,0.6054054054054054,1.1591904072198969
SPY,diagnostic_spy_structural_normalized_2026janjun,event_option_gate_trades.csv,,0,False,,204,0.35784313725490197,1.1572278855788525,11.937543360245638,17,4,0.7303921568627451,3.3074374795373105
QQQ,event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,212,0.5283018867924528,1.6593026525775687,15.500976178407374,24,5,0.6745283018867925,0.6386694544947787
SPXW,event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,285,0.4842105263157895,1.4306266493254831,15.839841046867367,22,5,0.5789473684210527,0.7162612558993351
SPY,event_option_candidate_spxw_maxday7_qqq_outer_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,164,0.4817073170731707,1.4948223761198152,10.214783254349308,20,5,0.3048780487804878,0.7166148447659686
QQQ,event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,212,0.5283018867924528,1.6593026525775687,15.500976178407374,24,5,0.6745283018867925,0.6386694544947787
SPXW,event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,285,0.4842105263157895,1.4306266493254831,15.839841046867367,22,5,0.5789473684210527,0.7162612558993351
SPY,event_option_candidate_spxw_maxday7_qqq_outer_spy_nested_2026janmay_risk5000,combined_trades.csv,,0,True,INSUFFICIENT_ROWS;NO_HISTORY;SELECTED;TOPK_REGRESSOR,164,0.4817073170731707,1.4948223761198152,10.214783254349308,20,5,0.3048780487804878,0.7166148447659686
QQQ,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,,0,True,SELECTED;TOPK_REGRESSOR,212,0.5283018867924528,1.6593026525775687,15.500976178407374,24,5,0.6745283018867925,0.6386694544947787
SPXW,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,,0,True,SELECTED;TOPK_REGRESSOR,188,0.5159574468085106,1.6232220732095586,12.670497654626843,22,5,0.7180851063829787,0.705384966106468
SPY,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,,0,True,SELECTED;TOPK_REGRESSOR,138,0.5144927536231884,1.9090335410717743,16.15361015662151,23,5,0.42028985507246375,0.6205694381313682
