path,all_metric_pass,hold_proven,hold_issue,raw_banned_cols,feature_banned,feature_count,research_audit,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_min_month,SPXW_pos_month,SPXW_pnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_min_month,QQQ_pos_month,QQQ_pnl,SPY_trades,SPY_wr,SPY_pf,SPY_min_month,SPY_pos_month,SPY_pnl
research_papers\JEPA\results\event_option_candidate_spxw_spy_qqq_unionmeta_2025h2_2026jun_with2025h2_risk5000\combined_trades.csv,False,False,missing,16,0,0,missing,299,0.4882943143812709,1.3124564452988314,24,0.6666666666666666,10.016640811361986,211,0.4218009478672986,1.1678835499216826,14,0.6666666666666666,5.77833562422876,190,0.4263157894736842,1.1638901906542904,18,0.6666666666666666,4.351991361162636
research_papers\JEPA\results\event_option_current_best_causal_curvehealth_qiq_topk_s2_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=34 missing=411,140,0,0,missing,285,0.4842105263157895,1.4306266493254831,0,0.8333333333333334,15.839841046867367,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_curvehealth_qqq_topk_s2_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=34 missing=411,140,0,0,missing,285,0.4842105263157895,1.4306266493254831,0,0.8333333333333334,15.839841046867367,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_nestedbackfill_curvehealth_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=39 missing=383,140,0,0,missing,285,0.4842105263157895,1.4306266493254831,0,0.8333333333333334,15.839841046867367,194,0.5309278350515464,1.5778479835846635,0,0.8333333333333334,13.718132329144877,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_nestedbackfill_spxwrouter_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=46 missing=432,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,236,0.5254237288135594,1.4565018110141752,0,0.8333333333333334,13.546077188107414,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_qqqbackfill_d65_spxwrouter_spybackfill_m19_2026janjun_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=51 missing=482,140,0,0,missing,386,0.48186528497409326,1.3692619640902954,42,1.0,17.830356613052952,246,0.5284552845528455,1.497060592668223,10,1.0,15.346077188107415,186,0.478494623655914,1.4095446560505394,19,0.8333333333333334,9.693615386478292
research_papers\JEPA\results\event_option_current_best_causal_qqqbackfill_d65_spxwrouter_spybackfill_m19_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=45 missing=432,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,236,0.5254237288135594,1.4565018110141752,0,0.8333333333333334,13.546077188107414,163,0.48466257668711654,1.5168662912118136,0,0.8333333333333334,10.51478325434931
research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=83 missing=297,140,0,0,missing,386,0.48186528497409326,1.3692619640902954,42,1.0,17.830356613052952,237,0.5316455696202531,1.5172605887318371,10,1.0,15.343692224268935,169,0.47337278106508873,1.661591879543966,19,0.8333333333333334,23.019418087330827
research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=71 missing=269,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,227,0.5286343612334802,1.4758288364840022,0,0.8333333333333334,13.543692224268934,149,0.47651006711409394,1.5892394723365237,0,0.6666666666666666,18.759917007006305
research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spybackfill_m18_2026janjun_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=51 missing=473,140,0,0,missing,386,0.48186528497409326,1.3692619640902954,42,1.0,17.830356613052952,237,0.5316455696202531,1.5172605887318371,10,1.0,15.343692224268935,186,0.478494623655914,1.4095446560505394,19,0.8333333333333334,9.693615386478292
