sources,cap,min_score,daily_order,select_pass,test2025_pass,test2026_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d80,d80_zero,cons_m3allc30",1,-999999.0,time_asc,False,False,False,128,0.4453125,1.0952509151987724,1.8704724739731866,20,0.1875,1.3365607004574598,0.6666666666666666,249,0.4457831325301205,1.1517504280500057,4.816146387327658,19,0.4578313253012048,0.5190872118376739,0.6666666666666666,102,0.46078431372549017,1.1604976971765801,1.870508927469335,19,0.6666666666666666,1.3365346528350022,0.6
"d80,d80_zero,cons_m3allc30",1,-999999.0,score_desc,False,False,True,128,0.5078125,1.48166295285364,6.674830426159598,20,0.1796875,0.37454135017455253,0.8333333333333334,249,0.4899598393574297,1.2795997728600426,7.911743083891612,19,0.3373493975903614,0.31598599366680963,0.6666666666666666,102,0.5196078431372549,1.7504108860123697,6.8317477442148835,19,0.5294117647058824,0.36593856998262225,0.8
"d80,d80_zero,cons_m3allc30",1,0.0,time_asc,False,False,True,128,0.4453125,1.0952509151987724,1.8704724739731866,20,0.1875,1.3365607004574598,0.6666666666666666,245,0.45714285714285713,1.2406946663674772,7.457816692081429,19,0.3673469387755102,0.3352187514416188,0.6666666666666666,100,0.53,1.7138040347429373,6.7399424075908465,19,0.6,0.370923050794081,0.6
"d80,d80_zero,cons_m3allc30",1,0.0,score_desc,False,False,True,128,0.5078125,1.48166295285364,6.674830426159598,20,0.1796875,0.37454135017455253,0.8333333333333334,245,0.49387755102040815,1.2979084246409318,8.297076150082344,19,0.3306122448979592,0.3013109624135713,0.75,100,0.52,1.76478756155718,6.874357406395846,19,0.53,0.3636703552355338,0.8
"d80,d80_zero,cons_m3allc30",2,-999999.0,time_asc,False,False,True,251,0.4342629482071713,1.0495056373253353,1.8879591461058323,36,0.18725099601593626,2.6483623919051253,0.5,469,0.4669509594882729,1.2482232900276369,14.329847258307627,31,0.42857142857142855,0.34892207222245764,0.5833333333333334,199,0.5125628140703518,1.555255215282524,11.092979242243342,37,0.6432160804020101,0.4451447497162126,1.0
"d80,d80_zero,cons_m3allc30",2,-999999.0,score_desc,False,False,True,251,0.4940239043824701,1.312932434692712,9.799677272093696,36,0.1752988047808765,0.5102208839303697,0.6666666666666666,469,0.464818763326226,1.151680823828533,9.00646418273803,31,0.37100213219616207,0.5551568183197908,0.6666666666666666,199,0.5175879396984925,1.4925809460542458,9.33412620564571,37,0.542713567839196,0.5356687803273722,0.8
"d80,d80_zero,cons_m3allc30",2,0.0,time_asc,False,True,True,251,0.4342629482071713,1.0495056373253353,1.8879591461058323,36,0.18725099601593626,2.6483623919051253,0.5,441,0.47165532879818595,1.3039745677275592,16.26146098326038,24,0.36961451247165533,0.3074754479408106,0.75,195,0.517948717948718,1.56503266596394,10.849306633949318,36,0.5897435897435898,0.46085894414249046,0.8
"d80,d80_zero,cons_m3allc30",2,0.0,score_desc,False,False,True,251,0.4940239043824701,1.312932434692712,9.799677272093696,36,0.1752988047808765,0.5102208839303697,0.6666666666666666,441,0.46258503401360546,1.1631515475444407,9.080452593058476,24,0.34467120181405897,0.5506333466045772,0.6666666666666666,195,0.5230769230769231,1.5246342897291527,9.707455706384994,36,0.5487179487179488,0.5150680210378188,0.8
"d80,d80_zero,cons_m3allc30",3,-999999.0,time_asc,False,False,True,373,0.4155495978552279,0.9758605755165294,-1.3545534967434776,52,0.1903485254691689,,0.3333333333333333,661,0.4599092284417549,1.159796581917147,13.31054589891702,33,0.4296520423600605,0.5634629906959878,0.6666666666666666,284,0.5,1.4207054110863349,12.688984342246858,49,0.6267605633802817,0.51554965844759,1.0
"d80,d80_zero,cons_m3allc30",3,-999999.0,score_desc,False,False,False,373,0.43967828418230565,1.076203058421547,4.050325205854415,52,0.17158176943699732,1.8517031642692199,0.6666666666666666,661,0.46444780635400906,1.1457702002632857,12.513170988445056,33,0.3918305597579425,0.599368457997231,0.6666666666666666,284,0.4859154929577465,1.2836736484424032,8.586242524493304,49,0.5352112676056338,0.6984875306648762,0.8
"d80,d80_zero,cons_m3allc30",3,0.0,time_asc,False,False,True,371,0.42048517520215634,0.9950368168477037,-0.2756294851880827,52,0.19137466307277629,,0.5,601,0.45757071547420963,1.1589670018328673,12.179528981689735,24,0.37271214642262895,0.6157873601906305,0.6666666666666666,268,0.4925373134328358,1.3206870063845624,9.120957639072586,45,0.5708955223880597,0.7603453081986329,0.8
"d80,d80_zero,cons_m3allc30",3,0.0,score_desc,False,False,True,371,0.4420485175202156,1.0818804346764863,4.329249217409809,52,0.1725067385444744,1.7324019993672832,0.8333333333333334,601,0.46422628951747086,1.164021835255263,12.664308084416408,24,0.3610648918469218,0.5922155359777488,0.6666666666666666,268,0.4962686567164179,1.352912680890695,9.904294807682227,45,0.5373134328358209,0.5911266370109639,0.8
"d80,d80_zero,cons_m3allc30",4,-999999.0,time_asc,False,False,True,467,0.4197002141327623,1.0146220610404781,1.030481357589615,60,0.1841541755888651,9.553151820384192,0.5,806,0.45409429280397023,1.1277682341405952,13.37149353162362,33,0.4292803970223325,0.6856813527874166,0.5833333333333334,351,0.4928774928774929,1.3092080142301705,11.899574188497262,54,0.6068376068376068,0.6808922125927211,0.8
"d80,d80_zero,cons_m3allc30",4,-999999.0,score_desc,False,False,True,467,0.42398286937901497,1.0274633499440482,1.9226879086570705,60,0.16274089935760172,5.146914732264503,0.5,806,0.456575682382134,1.1098870027273386,11.833544292629842,33,0.4057071960297767,0.8300404739420465,0.5833333333333334,351,0.49002849002849,1.341243498303541,12.824261161099379,54,0.5612535612535613,0.5574952215411945,0.8
"d80,d80_zero,cons_m3allc30",4,0.0,time_asc,False,False,False,462,0.42424242424242425,1.022254396617313,1.5538088579510525,60,0.17965367965367965,6.335621532052894,0.5,718,0.45403899721448465,1.1244969273951522,11.564817493837758,24,0.37604456824512533,0.8241136587382208,0.6666666666666666,310,0.4870967741935484,1.2645683120787783,8.809387166644056,46,0.5645161290322581,0.8953276546688191,0.8
