path,dir,file,ticker,select_window,select_pass,test_pass,pass_both,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_min_month_trades,select_positive_months,select_call_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_min_month_trades,test_positive_months,test_call_rate
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_all_c30\event_option_gate_trades.csv,cons_v1_md3_all_c30,event_option_gate_trades.csv,QQQ,h2,False,True,False,256,0.42578125,1.0301358165958474,1.0539330170012748,22,4,0.31640625,248,0.5362903225806451,1.3889045633486798,8.963143439314551,40,4,0.5725806451612904
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_all_c30\event_option_gate_trades.csv,cons_v1_md3_all_c30,event_option_gate_trades.csv,QQQ,octdec,False,True,False,137,0.41605839416058393,0.9399955839551937,-1.2243568526311337,31,2,0.3722627737226277,248,0.5362903225806451,1.3889045633486798,8.963143439314551,40,4,0.5725806451612904
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPXW,h2,False,True,False,225,0.40444444444444444,0.8853064856130142,-3.672229826321565,24,1,0.38222222222222224,235,0.5148936170212766,1.5329698247776553,11.480359405623645,36,4,0.5617021276595745
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPXW,octdec,False,True,False,108,0.3888888888888889,0.7969223836137872,-3.201331315993041,28,0,0.39814814814814814,235,0.5148936170212766,1.5329698247776553,11.480359405623645,36,4,0.5617021276595745
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPY,h2,False,True,False,234,0.4017094017094017,0.872706311916329,-4.023066431247154,25,2,0.3247863247863248,240,0.5166666666666667,1.493666914543003,12.771293363908363,38,4,0.5541666666666667
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,SPY,octdec,False,True,False,111,0.4594594594594595,1.1589980876946049,2.186395576593542,25,2,0.40540540540540543,240,0.5166666666666667,1.493666914543003,12.771293363908363,38,4,0.5541666666666667
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,QQQ,h2,False,True,False,230,0.41739130434782606,0.9755164186643129,-0.7926032771055147,22,4,0.33043478260869563,222,0.5405405405405406,1.395047963516396,8.325208354393283,37,4,0.5765765765765766
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,cons_v1_md3_ms2_c30,event_option_gate_trades.csv,QQQ,octdec,False,True,False,124,0.3870967741935484,0.819091944994234,-3.5452890591948156,29,1,0.3548387096774194,222,0.5405405405405406,1.395047963516396,8.325208354393283,37,4,0.5765765765765766
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPXW,h2,False,False,False,196,0.4387755102040816,1.0468320621244478,1.3226978636719275,0,2,0.6326530612244898,161,0.32919254658385094,0.8109991375412361,-4.967220295570381,5,2,0.782608695652174
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPXW,octdec,False,False,False,196,0.4387755102040816,1.0468320621244478,1.3226978636719275,24,2,0.6326530612244898,161,0.32919254658385094,0.8109991375412361,-4.967220295570381,5,2,0.782608695652174
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPY,h2,False,False,False,105,0.5047619047619047,1.3562334573641226,4.374085086373657,0,2,0.6666666666666666,107,0.3364485981308411,0.9073739624346641,-1.6921176824115107,8,3,0.6261682242990654
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPY,octdec,False,False,False,105,0.5047619047619047,1.3562334573641226,4.374085086373657,9,2,0.6666666666666666,107,0.3364485981308411,0.9073739624346641,-1.6921176824115107,8,3,0.6261682242990654
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,QQQ,h2,False,False,False,115,0.4260869565217391,1.0226439409890393,0.34045828600535116,0,2,0.6086956521739131,63,0.4126984126984127,1.0492936217804683,0.5131793466792381,4,3,0.6825396825396826
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,QQQ,octdec,False,False,False,115,0.4260869565217391,1.0226439409890393,0.34045828600535116,17,2,0.6086956521739131,63,0.4126984126984127,1.0492936217804683,0.5131793466792381,4,3,0.6825396825396826
