ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,static_source,static_source_file,static_source_priority,static_union_max_day,static_union_cooldown_minutes,static_union_count_before
SPY,20260102,202601,13:45,825,zero_dte,PUT,0.6378459266204837,0.1341610775202128,0.6378459266204837,-0.3,0.5,0.5,thr0.564_maxday2,202601,825,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260102,202601,14:15,855,zero_dte,PUT,0.6013184545113068,0.1740912983636138,0.6013184545113068,-0.3,-0.3,-0.3,thr0.564_maxday2,202601,855,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260105,202601,15:00,900,zero_dte,CALL,0.5830092325889045,0.5830092325889045,0.2407961819695546,0.5,-0.3,0.5,thr0.564_maxday2,202601,900,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260106,202601,11:15,675,front_weekly,CALL,0.6372455674465932,0.6372455674465932,0.2953774118570708,0.5,-0.3,0.5,thr0.564_maxday2,202601,675,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260106,202601,11:45,705,front_weekly,CALL,0.6119772528055034,0.6119772528055034,0.2686985236818358,0.5,-0.3,0.5,thr0.564_maxday2,202601,705,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260107,202601,10:30,630,front_weekly,PUT,0.6309442148280637,0.2153632635710881,0.6309442148280637,0.5,-0.3,-0.3,thr0.564_maxday2,202601,630,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260107,202601,13:45,825,front_weekly,PUT,0.66034603364384,0.1711308073034794,0.66034603364384,-0.3,0.5,0.5,thr0.564_maxday2,202601,825,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260108,202601,11:00,660,front_weekly,CALL,0.6142825488435762,0.6142825488435762,0.2300293879708258,-0.3,0.3708608916002291,-0.3,thr0.564_maxday2,202601,660,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260108,202601,14:00,840,front_weekly,CALL,0.5743252457007031,0.5743252457007031,0.128317594603661,0.0067567502259338,-0.3,0.0067567502259338,thr0.564_maxday2,202601,840,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260112,202601,11:30,690,zero_dte,PUT,0.788425115700089,0.1042477926404955,0.788425115700089,-0.3,-0.3,-0.3,thr0.564_maxday2,202601,690,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260112,202601,12:45,765,zero_dte,PUT,0.6141698327544731,0.1687951685468447,0.6141698327544731,0.5,-0.3,-0.3,thr0.564_maxday2,202601,765,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260113,202601,13:15,795,zero_dte,PUT,0.5841458791224862,0.296123040856157,0.5841458791224862,-0.3,0.5,0.5,thr0.564_maxday2,202601,795,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260113,202601,14:45,885,zero_dte,PUT,0.6117887315357856,0.1873379788393062,0.6117887315357856,-0.3,0.5,0.5,thr0.564_maxday2,202601,885,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260114,202601,11:15,675,front_weekly,PUT,0.5710391380100848,0.3797516073296777,0.5710391380100848,-0.0285714013235909,-0.3,-0.3,thr0.564_maxday2,202601,675,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260114,202601,12:15,735,front_weekly,PUT,0.6023988432796671,0.1496706692997528,0.6023988432796671,0.5,-0.3,-0.3,thr0.564_maxday2,202601,735,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260115,202601,15:15,915,front_weekly,CALL,0.5657596662367835,0.5657596662367835,0.2706847697939453,-0.3,0.0087719215690702,-0.3,thr0.564_maxday2,202601,915,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260120,202601,10:30,630,zero_dte,PUT,0.8137032265597929,0.1078376881748907,0.8137032265597929,-0.3,-0.3,-0.3,thr0.564_maxday2,202601,630,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260120,202601,11:00,660,zero_dte,PUT,0.6343076717868001,0.1602653792927844,0.6343076717868001,-0.3,0.5,0.5,thr0.564_maxday2,202601,660,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260121,202601,10:45,645,zero_dte,PUT,0.7043676823755339,0.1625597302436661,0.7043676823755339,-0.3,0.5,0.5,thr0.564_maxday2,202601,645,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260121,202601,14:15,855,zero_dte,PUT,0.5703436406660156,0.2078895284134496,0.5703436406660156,0.5,-0.3,-0.3,thr0.564_maxday2,202601,855,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
SPY,20260122,202601,15:00,900,front_weekly,CALL,0.6857923860666062,0.6857923860666062,0.212366523257001,-0.3,-0.1607142914162606,-0.3,thr0.564_maxday2,202601,900,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260126,202601,10:30,630,front_weekly,CALL,0.8544818456782183,0.8544818456782183,0.2908274010219166,0.1936937212682794,-0.2052238576925796,0.1936937212682794,thr0.564_maxday2,202601,630,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,0
SPY,20260126,202601,11:00,660,front_weekly,CALL,0.875042402466845,0.875042402466845,0.1941867155609111,0.0436681854659199,-0.1107142671638602,0.0436681854659199,thr0.564_maxday2,202601,660,ptdj,research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,0,999,0,1
